target_occurrence_id	surface_provenance_only	page	physical_folio	locus	ordinal	line_token_count	line_position	gdt734_complete_line_v99r7	gdt734_unknown_cells_v99r7	gdt770_admitted_line	union_admitted_line	explicit_gdt770_exclusion	explicit_gdt771_exclusion	strict_discriminator_eligible	admission_source	current_reader_state	frame_ids	d1_left_eligible_donors	d1_right_eligible_donors	r2_left_eligible_donors	r2_right_eligible_donors	written_line_eva	target_default_credit	target_role_credit	confirmed_lexeme	confirmed_plaintext	component_export_credit
G769-T0004	ol	f102v1	f102	f102v1.10	2	10	MIDDLE	1	0	0	1	0	0	1	GDT734_COMPLETE_CACHE	STRUCTURAL_COMPLETE_CACHE__RERENDER_REQUIRED	NONE	NONE	ydaiin@3:d1:roles=KNOWN_OTHER:features=NONE	NONE	ydaiin@3:d1:roles=KNOWN_OTHER:features=NONE ; choraiin@4:d2:roles=NONE:features=NONE	kochor ol ydaiin choraiin sheey ykeey kor shey qokey dy	0	0	0	0	0
G769-T0019	ol	f103v	f103	f103v.17	8	11	MIDDLE	1	0	0	1	0	0	1	GDT734_COMPLETE_CACHE	STRUCTURAL_COMPLETE_CACHE__RERENDER_REQUIRED	F04_MOIST_R2	qokal@7:d1:roles=KNOWN_OTHER:features=NONE	NONE	qokal@7:d1:roles=KNOWN_OTHER:features=NONE ; shedy@6:d2:roles=CONTENT_PREPARATION/QUALITY_STAGE:features=MOIST/STAGE	NONE	qokeedy chedy qoteey oteedy lkedy shedy qokal ol char otal opchedy	0	0	0	0	0
G769-T0021	ol	f103v	f103	f103v.34	3	11	MIDDLE	1	0	0	1	0	0	1	GDT734_COMPLETE_CACHE	STRUCTURAL_COMPLETE_CACHE__RERENDER_REQUIRED	F14_MEDIAL_TWO_SIDED_LINKER	NONE	NONE	daiin@1:d2:roles=SCALAR_VALUE:features=VALUE_AMOUNT	NONE	daiin sheey ol chey qok shey qokaiin checkhy otedy lshey lchdy	0	0	0	0	0
G769-T0023	ol	f103v	f103	f103v.38	4	8	MIDDLE	1	0	0	1	0	0	1	GDT734_COMPLETE_CACHE	STRUCTURAL_COMPLETE_CACHE__RERENDER_REQUIRED	NONE	NONE	NONE	NONE	NONE	oteey l chees ol chey chey chol keechy	0	0	0	0	0
G769-T0015	ol	f103v	f103	f103v.4	6	8	MIDDLE	1	0	0	1	0	0	1	GDT734_COMPLETE_CACHE	STRUCTURAL_COMPLETE_CACHE__RERENDER_REQUIRED	F06_TARGET_BEFORE_PROCESS|F08_HOT_R2|F14_MEDIAL_TWO_SIDED_LINKER|F15_STATE_TRANSITION_BRIDGE	lkees@5:d1:roles=KNOWN_OTHER:features=NONE	NONE	lkees@5:d1:roles=KNOWN_OTHER:features=NONE ; okeey@4:d2:roles=KNOWN_OTHER:features=NONE	ykeedy@8:d2:roles=CLOSE/QUALITY_STAGE:features=CLOSE/HOT/STAGE	y cheey qokeey okeey lkees ol qoteedy ykeedy	0	0	0	0	0
G769-T0024	ol	f103v	f103	f103v.40	5	10	MIDDLE	1	0	0	1	0	1	0	GDT734_COMPLETE_CACHE	STRUCTURAL_COMPLETE_CACHE__RERENDER_REQUIRED	F04_MOIST_R2|F14_MEDIAL_TWO_SIDED_LINKER	qoain@4:d1:roles=AMOUNT_VALUE:features=VALUE_AMOUNT	keey@6:d1:roles=KNOWN_OTHER:features=NONE	qoain@4:d1:roles=AMOUNT_VALUE:features=VALUE_AMOUNT ; shey@3:d2:roles=CONTENT_PREPARATION/QUALITY_STAGE:features=MOIST/STAGE	keey@6:d1:roles=KNOWN_OTHER:features=NONE	yteey sheal shey qoain ol keey qokaiin shckhy lchedy rain	0	0	0	0	0
G769-T0025	otar	f103v	f103	f103v.41	9	13	MIDDLE	1	0	0	1	0	0	1	GDT734_COMPLETE_CACHE	STRUCTURAL_COMPLETE_CACHE__RERENDER_REQUIRED	F04_MOIST_R2|F14_MEDIAL_TWO_SIDED_LINKER|F15_STATE_TRANSITION_BRIDGE	NONE	shedy@10:d1:roles=CONTENT_PREPARATION/QUALITY_STAGE:features=MOIST/STAGE	NONE	shedy@10:d1:roles=CONTENT_PREPARATION/QUALITY_STAGE:features=MOIST/STAGE	daiin shey l shey lshey qoar shas al otar shedy y lchdy rar	0	0	0	0	0
G769-T0026	ol	f103v	f103	f103v.45	2	11	MIDDLE	1	0	0	1	0	0	1	GDT734_COMPLETE_CACHE	STRUCTURAL_COMPLETE_CACHE__RERENDER_REQUIRED	NONE	NONE	NONE	NONE	NONE	okey ol cheey lcheey lkain shckhy sheckhy or ain otar oly	0	0	0	0	0
G769-T0027	otar	f103v	f103	f103v.45	10	11	MIDDLE	1	0	0	1	0	0	1	GDT734_COMPLETE_CACHE	STRUCTURAL_COMPLETE_CACHE__RERENDER_REQUIRED	F06_TARGET_BEFORE_PROCESS	NONE	NONE	NONE	NONE	okey ol cheey lcheey lkain shckhy sheckhy or ain otar oly	0	0	0	0	0
G769-T0037	ols	f104v	f104	f104v.19	11	13	MIDDLE	0	5	1	1	0	0	1	GDT770_ADMITTED_EXTENSION	GDT770_CURRENT_MASKED_READER	F02_VALUE_DIRECT|F03_DRY_R2|F04_MOIST_R2|F08_HOT_R2|F15_STATE_TRANSITION_BRIDGE	fchor@10:d1:roles=NONE:features=NONE	aiin@12:d1:roles=KNOWN_OTHER:features=VALUE_SPAN_MEMBER	fchor@10:d1:roles=NONE:features=NONE ; sho@9:d2:roles=CONTENT_PREPARATION/QUALITY_STAGE:features=MOIST/PREPARATION	aiin@12:d1:roles=KNOWN_OTHER:features=VALUE_SPAN_MEMBER ; chekal@13:d2:roles=CONTENT_PREPARATION/QUALITY_STAGE:features=DRY/HOT/MATERIAL/STAGE	pcheor chol chpcheor cholkshedy qotol sheedy qokchy qotched sho fchor ols aiin chekal	0	0	0	0	0
