deck_id	target_surface	target_occurrence_id	page	locus	ordinal	deck_role	recommended_action	already_in_gdt770	strict_qualified	evidence_ids	reason_de	reader_requirement_de	semantic_identity_credit
G771-D001	ckhy	G769-T0171	f24r	f24r.3	5	CKHY_FINAL_WITHOUT_PATIENT_CONTROL	NEGATIVE_CONTROL_ADD	1	1	F07_LINE_FINAL_OR_CLOSE;F05_ABSENT	Finalposition allein darf nicht als Mischen gezählt werden.	Nichttarget-Nachbarn aktuell und ohne Bedeutungsimport typisieren.	0
G771-D002	ckhy	G769-T0495	f8r	f8r.15	10	CKHY_FINAL_WITHOUT_PATIENT_CONTROL	NEGATIVE_CONTROL_ADD	0	1	F07_LINE_FINAL_OR_CLOSE;F05_ABSENT	Finalposition allein darf nicht als Mischen gezählt werden.	Nichttarget-Nachbarn aktuell und ohne Bedeutungsimport typisieren.	0
G771-D003	ol	G769-T0105	f112r	f112r.36	2	OL_LEFT_VALUE_TYPED_RIGHT	SCORE_ADD	0	1	LEFT=sain@1:evidence=GDT760_EXACT_AMOUNT_SPAN || RIGHT=checkhy@3:reader_exact=1:source_roles=CONTENT_PREPARATION/QUALITY_STAGE:allowed_roles=PREPARATION	Füllt den gesamten bislang unbelegten Relatorzweig.	Vor Score-Aufnahme aktuelle Vollzeile ohne alte Stoffhauptwörter rendern.	0
G771-D004	ol	G769-T0177	f30v	f30v.2	7	OL_LEFT_VALUE_TYPED_RIGHT	SCORE_ADD	0	1	LEFT=keor@6:evidence=G771-LT01 || RIGHT=chy@8:reader_exact=1:source_roles=CONTENT_PREPARATION/QUALITY_STAGE:allowed_roles=FIELD	Füllt den gesamten bislang unbelegten Relatorzweig.	Vor Score-Aufnahme aktuelle Vollzeile ohne alte Stoffhauptwörter rendern.	0
G771-D005	ol	G769-T0257	f75r	f75r.26	2	OL_LEFT_VALUE_TYPED_RIGHT	SCORE_ADD	0	1	LEFT=dain@1:evidence=LICENSED_BARE_VALUE || RIGHT=sheol@3:reader_exact=1:source_roles=CONTENT_PREPARATION/QUALITY_STAGE:allowed_roles=PREPARATION	Füllt den gesamten bislang unbelegten Relatorzweig.	Vor Score-Aufnahme aktuelle Vollzeile ohne alte Stoffhauptwörter rendern.	0
G771-D006	ol	G769-T0412	f81r	f81r.15	2	OL_LEFT_VALUE_TYPED_RIGHT	SCORE_ADD	0	1	LEFT=sain@1:evidence=GDT760_EXACT_AMOUNT_SPAN || RIGHT=cheedy@3:reader_exact=1:source_roles=CLOSE/CONTENT_PREPARATION/QUALITY_STAGE:allowed_roles=PREPARATION	Füllt den gesamten bislang unbelegten Relatorzweig.	Vor Score-Aufnahme aktuelle Vollzeile ohne alte Stoffhauptwörter rendern.	0
G771-D007	ol	G769-T0417	f81r	f81r.22	8	OL_LEFT_VALUE_TYPED_RIGHT	SCORE_ADD	0	1	LEFT=chedar@7:evidence=G771-LT02 || RIGHT=oly@9:reader_exact=1:source_roles=PROCESS_PASS:allowed_roles=FIELD/PROCESS	Füllt den gesamten bislang unbelegten Relatorzweig.	Vor Score-Aufnahme aktuelle Vollzeile ohne alte Stoffhauptwörter rendern.	0
G771-D008	ol	G769-T0437	f82r	f82r.33	2	OL_LEFT_VALUE_TYPED_RIGHT	SCORE_ADD	0	1	LEFT=sain@1:evidence=GDT760_EXACT_AMOUNT_SPAN || RIGHT=cheol@3:reader_exact=1:source_roles=CONTENT_PREPARATION/QUALITY_STAGE:allowed_roles=PREPARATION	Füllt den gesamten bislang unbelegten Relatorzweig.	Vor Score-Aufnahme aktuelle Vollzeile ohne alte Stoffhauptwörter rendern.	0
G771-D009	ol	G769-T0453	f85r1	f85r1.21	4	OL_LEFT_VALUE_TYPED_RIGHT	SCORE_ADD	0	1	LEFT=oraiin@3:evidence=GDT760_EXACT_AMOUNT_SPAN/GDT769_BROAD_AMOUNT_VALUE || RIGHT=okaiin@5:reader_exact=1:source_roles=KNOWN_OTHER:allowed_roles=FIELD/PREPARATION	Füllt den gesamten bislang unbelegten Relatorzweig.	Vor Score-Aufnahme aktuelle Vollzeile ohne alte Stoffhauptwörter rendern.	0
G771-D010	ol	G769-T0477	f86v6	f86v6.23	12	OL_LEFT_VALUE_TYPED_RIGHT	HOLD_EXCLUDED_OR_INCOMPLETE	0	0	LEFT=ain@11:evidence=LICENSED_BARE_VALUE || RIGHT=keodar@13:reader_exact=1:source_roles=AMOUNT_VALUE/CONTENT_PREPARATION/QUALITY_STAGE:allowed_roles=PREPARATION	Der strukturelle Treffer ist derzeit nicht streng zugelassen.	Vor Score-Aufnahme aktuelle Vollzeile ohne alte Stoffhauptwörter rendern.	0
