surface_id	visible_surface	register_status	prose_occurrences	astro_occurrences	common_atom_sequences	classification	historical_layer	composition_autonomy	apprentice_action_de	memorized_body_or_residue	classification_evidence	short_spoken_value_de
SF0001	a	ASTRO_ONLY	0	1	NONE	LOCAL_ASTRO_NOMENCLATOR	NOMENCLATOR_PLUS_OWNER	NONE	lokale Karte mit Diagrammplatz lernen	a	ASTRO:NO_COMMON_CORE	Hauptwert
SF0002	aiin	PROSE_AND_ASTRO	3	6	AIIN	PRODUCTIVE_BREVIGRAPH	BREVIGRAPH	FULL	aus Kernen zusammensetzen	NONE	PROSE:LITERAL_PRODUCTIVE_PARSE	Sollmaß
SF0003	ain	ASTRO_ONLY	0	2	AIN	PRODUCTIVE_CORE_SIGN	BREVIGRAPH_PLUS_OWNER	FULL_WITH_OWNER	Kern lesen, Diagrammbesitzer ergänzen	NONE	ASTRO:COMMON_CORE	gezaehlter Teil oder Unterabschnitt
SF0004	air	ASTRO_ONLY	0	4	AIR	PRODUCTIVE_CORE_SIGN	BREVIGRAPH_PLUS_OWNER	FULL_WITH_OWNER	Kern lesen, Diagrammbesitzer ergänzen	NONE	ASTRO:COMMON_CORE	Himmels-, Ring- oder Zeigerlauf
SF0005	airchy	ASTRO_ONLY	0	1	AIR	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	Himmels-, Ring- oder Zeigerlauf
SF0006	al	PROSE_ONLY	1	0	AL	PRODUCTIVE_BREVIGRAPH	BREVIGRAPH	FULL	aus Kernen zusammensetzen	NONE	PROSE:LITERAL_PRODUCTIVE_PARSE	dorthin
SF0007	alaiin	ASTRO_ONLY	0	1	AL+AIIN	PRODUCTIVE_ASTRO_COMPOSITION	BREVIGRAPH_PLUS_OWNER	FULL_WITH_OWNER	Kerne lesen, Diagrammbesitzer ergänzen	NONE	ASTRO:FAMILY_COMPOSITION	Ziel-Sollwert
SF0008	aldaiin	ASTRO_ONLY	0	1	AL+AIIN	PRODUCTIVE_ASTRO_COMPOSITION	BREVIGRAPH_PLUS_OWNER	FULL_WITH_OWNER	Kerne lesen, Diagrammbesitzer ergänzen	NONE	ASTRO:FAMILY_COMPOSITION	Ziel-Sollwert; lokaler D-Rahmen
SF0009	aldy	ASTRO_ONLY	0	1	AL	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	Zielsektor, Zielstern oder Zielfeld
SF0010	alys	ASTRO_ONLY	0	1	AL	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	Zielsektor, Zielstern oder Zielfeld
SF0011	am	ASTRO_ONLY	0	3	NONE	LOCAL_ASTRO_NOMENCLATOR	NOMENCLATOR_PLUS_OWNER	NONE	lokale Karte mit Diagrammplatz lernen	am	ASTRO:NO_COMMON_CORE	Aspektwert
SF0012	amy	ASTRO_ONLY	0	1	NONE	LOCAL_ASTRO_NOMENCLATOR	NOMENCLATOR_PLUS_OWNER	NONE	lokale Karte mit Diagrammplatz lernen	amy	ASTRO:NO_COMMON_CORE	aktueller Aspektwert
SF0013	ar	ASTRO_ONLY	0	9	AR	PRODUCTIVE_CORE_SIGN	BREVIGRAPH_PLUS_OWNER	FULL_WITH_OWNER	Kern lesen, Diagrammbesitzer ergänzen	NONE	ASTRO:COMMON_CORE	Ausgangssektor, Ursprung oder Bezugswert
SF0014	aram	ASTRO_ONLY	0	1	AR	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	Ausgangssektor, Ursprung oder Bezugswert
SF0015	ay	ASTRO_ONLY	0	2	NONE	LOCAL_ASTRO_NOMENCLATOR	NOMENCLATOR_PLUS_OWNER	NONE	lokale Karte mit Diagrammplatz lernen	ay	ASTRO:NO_COMMON_CORE	aktueller Hauptwert
SF0016	cfhy	PROSE_ONLY	1	0	CFH+Y	PRODUCTIVE_FRAME_PLUS_NOMENCLATOR_BODY	BREVIGRAPH_PLUS_NOMENCLATOR	PARTIAL	Rahmen lesen, Körper auswendig ergänzen	CFH	PROSE:PRODUCTIVE_FRAME_PLUS_MEMORIZED_BODY	aktuellen Posten auswringen
SF0017	ch	ASTRO_ONLY	0	1	NONE	LOCAL_ASTRO_NOMENCLATOR	NOMENCLATOR_PLUS_OWNER	NONE	lokale Karte mit Diagrammplatz lernen	ch	ASTRO:NO_COMMON_CORE	Zustand
SF0018	chaiin	PROSE_ONLY	1	0	AIIN	RENDERER_ALLOGRAPH_OF_PRODUCTIVE	RENDERER_PLUS_BREVIGRAPH	FULL_AFTER_RENDERER_NORMALIZATION	Renderer abziehen, dann zusammensetzen	NONE	PROSE:RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	Sollmaß
SF0019	chair	PROSE_ONLY	1	0	AIR	PRODUCTIVE_BREVIGRAPH	BREVIGRAPH	FULL	aus Kernen zusammensetzen	NONE	PROSE:LITERAL_PRODUCTIVE_PARSE	Wasserzulauf
SF0020	chal	PROSE_ONLY	1	0	AL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE	RENDERER_PLUS_BREVIGRAPH	FULL_AFTER_RENDERER_NORMALIZATION	Renderer abziehen, dann zusammensetzen	NONE	PROSE:RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	dorthin
