token_order	field_id	field_position	field_mode	field_intent_de	master_card_id	surface	portable_value_de	surface_matches_mode	surface_registered_for_card	surface_uniquely_reads_card	is_field_final	field_closure
1	N1	1	CH	GRUNDZUBEREITUNG_AUFBAU	MC080	chor	Ansatz	YES	YES	YES	NO	OPEN
2	N1	2	CH	GRUNDZUBEREITUNG_AUFBAU	MC039	chaiin	Sollmaß	YES	YES	YES	NO	OPEN
3	N1	3	CH	GRUNDZUBEREITUNG_AUFBAU	MC147	cheky	kurz wärmen	YES	YES	YES	NO	OPEN
4	N1	4	CH	GRUNDZUBEREITUNG_AUFBAU	MC153	cheol	weiter	YES	YES	YES	NO	OPEN
5	N1	5	CH	GRUNDZUBEREITUNG_AUFBAU	MC123	chey	dies	YES	YES	YES	YES	OPEN
6	N2	1	D	VOM_VORIGEN_UEBERNEHMEN	MC142	dchol	vom vorigen	YES	YES	YES	NO	OPEN
7	N2	2	D	VOM_VORIGEN_UEBERNEHMEN	MC071	dchey	Grundteil	YES	YES	YES	NO	OPEN
8	N2	3	D	VOM_VORIGEN_UEBERNEHMEN	MC039	daiin	Sollmaß	YES	YES	YES	NO	OPEN
9	N2	4	D	VOM_VORIGEN_UEBERNEHMEN	MC154	dal	dorthin	YES	YES	YES	NO	OPEN
10	N2	5	D	VOM_VORIGEN_UEBERNEHMEN	MC055	dar	davon	YES	YES	YES	YES	OPEN
11	N3	1	O	IM_AKTIVEN_ANSATZ_FORTSETZEN	MC080	or	Ansatz	YES	YES	YES	NO	CLOSED
12	N3	2	O	IM_AKTIVEN_ANSATZ_FORTSETZEN	MC017	okain	Anteil zugeben	YES	YES	YES	NO	CLOSED
13	N3	3	O	IM_AKTIVEN_ANSATZ_FORTSETZEN	MC002	okeey	lange einwirken	YES	YES	YES	NO	CLOSED
14	N3	4	O	IM_AKTIVEN_ANSATZ_FORTSETZEN	MC153	ol	weiter	YES	YES	YES	NO	CLOSED
15	N3	5	O	IM_AKTIVEN_ANSATZ_FORTSETZEN	MC028	olchedy	weiterführen; Schluss	YES	YES	YES	YES	CLOSED
16	N4	1	Q	BESTIMMTEN_TEILSCHRITT_AKTIVIEREN	MC120	qokaiin	bemessen	YES	YES	YES	NO	CLOSED
17	N4	2	Q	BESTIMMTEN_TEILSCHRITT_AKTIVIEREN	MC040	qokal	dorthin einsetzen	YES	YES	YES	NO	CLOSED
18	N4	3	Q	BESTIMMTEN_TEILSCHRITT_AKTIVIEREN	MC002	qokeey	lange einwirken	YES	YES	YES	NO	CLOSED
19	N4	4	Q	BESTIMMTEN_TEILSCHRITT_AKTIVIEREN	MC026	qoky	einsetzen	YES	YES	YES	NO	CLOSED
20	N4	5	Q	BESTIMMTEN_TEILSCHRITT_AKTIVIEREN	MC083	qokedy	kurz einwirken; Schluss	YES	YES	YES	YES	CLOSED
21	N5	1	S	ZUSTAND_ODER_ERGEBNIS_EINTRAGEN	MC039	saiin	Sollmaß	YES	YES	YES	NO	CLOSED
22	N5	2	S	ZUSTAND_ODER_ERGEBNIS_EINTRAGEN	MC113	shedal	am Ziel absetzen	YES	YES	YES	NO	CLOSED
23	N5	3	S	ZUSTAND_ODER_ERGEBNIS_EINTRAGEN	MC137	shecthy	Kurzvorbereitung	YES	YES	YES	NO	CLOSED
24	N5	4	S	ZUSTAND_ODER_ERGEBNIS_EINTRAGEN	MC161	shcthy	bereit	YES	YES	YES	NO	CLOSED
25	N5	5	S	ZUSTAND_ODER_ERGEBNIS_EINTRAGEN	MC025	schedy	überführen; Schluss	YES	YES	YES	YES	CLOSED
