token_order	surface	decoded_card_id	intended_card_id	card_readback_exact	decoded_value_de	intended_mode	mode_readback_exact
1	chor	MC080	MC080	YES	Ansatz	CH	YES
2	chaiin	MC039	MC039	YES	Sollmaß	CH	YES
3	cheky	MC147	MC147	YES	kurz wärmen	CH	YES
4	cheol	MC153	MC153	YES	weiter	CH	YES
5	chey	MC123	MC123	YES	dies	CH	YES
6	dchol	MC142	MC142	YES	vom vorigen	D	YES
7	dchey	MC071	MC071	YES	Grundteil	D	YES
8	daiin	MC039	MC039	YES	Sollmaß	D	YES
9	dal	MC154	MC154	YES	dorthin	D	YES
10	dar	MC055	MC055	YES	davon	D	YES
11	or	MC080	MC080	YES	Ansatz	O	YES
12	okain	MC017	MC017	YES	Anteil zugeben	O	YES
13	okeey	MC002	MC002	YES	lange einwirken	O	YES
14	ol	MC153	MC153	YES	weiter	O	YES
15	olchedy	MC028	MC028	YES	weiterführen; Schluss	O	YES
16	qokaiin	MC120	MC120	YES	bemessen	Q	YES
17	qokal	MC040	MC040	YES	dorthin einsetzen	Q	YES
18	qokeey	MC002	MC002	YES	lange einwirken	Q	YES
19	qoky	MC026	MC026	YES	einsetzen	Q	YES
20	qokedy	MC083	MC083	YES	kurz einwirken; Schluss	Q	YES
21	saiin	MC039	MC039	YES	Sollmaß	S	YES
22	shedal	MC113	MC113	YES	am Ziel absetzen	S	YES
23	shecthy	MC137	MC137	YES	Kurzvorbereitung	S	YES
24	shcthy	MC161	MC161	YES	bereit	S	YES
25	schedy	MC025	MC025	YES	überführen; Schluss	S	YES
