component_recipe	intake_tier	tier_priority	literal_reading_de	generic_workshop_phrase_de	support_count	support_kind	registers	sample_surface	sample_existing_clause_de	intake_action	surface_rule
AIIN	T0_EXACT_OBSERVED	0	WERT	Wert.	155	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	daiin	Im laufenden Gang lege den Kennwert fest.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AIIN+Y	T0_EXACT_OBSERVED	0	WERT · POSTEN	Wert des Postens.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	aiiny	Im laufenden Gang bearbeite den Stationswert und den Stationsposten.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AIN	T0_EXACT_OBSERVED	0	ANTEIL	Anteil.	63	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	dan	Im laufenden Gang lege den Teilwert fest.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AIN+D_ADDR	T0_EXACT_OBSERVED	0	ANTEIL · HIER	Anteil hier.	1	OBSERVED_EVENT_COUNT	HERBAL	daid	Im laufenden Gang nimm den Materialanteil; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AIR	T0_EXACT_OBSERVED	0	BAHN	Entlang der Bahn.	5	OBSERVED_EVENT_COUNT	CELESTIAL|PHARMA	air	Im laufenden Gang wähle den Positionswert [wie zuvor]; entlang der Ringbahn.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AIR+Y+DY	T0_EXACT_OBSERVED	0	BAHN · POSTEN · SCHLUSS	Entlang der Bahn: Posten; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	dairydy	Im laufenden Gang führe den Stationsposten zu; entlang der Stationsbahn; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL	T0_EXACT_OBSERVED	0	ZIELORT	Am Zielort.	75	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	dal	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; zur Zielspalte.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+AIIN	T0_EXACT_OBSERVED	0	ZIELORT · WERT	Am Zielort: Wert.	6	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|PHARMA	alaiin	Im laufenden Gang wähle den Positionswert; zur Zielposition.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+AIIN+LOCAL_CHAR_I	T0_EXACT_OBSERVED	0	ZIELORT · WERT · VARIANTE	Am Zielort: Wert mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	CELESTIAL	alaiiin	Im laufenden Gang halte den Positionswert; zur Zielposition; mit der lokalen Variante.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+AL	T0_EXACT_OBSERVED	0	ZIELORT · ZIELORT	Am Zielort und am Zielort.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|PHARMA	dalal	Im laufenden Gang bearbeite den Stationsposten [wie zuvor]; zur Zielstation [außen] und zur Zielstation [innen].	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
