component_recipe	literal_reading_de	generic_workshop_phrase_de	source_neighbor_count	source_recipes	generic_phrase_collision_count	generic_phrase_collision_recipes	appendix_rule	surface_rule
AIIN+AIIN	WERT · WERT	Äußerer Wert; innerer Wert.	2	AIIN+Y | OR+AIIN	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIIN+AL	WERT · ZIELORT	Wert am Zielort.	2	OR+AL | Y+AL	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIIN+OR	WERT · EINHEIT	Wert der Einheit.	2	AIIN+Y | OR+OR	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIN+AIN	ANTEIL · ANTEIL	Äußerer Anteil; innerer Anteil.	2	OR+AIN | Y+AIN	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIN+AL	ANTEIL · ZIELORT	Anteil am Zielort.	2	OR+AL | Y+AL	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+AL	BAHN · ZIELORT	Entlang der Bahn und am Zielort.	2	AL+AL | L+AL	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+CHD	BAHN · BEARBEITEN	Bearbeite entlang der Bahn.	2	AL+CHD | L+CHD	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+CHD+DY	BAHN · BEARBEITEN · SCHLUSS	Bearbeite entlang der Bahn; schließe den Schritt.	2	AL+CHD+DY | L+CHD+DY	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+DY	BAHN · SCHLUSS	Entlang der Bahn; schließe den Schritt.	2	AL+DY | L+DY	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+K+AIN	BAHN · GEBEN · ANTEIL	Gib den Anteil entlang der Bahn.	2	AL+K+AIN | L+K+AIN	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+O	BAHN · AUSFÜHRUNG	Entlang der Bahn.	2	AL+O | L+O	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+OL+Y	BAHN · FORTSETZEN · POSTEN	Weiter: Entlang der Bahn: Posten.	2	AR+OL+Y | L+OL+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+OR	BAHN · EINHEIT	Entlang der Bahn: Einheit.	2	AL+OR | L+OR	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+SH+E+DY	BAHN · HALTEN · GRAD I · SCHLUSS	Halte entlang der Bahn auf Grad I; schließe den Schritt.	2	AL+SH+E+DY | L+SH+E+DY	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+AR	ZIELORT · AUSGANG	Am Zielort und vom Ausgang.	2	AL+AL | L+AR	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+CH	ZIELORT · NEHMEN	Nimm am Zielort.	2	AL+S | L+CH	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+CH+Y	ZIELORT · NEHMEN · POSTEN	Nimm den Posten am Zielort.	2	AL+S+Y | L+CH+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+CHD+Y	ZIELORT · BEARBEITEN · POSTEN	Bearbeite den Posten am Zielort.	2	AL+SH+Y | L+CHD+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+D_ADDR+AIN	ZIELORT · HIER · ANTEIL	Am Zielort: Anteil hier.	2	AL+D_ADDR+AIIN | AL+D_ADDR+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+D_ADDR+OR	ZIELORT · HIER · EINHEIT	Am Zielort: Einheit hier.	2	AL+D_ADDR+AIIN | AL+D_ADDR+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+K+AIIN	ZIELORT · GEBEN · WERT	Gib den Wert am Zielort.	2	AL+K+AIN | L+K+AIIN	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+K+Y	ZIELORT · GEBEN · POSTEN	Gib den Posten am Zielort.	2	AL+K+AIN | L+K+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+OL+Y	ZIELORT · FORTSETZEN · POSTEN	Weiter: Am Zielort: Posten.	2	AR+OL+Y | L+OL+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+SH	ZIELORT · HALTEN	Halte am Zielort.	2	AL+CHD | L+SH	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+AL	AUSGANG · ZIELORT	Vom Ausgang und am Zielort.	2	AL+AL | L+AL	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+CH+EE+OR	AUSGANG · NEHMEN · GRAD II · EINHEIT	Nimm die Einheit vom Ausgang auf Grad II.	2	AR+CH+EE+Y | L+CH+EE+OR	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+CHD	AUSGANG · BEARBEITEN	Bearbeite vom Ausgang.	2	AL+CHD | L+CHD	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+CHD+DY	AUSGANG · BEARBEITEN · SCHLUSS	Bearbeite vom Ausgang; schließe den Schritt.	2	AL+CHD+DY | L+CHD+DY	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+DY	AUSGANG · SCHLUSS	Vom Ausgang; schließe den Schritt.	2	AL+DY | L+DY	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+K+AIN	AUSGANG · GEBEN · ANTEIL	Gib den Anteil vom Ausgang.	2	AL+K+AIN | L+K+AIN	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
