component_recipe	intake_tier	register	literal_reading_de	owner_local_atom_expansion_de	owner_local_workshop_phrase_de	surface_rule
AL+AIN	T1_FUTURE_HIGH	BIOLOGICAL	ZIELORT · ANTEIL	ZIELSTATION · STATIONSANTEIL	An der Zielstation: Stationsanteil.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+AIN	T1_FUTURE_HIGH	CELESTIAL	ZIELORT · ANTEIL	ZIELPOSITION · SEKTORANTEIL	An der Zielposition: Sektoranteil.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+AIN	T1_FUTURE_HIGH	HERBAL	ZIELORT · ANTEIL	ZIELSTELLE · MATERIALANTEIL	An der Zielstelle: Materialanteil.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+AIN	T1_FUTURE_HIGH	PHARMA	ZIELORT · ANTEIL	ZIELGEFÄSS · DROGENANTEIL	Am Zielgefäß: Drogenanteil.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+AIN	T1_FUTURE_HIGH	SOURCE_SECTION_T	ZIELORT · ANTEIL	ZIELSPALTE · TEILWERT	An der Zielspalte: Teilwert.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+OR	T1_FUTURE_HIGH	BIOLOGICAL	AUSGANG · EINHEIT	AUSGANGSSTATION · STATIONSEINHEIT	Von der Ausgangsstation: Stationseinheit.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+OR	T1_FUTURE_HIGH	CELESTIAL	AUSGANG · EINHEIT	AUSGANGSPOSITION · POSITIONSEINHEIT	Von der Ausgangsposition: Positionseinheit.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+OR	T1_FUTURE_HIGH	HERBAL	AUSGANG · EINHEIT	AUSGANGSMATERIAL · ARBEITSEINHEIT	Vom Ausgangsmaterial: Arbeitseinheit.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+OR	T1_FUTURE_HIGH	PHARMA	AUSGANG · EINHEIT	AUSGANGSGEFÄSS · ANSATZEINHEIT	Vom Ausgangsgefäß: Ansatzeinheit.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+OR	T1_FUTURE_HIGH	SOURCE_SECTION_T	AUSGANG · EINHEIT	AUSGANGSZEILE · EINTRAGSEINHEIT	Von der Ausgangszeile: Eintragseinheit.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+AR	T1_FUTURE_HIGH	BIOLOGICAL	NEHMEN · AUSGANG	POSTEN ENTNEHMEN · AUSGANGSSTATION	Entnimm von der Ausgangsstation.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+AR	T1_FUTURE_HIGH	CELESTIAL	NEHMEN · AUSGANG	POSITION AUFNEHMEN · AUSGANGSPOSITION	Nimm von der Ausgangsposition auf.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+AR	T1_FUTURE_HIGH	HERBAL	NEHMEN · AUSGANG	PFLANZENTEIL NEHMEN · AUSGANGSMATERIAL	Nimm vom Ausgangsmaterial.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+AR	T1_FUTURE_HIGH	PHARMA	NEHMEN · AUSGANG	DROGENPOSTEN NEHMEN · AUSGANGSGEFÄSS	Nimm vom Ausgangsgefäß.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+AR	T1_FUTURE_HIGH	SOURCE_SECTION_T	NEHMEN · AUSGANG	ENTNEHMEN · AUSGANGSZEILE	Entnimm von der Ausgangszeile.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
SH+AIN	T1_FUTURE_HIGH	BIOLOGICAL	HALTEN · ANTEIL	POSTEN HALTEN · STATIONSANTEIL	Halte den Stationsanteil.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
SH+AIN	T1_FUTURE_HIGH	CELESTIAL	HALTEN · ANTEIL	POSITION HALTEN · SEKTORANTEIL	Halte den Sektoranteil.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
SH+AIN	T1_FUTURE_HIGH	HERBAL	HALTEN · ANTEIL	MATERIAL HALTEN · MATERIALANTEIL	Halte den Materialanteil.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
SH+AIN	T1_FUTURE_HIGH	PHARMA	HALTEN · ANTEIL	ANSATZ HALTEN · DROGENANTEIL	Halte den Drogenanteil.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
SH+AIN	T1_FUTURE_HIGH	SOURCE_SECTION_T	HALTEN · ANTEIL	FESTHALTEN · TEILWERT	Halte den Teilwert fest.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIIN+AIN	T2_FUTURE_STRONG	BIOLOGICAL	WERT · ANTEIL	STATIONSWERT · STATIONSANTEIL	Stationswert des Stationsanteils.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIIN+AIN	T2_FUTURE_STRONG	CELESTIAL	WERT · ANTEIL	POSITIONSWERT · SEKTORANTEIL	Positionswert des Sektoranteils.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIIN+AIN	T2_FUTURE_STRONG	HERBAL	WERT · ANTEIL	ARBEITSWERT · MATERIALANTEIL	Arbeitswert des Materialanteils.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIIN+AIN	T2_FUTURE_STRONG	PHARMA	WERT · ANTEIL	MENGENWERT · DROGENANTEIL	Mengenwert des Drogenanteils.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIIN+AIN	T2_FUTURE_STRONG	SOURCE_SECTION_T	WERT · ANTEIL	KENNWERT · TEILWERT	Kennwert des Teilwerts.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIN+Y	T2_FUTURE_STRONG	BIOLOGICAL	ANTEIL · POSTEN	STATIONSANTEIL · STATIONSPOSTEN	Stationsanteil des Stationspostens.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIN+Y	T2_FUTURE_STRONG	CELESTIAL	ANTEIL · POSTEN	SEKTORANTEIL · POSITIONSPOSTEN	Sektoranteil des Positionspostens.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIN+Y	T2_FUTURE_STRONG	HERBAL	ANTEIL · POSTEN	MATERIALANTEIL · PFLANZENPOSTEN	Materialanteil des Pflanzenpostens.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIN+Y	T2_FUTURE_STRONG	PHARMA	ANTEIL · POSTEN	DROGENANTEIL · DROGENPOSTEN	Drogenanteil des Drogenpostens.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIN+Y	T2_FUTURE_STRONG	SOURCE_SECTION_T	ANTEIL · POSTEN	TEILWERT · LAUFENDER EINTRAG	Teilwert des laufenden Eintrags.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+AIIN	T2_FUTURE_STRONG	BIOLOGICAL	BAHN · WERT	STATIONSBAHN · STATIONSWERT	Entlang der Stationsbahn: Stationswert.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+AIIN	T2_FUTURE_STRONG	CELESTIAL	BAHN · WERT	RINGBAHN · POSITIONSWERT	Entlang der Ringbahn: Positionswert.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+AIIN	T2_FUTURE_STRONG	HERBAL	BAHN · WERT	VERARBEITUNGSBAHN · ARBEITSWERT	Entlang der Verarbeitungsbahn: Arbeitswert.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+AIIN	T2_FUTURE_STRONG	PHARMA	BAHN · WERT	TRANSFERBAHN · MENGENWERT	Entlang der Transferbahn: Mengenwert.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+AIIN	T2_FUTURE_STRONG	SOURCE_SECTION_T	BAHN · WERT	LESEBAHN · KENNWERT	Entlang der Lesebahn: Kennwert.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+OL	T2_FUTURE_STRONG	BIOLOGICAL	BAHN · FORTSETZEN	STATIONSBAHN · STATION WEITERFÜHREN	Weiter: Entlang der Stationsbahn.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+OL	T2_FUTURE_STRONG	CELESTIAL	BAHN · FORTSETZEN	RINGBAHN · RINGFOLGE FORTSETZEN	Weiter: Entlang der Ringbahn.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+OL	T2_FUTURE_STRONG	HERBAL	BAHN · FORTSETZEN	VERARBEITUNGSBAHN · PFLANZENBEHANDLUNG FORTSETZEN	Weiter: Entlang der Verarbeitungsbahn.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+OL	T2_FUTURE_STRONG	PHARMA	BAHN · FORTSETZEN	TRANSFERBAHN · ANSATZ FORTSETZEN	Weiter: Entlang der Transferbahn.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+OL	T2_FUTURE_STRONG	SOURCE_SECTION_T	BAHN · FORTSETZEN	LESEBAHN · WEITERFÜHREN	Weiter: Entlang der Lesebahn.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+Y	T2_FUTURE_STRONG	BIOLOGICAL	BAHN · POSTEN	STATIONSBAHN · STATIONSPOSTEN	Entlang der Stationsbahn: Stationsposten.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+Y	T2_FUTURE_STRONG	CELESTIAL	BAHN · POSTEN	RINGBAHN · POSITIONSPOSTEN	Entlang der Ringbahn: Positionsposten.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+Y	T2_FUTURE_STRONG	HERBAL	BAHN · POSTEN	VERARBEITUNGSBAHN · PFLANZENPOSTEN	Entlang der Verarbeitungsbahn: Pflanzenposten.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
