master_card_id	registered_surfaces_seen	portable_value_de	curriculum_layer	astro_group_count	pages	namespaces	value_invariant	diagram_native_value_de	diagram_role	prose_to_diagram_relation	value_scope
MC002	okeey	lange einwirken	KNOWN_PROSE_CARD_IN_ASTRO	4	f68r1|f69v	F68_RIGHT_PANEL_HEADER_NS|F69_LEFT_WHEEL_NS	YES	LANGSTUFE_SETZEN	GRADE_SET	lange Einwirkzeit ist lokale Nass-Ausführung	REGISTER_NEUTRAL_CORE_WITH_LOCAL_EXPANSION
MC007	okey	kurz einwirken	KNOWN_PROSE_CARD_IN_ASTRO	2	f67r2|f69v	F67_LEFT_WHEEL_NS|F69_LEFT_WHEEL_NS	YES	KURZSTUFE_SETZEN	GRADE_SET	kurze Einwirkzeit ist lokale Nass-Ausführung	REGISTER_NEUTRAL_CORE_WITH_LOCAL_EXPANSION
MC017	okain	Anteil zugeben	KNOWN_PROSE_CARD_IN_ASTRO	1	f67r2	F67_LEFT_WHEEL_NS	YES	TEILWERT_ZUGEBEN	QUANTITY_INPUT	Anteil bleibt abstrakt portabel	REGISTER_NEUTRAL_CORE_WITH_LOCAL_EXPANSION
MC019	oldy	fertig	THREE_REGISTER_COMMON_CORE	1	f67r2	F67_RIGHT_WHEEL_NS	YES	fertig	THREE_REGISTER_COMMON_CORE	already abstract and portable	THREE_REGISTER_COMMON
MC026	oky|choky	einsetzen	THREE_REGISTER_COMMON_CORE	2	f68r1|f69v	F68_CENTRAL_LEGEND_QUARANTINE_NS|F69_MIDDLE_WHEEL_NS	YES	einsetzen	THREE_REGISTER_COMMON_CORE	already abstract and portable	THREE_REGISTER_COMMON
MC034	cho	weitere Zutat	KNOWN_PROSE_CARD_IN_ASTRO	2	f67r2|f69v	F67_LEFT_WHEEL_NS|F69_RIGHT_WHEEL_NS	YES	EINGANGSBEDINGUNG	INPUT	Herbal-Zutat ist eine konkrete Eingabe	REGISTER_NEUTRAL_CORE_WITH_LOCAL_EXPANSION
MC039	daiin|aiin|saiin	Sollwert	THREE_REGISTER_COMMON_CORE	11	f67r2|f69v	F67_LEFT_WHEEL_NS|F67_PAIRED_LEGEND_QUARANTINE_NS|F69_MIDDLE_WHEEL_NS	YES	Sollwert	THREE_REGISTER_COMMON_CORE	already abstract and portable	THREE_REGISTER_COMMON
MC040	okal	dorthin einsetzen	THREE_REGISTER_COMMON_CORE	1	f67r2	F67_LEFT_WHEEL_NS	YES	dorthin einsetzen	THREE_REGISTER_COMMON_CORE	already abstract and portable	THREE_REGISTER_COMMON
MC053	otol	Fortgang	KNOWN_PROSE_CARD_IN_ASTRO	1	f68r1	F68_LOCAL_STAR_SLOT_NS	YES	DANACH_FORTSETZEN	ORDER	Fortgang bleibt portabel	REGISTER_NEUTRAL_CORE_WITH_LOCAL_EXPANSION
MC055	dar|sar|char	davon	THREE_REGISTER_COMMON_CORE	5	f67r2|f69v	F67_LEFT_WHEEL_NS|F69_LEFT_WHEEL_NS	YES	davon	THREE_REGISTER_COMMON_CORE	already abstract and portable	THREE_REGISTER_COMMON
MC059	dain	Einlage	KNOWN_PROSE_CARD_IN_ASTRO	1	f67r2	F67_LEFT_WHEEL_NS	YES	ABDECK_ODER_TRAEGERFELD	FIELD_OBJECT	Prosa-Einlage ist lokale Trägerausführung	REGISTER_NEUTRAL_CORE_WITH_LOCAL_EXPANSION
MC063	oteey	Langfolge	KNOWN_PROSE_CARD_IN_ASTRO	2	f69v	F69_RIGHT_WHEEL_NS	YES	NAECHSTER_LANGSTUFENPOSTEN	ORDER_GRADE	Langfolge wird diagrammatisch konkret	REGISTER_NEUTRAL_CORE_WITH_LOCAL_EXPANSION
MC067	otchdy	Nachtransfer; Schluss	KNOWN_PROSE_CARD_IN_ASTRO	1	f68r1	F68_LOCAL_STAR_SLOT_NS	YES	FOLGEPLATZ_UEBERTRAGEN__SCHLUSS	ORDER_TRANSFER	Nachtransfer bleibt portabel	REGISTER_NEUTRAL_CORE_WITH_LOCAL_EXPANSION
MC074	chdy	überführen	THREE_REGISTER_COMMON_CORE	1	f69v	F69_RIGHT_WHEEL_NS	YES	überführen	THREE_REGISTER_COMMON_CORE	already abstract and portable	THREE_REGISTER_COMMON
MC080	or|sor	Ansatz	THREE_REGISTER_COMMON_CORE	2	f67r2	F67_LEFT_WHEEL_NS	YES	Ansatz	THREE_REGISTER_COMMON_CORE	already abstract and portable	THREE_REGISTER_COMMON
MC095	sheey	Langhalt	KNOWN_PROSE_CARD_IN_ASTRO	1	f69v	F69_MIDDLE_WHEEL_NS	YES	POSITION_LAENGER_HALTEN	GRADE_HOLD	Langhalt wird positionsbezogen	REGISTER_NEUTRAL_CORE_WITH_LOCAL_EXPANSION
MC100	ody	abkühlen; Schluss	KNOWN_PROSE_CARD_IN_ASTRO	1	f69v	F69_MIDDLE_WHEEL_NS	YES	POSTEN_ZURUECKNEHMEN__SCHLUSS	RESET_CLOSE	Herbal-Abkühlen ist Zurücknahme aus Wärme	REGISTER_NEUTRAL_CORE_WITH_LOCAL_EXPANSION
MC103	okchy	weiterbearbeiten	KNOWN_PROSE_CARD_IN_ASTRO	1	f67r2	F67_RIGHT_WHEEL_NS	YES	POSTEN_SETZEN	SET	Prosa-Weiterbearbeitung ist lokale Setzoperation	REGISTER_NEUTRAL_CORE_WITH_LOCAL_EXPANSION
MC117	kchy	Bearbeiten	KNOWN_PROSE_CARD_IN_ASTRO	1	f67r2	F67_RIGHT_WHEEL_NS	YES	PLATZ_BEARBEITEN	PROCESS	Bearbeiten bleibt portabel	REGISTER_NEUTRAL_CORE_WITH_LOCAL_EXPANSION
MC119	cheey|shey	Freigabewert	THREE_REGISTER_COMMON_CORE	3	f68r1|f69v	F68_MIDDLE_PANEL_HEADER_NS|F68_RIGHT_PANEL_HEADER_NS|F69_MIDDLE_WHEEL_NS	YES	Freigabewert	THREE_REGISTER_COMMON_CORE	already abstract and portable	THREE_REGISTER_COMMON
MC121	otar	Folgequelle	KNOWN_PROSE_CARD_IN_ASTRO	1	f67r2	F67_LEFT_WHEEL_NS	YES	DANACH_VOM_AUSGANGSPLATZ	ORDER_SOURCE	Folgequelle wird diagrammatischer Ausgang	REGISTER_NEUTRAL_CORE_WITH_LOCAL_EXPANSION
MC122	kchey	Kurzbearbeitung	KNOWN_PROSE_CARD_IN_ASTRO	1	f67r2	F67_RIGHT_WHEEL_NS	YES	PLATZ_KURZ_BEARBEITEN	PROCESS_GRADE	Kurzbearbeitung bleibt portabel	REGISTER_NEUTRAL_CORE_WITH_LOCAL_EXPANSION
