edition	grammar	mix	model	paragraph	target	prior_kernels	body_kernels	complete_body_kernels	linked_body_kernels	possible_prior_links	all_registered_body_kernels_linked	status	scope	row_status
ZL3b	B	U	AT	f6v|f6v.6-f6v.21	f6v.8:1	2	2	2	0	0	False	INCOMPLETE_ADDITIVE_LINK	ACTIONS_AND_FIXED_STANDALONE_QUALITIES	recorded
ZL3b	B	U	AP	f6v|f6v.6-f6v.21	f6v.8:1	2	2	2	0	0	False	INCOMPLETE_ADDITIVE_LINK	ACTIONS_AND_FIXED_STANDALONE_QUALITIES	recorded
ZL3b	B	D	AT	f6v|f6v.6-f6v.21	f6v.8:1	2	2	2	0	0	False	INCOMPLETE_ADDITIVE_LINK	ACTIONS_AND_FIXED_STANDALONE_QUALITIES	recorded
ZL3b	B	D	AP	f6v|f6v.6-f6v.21	f6v.8:1	2	2	2	0	0	False	INCOMPLETE_ADDITIVE_LINK	ACTIONS_AND_FIXED_STANDALONE_QUALITIES	recorded
ZL3b	J	U	AT	f6v|f6v.6-f6v.21	f6v.8:1	2	2	2	0	0	False	INCOMPLETE_ADDITIVE_LINK	ACTIONS_AND_FIXED_STANDALONE_QUALITIES	recorded
ZL3b	J	U	AP	f6v|f6v.6-f6v.21	f6v.8:1	2	2	2	0	0	False	INCOMPLETE_ADDITIVE_LINK	ACTIONS_AND_FIXED_STANDALONE_QUALITIES	recorded
ZL3b	J	D	AT	f6v|f6v.6-f6v.21	f6v.8:1	2	2	2	0	0	False	INCOMPLETE_ADDITIVE_LINK	ACTIONS_AND_FIXED_STANDALONE_QUALITIES	recorded
ZL3b	J	D	AP	f6v|f6v.6-f6v.21	f6v.8:1	2	2	2	0	0	False	INCOMPLETE_ADDITIVE_LINK	ACTIONS_AND_FIXED_STANDALONE_QUALITIES	recorded
ZL3b	M	U	AT	f6v|f6v.6-f6v.21	f6v.8:1	2	2	2	0	0	False	INCOMPLETE_ADDITIVE_LINK	ACTIONS_AND_FIXED_STANDALONE_QUALITIES	recorded
ZL3b	M	U	AP	f6v|f6v.6-f6v.21	f6v.8:1	2	2	2	0	0	False	INCOMPLETE_ADDITIVE_LINK	ACTIONS_AND_FIXED_STANDALONE_QUALITIES	recorded
ZL3b	M	D	AT	f6v|f6v.6-f6v.21	f6v.8:1	2	2	2	0	0	False	INCOMPLETE_ADDITIVE_LINK	ACTIONS_AND_FIXED_STANDALONE_QUALITIES	recorded
ZL3b	M	D	AP	f6v|f6v.6-f6v.21	f6v.8:1	2	2	2	0	0	False	INCOMPLETE_ADDITIVE_LINK	ACTIONS_AND_FIXED_STANDALONE_QUALITIES	recorded
ZL3b	B	U	AT	f9v|f9v.5-f9v.12	f9v.11:1	10	1	1	0	0	False	INCOMPLETE_ADDITIVE_LINK	ACTIONS_AND_FIXED_STANDALONE_QUALITIES	recorded
ZL3b	B	U	AP	f9v|f9v.5-f9v.12	f9v.11:1	10	1	1	0	0	False	INCOMPLETE_ADDITIVE_LINK	ACTIONS_AND_FIXED_STANDALONE_QUALITIES	recorded
ZL3b	B	D	AT	f9v|f9v.5-f9v.12	f9v.11:1	10	1	1	0	0	False	INCOMPLETE_ADDITIVE_LINK	ACTIONS_AND_FIXED_STANDALONE_QUALITIES	recorded
