edition	paragraph	target	previous_locus	previous_raw	target_raw	all_prior_loci	row_status
ZL3b	f6v|f6v.6-f6v.21	f6v.8:1	f6v.7	ychos ychol daiin cthol dol	ychor chor okchey qokom	f6v.6;f6v.7	recorded
ZL3b	f9v|f9v.5-f9v.12	f9v.11:1	f9v.10	oty kchol chol chy kyty	ychor chshoty oky kaiin	f9v.5;f9v.6;f9v.7;f9v.8;f9v.9;f9v.10	recorded
ZL3b	f17v|f17v.1-f17v.23	f17v.15:1	f17v.14	olo r okeeol chodaiin okeol tchory	ychor cthy che'eky cheo otor oteol	f17v.1;f17v.2;f17v.3;f17v.4;f17v.5;f17v.6;f17v.7;f17v.8;f17v.9;f17v.10;f17v.11;f17v.12;f17v.13;f17v.14	recorded
ZL3b	f19v|f19v.8-f19v.14	f19v.9:1	f19v.8	toy tchey qo dchol qokchs dom	ychor oky chor yt[o:a]l chol oky ddor	f19v.8	recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.7:1	f22v.6	fshor shy tchor otaiin	ychor chor qokchol chory	f22v.6	recorded
ZL3b	f23r|f23r.4-f23r.5	f23r.5:1	f23r.4	qokoldy okaiir ykaiil g qokeey ofchol dain yfchor olfchor otchald	ychor qokchol ytym chol da[ir:in] chol ar ol ol dol dain	f23r.4	recorded
ZL3b	f24r|f24r.1-f24r.20	f24r.8:1	f24r.7	q@145;kar chtar s cheor cthol qodol	ychor s om qoear daiin qokeol	f24r.1;f24r.2;f24r.3;f24r.4;f24r.5;f24r.6;f24r.7	recorded
ZL3b	f45v|f45v.5-f45v.11	f45v.9:1	f45v.8	yksheor odal sho dy pchom otor oa[iir:iin]	ychor cthy chol qokom sy sa ykchom	f45v.5;f45v.6;f45v.7;f45v.8	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	f86v5.20:1	f86v5.19	ycheeytydaiin ykeeo chey shckhy shoky oty oty otain olkchdy	ychor ar aiin ytaly otaiin ykaiin otal ytar aiin ytaiiil	f86v5.18;f86v5.19	recorded
ZL3b	f93r|f93r.1-f93r.32	f93r.28:1	f93r.27	qokor cheo los ckheody	ychor odol chodaiin s	f93r.1;f93r.2;f93r.3;f93r.4;f93r.5;f93r.6;f93r.7;f93r.8;f93r.9;f93r.10;f93r.11;f93r.12;f93r.13;f93r.14;f93r.15;f93r.16;f93r.17;f93r.18;f93r.19;f93r.20;f93r.21;f93r.22;f93r.23;f93r.24;f93r.25;f93r.26;f93r.27	recorded
ZL3b	f99r|f99r.47-f99r.52	f99r.52:1	f99r.51	yshaiin {ykh}ey octhey dy daiin okor okeey sh{cty}sh	ychor ols or agairom	f99r.47;f99r.48;f99r.49;f99r.50;f99r.51	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	f102v2.35:1	f102v2.34	sorshey okeeor sheockhey qokeos okchol ctheor okey sal	ychor sheol por sheeor shekeey qoky cheo teody qokeol daiin	f102v2.30;f102v2.31;f102v2.32;f102v2.33;f102v2.34	recorded
ZL3b	f106r|f106r.8-f106r.9	f106r.9:1	f106r.8	porarchy orar ol kaiin shedy oteedy qotor qoteedo qoteedy dair ok[ch:ee]daim	ychor chol qokain chocphol lchedy qocheo qokar	f106r.8	recorded
