surface	entry	kind	working_meaning_de	composition	context_rule	status	source_locus	occurrences	acceptance_tier
ckhy	ckhy@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_NEUTRAL_CKH_FAMILY	Arzneikompositum am Gradanfang	CKH_LEARNED+y	exact complete surface only; tier=STRONG_NEUTRAL_CKH_FAMILY; 34 audited occurrences; 25 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_01	f9v.12	34	STRONG_NEUTRAL_CKH_FAMILY
ckhey	ckhey@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_NEUTRAL_CKH_FAMILY	Arzneikompositum in der Gradmitte	CKH_LEARNED+e+y	exact complete surface only; tier=STRONG_NEUTRAL_CKH_FAMILY; 22 audited occurrences; 20 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_02	NONE	22	STRONG_NEUTRAL_CKH_FAMILY
ckheey	ckheey@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_NEUTRAL_CKH_FAMILY	Arzneikompositum am Gradende	CKH_LEARNED+ee+y	exact complete surface only; tier=STRONG_NEUTRAL_CKH_FAMILY; 8 audited occurrences; 8 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_03	NONE	8	STRONG_NEUTRAL_CKH_FAMILY
ckhdy	ckhdy@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_PROVISIONAL_LOW_N_CKH_FAMILY	Arzneikompositum am Gradanfang, abgeschlossen	CKH_LEARNED+d+y	exact complete surface only; tier=PROVISIONAL_LOW_N_CKH_FAMILY; 4 audited occurrences; 1 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_04	NONE	4	PROVISIONAL_LOW_N_CKH_FAMILY
ckhedy	ckhedy@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_PROVISIONAL_LOW_N_CKH_FAMILY	Arzneikompositum in der Gradmitte, abgeschlossen	CKH_LEARNED+e+d+y	exact complete surface only; tier=PROVISIONAL_LOW_N_CKH_FAMILY; 2 audited occurrences; 1 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_05	NONE	2	PROVISIONAL_LOW_N_CKH_FAMILY
ockhy	ockhy@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_BOUNDARY_COMPOUND	Ansatz eines Arzneikompositums am Gradanfang	O_PREP+CKH_LEARNED+y	exact complete surface only; tier=STRONG_BOUNDARY_COMPOUND; 6 audited occurrences; 6 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_06	NONE	6	STRONG_BOUNDARY_COMPOUND
ockhey	ockhey@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_BOUNDARY_COMPOUND	Ansatz eines Arzneikompositums in der Gradmitte	O_PREP+CKH_LEARNED+e+y	exact complete surface only; tier=STRONG_BOUNDARY_COMPOUND; 7 audited occurrences; 5 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_07	NONE	7	STRONG_BOUNDARY_COMPOUND
ockhedy	ockhedy@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_PROVISIONAL_LOW_N_BOUNDARY_COMPOUND	Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen	O_PREP+CKH_LEARNED+e+d+y	exact complete surface only; tier=PROVISIONAL_LOW_N_BOUNDARY_COMPOUND; 5 audited occurrences; 3 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_08	NONE	5	PROVISIONAL_LOW_N_BOUNDARY_COMPOUND
chockhy	chockhy@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_COMPONENT_GRID	Arzneikompositum im Trockenansatz am Gradanfang	ch+O_PREP+CKH_LEARNED+y	exact complete surface only; tier=STRONG_COMPONENT_GRID; 18 audited occurrences; 18 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_09	NONE	18	STRONG_COMPONENT_GRID
chockhey	chockhey@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_COMPONENT_GRID	Arzneikompositum im Trockenansatz in der Gradmitte	ch+O_PREP+CKH_LEARNED+e+y	exact complete surface only; tier=STRONG_COMPONENT_GRID; 4 audited occurrences; 3 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_10	NONE	4	STRONG_COMPONENT_GRID
chockhedy	chockhedy@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_PROVISIONAL_LOW_N_COMPONENT_GRID	Arzneikompositum im Trockenansatz in der Gradmitte, abgeschlossen	ch+O_PREP+CKH_LEARNED+e+d+y	exact complete surface only; tier=PROVISIONAL_LOW_N_COMPONENT_GRID; 1 audited occurrences; 1 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_11	NONE	1	PROVISIONAL_LOW_N_COMPONENT_GRID
cheockhy	cheockhy@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_COMPONENT_GRID	trocken angesetztes Arzneikompositum am Gradanfang	ch+E_ATTR+O_PREP+CKH_LEARNED+y	exact complete surface only; tier=STRONG_COMPONENT_GRID; 8 audited occurrences; 7 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_12	f107v.7	8	STRONG_COMPONENT_GRID
cheockhey	cheockhey@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_PROVISIONAL_LOW_N_COMPONENT_GRID	trocken angesetztes Arzneikompositum in der Gradmitte	ch+E_ATTR+O_PREP+CKH_LEARNED+e+y	exact complete surface only; tier=PROVISIONAL_LOW_N_COMPONENT_GRID; 1 audited occurrences; 1 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_13	NONE	1	PROVISIONAL_LOW_N_COMPONENT_GRID
shockhy	shockhy@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_COMPONENT_GRID	Arzneikompositum im Feuchtansatz am Gradanfang	sh+O_PREP+CKH_LEARNED+y	exact complete surface only; tier=STRONG_COMPONENT_GRID; 4 audited occurrences; 4 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_14	NONE	4	STRONG_COMPONENT_GRID
shockhey	shockhey@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_COMPONENT_GRID	Arzneikompositum im Feuchtansatz in der Gradmitte	sh+O_PREP+CKH_LEARNED+e+y	exact complete surface only; tier=STRONG_COMPONENT_GRID; 3 audited occurrences; 3 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_15	NONE	3	STRONG_COMPONENT_GRID
sheockhy	sheockhy@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_PROVISIONAL_LOW_N_COMPONENT_GRID	feucht angesetztes Arzneikompositum am Gradanfang	sh+E_ATTR+O_PREP+CKH_LEARNED+y	exact complete surface only; tier=PROVISIONAL_LOW_N_COMPONENT_GRID; 2 audited occurrences; 2 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_16	NONE	2	PROVISIONAL_LOW_N_COMPONENT_GRID
sheockhey	sheockhey@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_PROVISIONAL_LOW_N_COMPONENT_GRID	feucht angesetztes Arzneikompositum in der Gradmitte	sh+E_ATTR+O_PREP+CKH_LEARNED+e+y	exact complete surface only; tier=PROVISIONAL_LOW_N_COMPONENT_GRID; 2 audited occurrences; 1 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_17	NONE	2	PROVISIONAL_LOW_N_COMPONENT_GRID
chokey	chokey@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_COMPONENT_GRID	heiß-trockener Ansatz in der Gradmitte	ch+O_PREP+K_HEISS+e+y	exact complete surface only; tier=STRONG_COMPONENT_GRID; 4 audited occurrences; 4 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_18	f42v.15	4	STRONG_COMPONENT_GRID
chokeey	chokeey@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_COMPONENT_GRID	heiß-trockener Ansatz am Gradende	ch+O_PREP+K_HEISS+ee+y	exact complete surface only; tier=STRONG_COMPONENT_GRID; 10 audited occurrences; 9 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_19	NONE	10	STRONG_COMPONENT_GRID
chokedy	chokedy@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_COMPONENT_GRID	heiß-trockener Ansatz in der Gradmitte, abgeschlossen	ch+O_PREP+K_HEISS+e+d+y	exact complete surface only; tier=STRONG_COMPONENT_GRID; 4 audited occurrences; 2 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_20	NONE	4	STRONG_COMPONENT_GRID
chokeedy	chokeedy@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_PROVISIONAL_LOW_N_COMPONENT_GRID	heiß-trockener Ansatz am Gradende, abgeschlossen	ch+O_PREP+K_HEISS+ee+d+y	exact complete surface only; tier=PROVISIONAL_LOW_N_COMPONENT_GRID; 2 audited occurrences; 2 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_21	NONE	2	PROVISIONAL_LOW_N_COMPONENT_GRID
