introduced_round	enabled_by_surface	rank	score	strict_eligible	page	locus	section	language	hand	token_count	known_tokens	context_licensed_tokens	ambiguous_tokens	reader_unstable_tokens	unknown_tokens	coverage_fraction	reader_exact_tokens	split_normalized_tokens	all_three_present	all_present_exact	zl3b_line	token_glosses_de	gloss_sources	scope_states	unknown_ordinals	unknown_surfaces	unknown_ordinal	unknown_surface	previous	following	proposed_default_de	proposal_basis	proposal_strength	proposed_complete_translation_de
1	ckhy	99	4199500	0	f24r	f24r.12	H	A	1	5	4	1	0	1	1	0.800000	4	4	1	0	qokchy qotchy tol tod ckhy	heiß und trocken am Anfang des Grades | kalt und trocken am Anfang des Grades | kalt; nominal kaltes Gut/Material | [tod:?] | Arzneikompositum am Gradanfang	GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | V13:COLD_OL_FORM | OPEN | GDT652:STRONG_NEUTRAL_CKH_FAMILY	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | UNKNOWN_SURFACE | READER_BOUNDARY_UNSTABLE	4	tod	4	tod	tol	ckhy	kalt	VISIBLE_SINGLE_FIELD_COMPOSITION	LOW	heiß und trocken am Anfang des Grades; kalt und trocken am Anfang des Grades; kalt; nominal kaltes Gut/Material; kalt; Arzneikompositum am Gradanfang
1	ckhy	95	4209500	1	f2r	f2r.7	H	A	1	5	4	3	0	0	1	0.800000	5	5	1	1	shor ckhy daiiny chol dan	Blüten-/Fruchtstand; reproduktiver Teil | Arzneikompositum am Gradanfang | [daiiny:?] | trocken; nominal trockenes Gut/Material | Qualitätsgrad I	V13:PART_OR_FORM | GDT652:STRONG_NEUTRAL_CKH_FAMILY | OPEN | V13:DRY_OL_FORM | V13:CONTEXTUAL_VALUE_SERIES	KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED	3	daiiny	3	daiiny	ckhy	chol	Grundform	VISIBLE_SINGLE_FIELD_COMPOSITION	LOW	Blüten-/Fruchtstand; reproduktiver Teil; Arzneikompositum am Gradanfang; Grundform; trocken; nominal trockenes Gut/Material; Qualitätsgrad I
1	ckhy	96	4209500	1	f35v	f35v.20	H	A	1	5	4	1	0	0	1	0.800000	5	5	1	1	sodaiin shy dchy ckhy dan	Samen/Saatgutzubereitung, Dosis III | feucht am Anfang des Grades | [dchy:?] | Arzneikompositum am Gradanfang | Grad-/Maßwert I	V13:SCOPED_RESIDUAL_HEAD_FORM | GDT647:FAMILY_MIGRATION | OPEN | GDT652:STRONG_NEUTRAL_CKH_FAMILY | V13:CONTEXTUAL_VALUE_SERIES	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED	3	dchy	3	dchy	shy	ckhy	Grundform	VISIBLE_SINGLE_FIELD_COMPOSITION	LOW	Samen/Saatgutzubereitung, Dosis III; feucht am Anfang des Grades; Grundform; Arzneikompositum am Gradanfang; Grad-/Maßwert I
1	ckhy	84	4299500	0	f37r	f37r.11	H	A	1	5	4	2	0	1	1	0.800000	4	4	1	0	okchor daiin ckhy dain daiin	[okchor:?] | Menge/Portion III | Arzneikompositum am Gradanfang | Grad-/Maßwert II | Grad-/Maßwert III	OPEN | V13:CONTEXTUAL_VALUE_SERIES | GDT652:STRONG_NEUTRAL_CKH_FAMILY | V13:CONTEXTUAL_VALUE_SERIES | V13:CONTEXTUAL_VALUE_SERIES	UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | READER_BOUNDARY_UNSTABLE	1	okchor	1	okchor	<BOS>	daiin	heiß, Portion/Zutat, Zubereitung/Ansatz	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	heiß, Portion/Zutat, Zubereitung/Ansatz; Menge/Portion III; Arzneikompositum am Gradanfang; Grad-/Maßwert II; Grad-/Maßwert III
1	ckhy	127	3199600	0	f49v	f49v.4	H	A	1	4	3	0	0	1	1	0.750000	3	3	1	0	qokchy qokchod sho ckhy	heiß und trocken am Anfang des Grades | [qokchod:?] | feuchter Ansatz | Arzneikompositum am Gradanfang	GDT647:FAMILY_MIGRATION | OPEN | V13:TARGET_SURFACE_DEFAULT | GDT652:STRONG_NEUTRAL_CKH_FAMILY	KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE	2	qokchod	2	qokchod	qokchy	sho	heiß	VISIBLE_SINGLE_FIELD_COMPOSITION	LOW	heiß und trocken am Anfang des Grades; heiß; feuchter Ansatz; Arzneikompositum am Gradanfang
2	ckhey	42	7209200	1	f47r	f47r.3	H	A	1	8	7	4	0	0	1	0.875000	8	8	1	1	dor chol chy chaiin ckhey chol dain okaiin	[dor:?] | trocken; nominal trockenes Gut/Material | trocken am Anfang des Grades | trocken, Grad III | Arzneikompositum in der Gradmitte | trocken; nominal trockenes Gut/Material | Qualitätsgrad II | heiß, Grad III, im Ansatzrahmen	OPEN | V13:DRY_OL_FORM | GDT647:FAMILY_MIGRATION | V13:QUALITY_DEGREE_SERIES | GDT652:STRONG_NEUTRAL_CKH_FAMILY | V13:DRY_OL_FORM | V13:CONTEXTUAL_VALUE_SERIES | V13:TARGET_SURFACE_DEFAULT	UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE	1	dor	1	dor	<BOS>	chol	Portion/Zutat	VISIBLE_SINGLE_FIELD_COMPOSITION	LOW	Portion/Zutat; trocken; nominal trockenes Gut/Material; trocken am Anfang des Grades; trocken, Grad III; Arzneikompositum in der Gradmitte; trocken; nominal trockenes Gut/Material; Qualitätsgrad II; heiß, Grad III, im Ansatzrahmen
2	ckhey	105	4109500	1	f52v	f52v.11	H	A	1	5	4	2	0	0	1	0.800000	5	5	1	1	daiin shor qodaiin ckhey sal	Grad-/Maßwert III | Blüten-/Fruchtstand; reproduktiver Teil | [qodaiin:?] | Arzneikompositum in der Gradmitte | Saat-Rohstoff I	V13:CONTEXTUAL_VALUE_SERIES | V13:PART_OR_FORM | OPEN | GDT652:STRONG_NEUTRAL_CKH_FAMILY | V13:SCOPED_RESIDUAL_HEAD_FORM	KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	3	qodaiin	3	qodaiin	shor	ckhey	qodaiin: ungeklärt	NO_VISIBLE_COMPOSITION_NO_FILLER	OPEN	Grad-/Maßwert III; Blüten-/Fruchtstand; reproduktiver Teil; qodaiin: ungeklärt; Arzneikompositum in der Gradmitte; Saat-Rohstoff I
8	ockhedy	43	7199200	0	f39v	f39v.13	H	B	2	8	7	1	0	4	1	0.875000	3	3	1	0	dain ockhedy otedy okedy lchdy okaiin daiiin y	Grad-/Maßwert II | Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen | kalter Ansatz in der Mitte des Grades, abgeschlossen | heißer Ansatz in der Mitte des Grades, abgeschlossen | Drogenholz, getrocknete Kurz-/Kompaktform | heiß, Grad III, im Ansatzrahmen | Grad-/Maßwert IV | [y:?]	V13:CONTEXTUAL_VALUE_SERIES | GDT652:PROVISIONAL_LOW_N_BOUNDARY_COMPOUND | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | V13:SCOPED_RESIDUAL_HEAD_FORM | V13:TARGET_SURFACE_DEFAULT | V13:CONTEXTUAL_VALUE_SERIES | OPEN	KNOWN_CONTEXT_LICENSED | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | UNKNOWN_SURFACE	8	y	8	y	daiiin	<EOS>	Grundform	VISIBLE_SINGLE_FIELD_COMPOSITION	LOW	Grad-/Maßwert II; Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen; kalter Ansatz in der Mitte des Grades, abgeschlossen; heißer Ansatz in der Mitte des Grades, abgeschlossen; Drogenholz, getrocknete Kurz-/Kompaktform; heiß, Grad III, im Ansatzrahmen; Grad-/Maßwert IV; Grundform
9	chockhy	99	4199500	0	f113r	f113r.33	S	B	3	5	4	0	0	1	1	0.800000	4	4	1	0	ykeeor chear okain chear chockhy	[ykeeor:?] | trockene Fraktion I | heiß im Zubereitungsrahmen, Grad II | trockene Fraktion I | Arzneikompositum im Trockenansatz am Gradanfang	OPEN | GDT639:ROUND_05 | V13:QUALITY_DEGREE_SERIES | GDT639:ROUND_05 | GDT652:STRONG_COMPONENT_GRID	UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	1	ykeeor	1	ykeeor	<BOS>	chear	Portion/Zutat	VISIBLE_SINGLE_FIELD_COMPOSITION	LOW	Portion/Zutat; trockene Fraktion I; heiß im Zubereitungsrahmen, Grad II; trockene Fraktion I; Arzneikompositum im Trockenansatz am Gradanfang
19	chokeey	37	7299200	0	f42v	f42v.13	H	A	1	8	7	2	0	1	1	0.875000	7	7	1	0	sho chey teor shey chey daiin chokeey daiin	feuchter Ansatz | trocken in der Mitte des Grades | [teor:?] | feucht in der Mitte des Grades | trocken in der Mitte des Grades | Grad-/Maßwert III | heiß-trockener Ansatz am Gradende | Grad-/Maßwert III	V13:TARGET_SURFACE_DEFAULT | GDT647:FAMILY_MIGRATION | OPEN | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | V13:CONTEXTUAL_VALUE_SERIES | GDT652:STRONG_COMPONENT_GRID | V13:CONTEXTUAL_VALUE_SERIES	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED	3	teor	3	teor	chey	shey	kalt, Portion/Zutat	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	feuchter Ansatz; trocken in der Mitte des Grades; kalt, Portion/Zutat; feucht in der Mitte des Grades; trocken in der Mitte des Grades; Grad-/Maßwert III; heiß-trockener Ansatz am Gradende; Grad-/Maßwert III
26	shoky	70	5299400	0	f82v	f82v.10	B	B	2	6	5	0	0	0	1	0.833333	5	5	1	0	qotey qokal shoky qokal chedy qotalchedy	kalt in der Mitte des Grades | heiße Substanz | heiß-feuchter Ansatz am Gradanfang | heiße Substanz | trocken in der Mitte des Grades, abgeschlossen | [qotalchedy:?]	GDT647:FAMILY_MIGRATION | V13:TARGET_SURFACE_DEFAULT | GDT652:STRONG_COMPONENT_GRID | V13:TARGET_SURFACE_DEFAULT | GDT647:FAMILY_MIGRATION | OPEN	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE	6	qotalchedy	6	qotalchedy	chedy	<EOS>	kalt, Rohstoff, fertig aufbereitete Form	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	kalt in der Mitte des Grades; heiße Substanz; heiß-feuchter Ansatz am Gradanfang; heiße Substanz; trocken in der Mitte des Grades, abgeschlossen; kalt, Rohstoff, fertig aufbereitete Form
29	sheoky	40	7299200	0	f77r	f77r.23	B	B	2	8	7	0	0	4	1	0.875000	3	3	1	0	sheoky qokaiin chedy lchedy olshedy qokeedy chedy qokal	feucht angesetzte heiße Zubereitung am Gradanfang | heiß, Grad III | trocken in der Mitte des Grades, abgeschlossen | getrocknetes Drogenholz | [olshedy:?] | heiß am Ende des Grades, abgeschlossen | trocken in der Mitte des Grades, abgeschlossen | heiße Substanz	GDT652:STRONG_COMPONENT_GRID | V13:TARGET_SURFACE_DEFAULT | GDT647:FAMILY_MIGRATION | V13:SCOPED_CONCRETE_HEAD_FORM | OPEN | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | V13:TARGET_SURFACE_DEFAULT	READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE	5	olshedy	5	olshedy	lchedy	qokeedy	Material/Zubereitungsstoff, Zubereitung/Ansatz, fertig aufbereitete Form	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	feucht angesetzte heiße Zubereitung am Gradanfang; heiß, Grad III; trocken in der Mitte des Grades, abgeschlossen; getrocknetes Drogenholz; Material/Zubereitungsstoff, Zubereitung/Ansatz, fertig aufbereitete Form; heiß am Ende des Grades, abgeschlossen; trocken in der Mitte des Grades, abgeschlossen; heiße Substanz
