page	locus	target_surfaces	zl3b_line	v28_tokenwise_de	v29_tokenwise_de	v29_working_reading_de	complete_v29
f100r	f100r.17	shockhey	shockhey	[shockhey:?]	Arzneikompositum im Feuchtansatz in der Gradmitte	Arzneikompositum im Feuchtansatz in der Gradmitte	True
f100r	f100r.25	cheockhy	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	feuchter Drogenteil | [qkeeody:?] | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | [ctheol:?] | [olcheol:?] | [cheky:?] | trockener Drogenstoff | [cheockhy:?] | [okeol:?]	feuchter Drogenteil | [qkeeody:?] | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | [ctheol:?] | [olcheol:?] | [cheky:?] | trockener Drogenstoff | trocken angesetztes Arzneikompositum am Gradanfang | [okeol:?]	feuchter Drogenteil; [qkeeody:?]; trocken; nominal trockenes Gut/Material; Qualitätsgrad III; [ctheol:?]; [olcheol:?]; [cheky:?]; trockener Drogenstoff; trocken angesetztes Arzneikompositum am Gradanfang; [okeol:?]	False
f100v	f100v.17	chockhey	chockhey sholkcheol qokeol okol chol chotor chso solcthy	[chockhey:?] | [sholkcheol:?] | [qokeol:?] | [okol:?] | trocken; nominal trockenes Gut/Material | [chotor:?] | [chso:?] | [solcthy:?]	Arzneikompositum im Trockenansatz in der Gradmitte | [sholkcheol:?] | [qokeol:?] | [okol:?] | trocken; nominal trockenes Gut/Material | [chotor:?] | [chso:?] | [solcthy:?]	Arzneikompositum im Trockenansatz in der Gradmitte; [sholkcheol:?]; [qokeol:?]; [okol:?]; trocken; nominal trockenes Gut/Material; [chotor:?]; [chso:?]; [solcthy:?]	False
f100v	f100v.19	chockhy	sain cheokeos chockhy chocthey keody choor chckhey du	[sain:?] | [cheokeos:?] | [chockhy:?] | [chocthey:?] | [keody:?] | [choor:?] | Arzneikompositum: trocken, Gradmitte | [du:?]	[sain:?] | [cheokeos:?] | Arzneikompositum im Trockenansatz am Gradanfang | [chocthey:?] | [keody:?] | [choor:?] | Arzneikompositum: trocken, Gradmitte | [du:?]	[sain:?]; [cheokeos:?]; Arzneikompositum im Trockenansatz am Gradanfang; [chocthey:?]; [keody:?]; [choor:?]; Arzneikompositum: trocken, Gradmitte; [du:?]	False
f102r1	f102r1.11	shockhey	dcheo qockhy sol sheey okeody qokeodol shockhey oleeol	[dcheo:?] | [qockhy:?] | Samenmaterial/Saatgut | feucht am Ende des Grades | [okeody:?] | [qokeodol:?] | [shockhey:?] | [oleeol:?]	[dcheo:?] | [qockhy:?] | Samenmaterial/Saatgut | feucht am Ende des Grades | [okeody:?] | [qokeodol:?] | Arzneikompositum im Feuchtansatz in der Gradmitte | [oleeol:?]	[dcheo:?]; [qockhy:?]; Samenmaterial/Saatgut; feucht am Ende des Grades; [okeody:?]; [qokeodol:?]; Arzneikompositum im Feuchtansatz in der Gradmitte; [oleeol:?]	False
f102r1	f102r1.17	chockhy	ydar arody oldaiin sody chockhy oly	[ydar:?] | [arody:?] | [oldaiin:?] | Samen/Saatgut, fertig aufbereitet | [chockhy:?] | [oly:?]	[ydar:?] | [arody:?] | [oldaiin:?] | Samen/Saatgut, fertig aufbereitet | Arzneikompositum im Trockenansatz am Gradanfang | [oly:?]	[ydar:?]; [arody:?]; [oldaiin:?]; Samen/Saatgut, fertig aufbereitet; Arzneikompositum im Trockenansatz am Gradanfang; [oly:?]	False
f102v1	f102v1.14	ckhey	chor cheor ckhey oteol aeky	Pflanzen-/Reproduktionsteil | trockener Drogenteil | [ckhey:?] | [oteol:?] | [aeky:?]	Pflanzen-/Reproduktionsteil | trockener Drogenteil | Arzneikompositum in der Gradmitte | [oteol:?] | [aeky:?]	Pflanzen-/Reproduktionsteil; trockener Drogenteil; Arzneikompositum in der Gradmitte; [oteol:?]; [aeky:?]	False
f102v1	f102v1.24	ckhey	ysaiin ckhey qoor cheol	[ysaiin:?] | [ckhey:?] | [qoor:?] | trockener Drogenstoff	[ysaiin:?] | Arzneikompositum in der Gradmitte | [qoor:?] | trockener Drogenstoff	[ysaiin:?]; Arzneikompositum in der Gradmitte; [qoor:?]; trockener Drogenstoff	False
f102v1	f102v1.7	ockhey	poaiin ockhey pchol doiin shey shockhsy sheocthy qokeody	Pulverzubereitung, Charge III | [ockhey:?] | trockener Pulverstoff/Trockengut | Zubereitungsmaß, Form III | feucht in der Mitte des Grades | [shockhsy:?] | attributiv feuchte CTH-Drogenzubereitung | [qokeody:?]	Pulverzubereitung, Charge III | Ansatz eines Arzneikompositums in der Gradmitte | trockener Pulverstoff/Trockengut | Zubereitungsmaß, Form III | feucht in der Mitte des Grades | [shockhsy:?] | attributiv feuchte CTH-Drogenzubereitung | [qokeody:?]	Pulverzubereitung, Charge III; Ansatz eines Arzneikompositums in der Gradmitte; trockener Pulverstoff/Trockengut; Zubereitungsmaß, Form III; feucht in der Mitte des Grades; [shockhsy:?]; attributiv feuchte CTH-Drogenzubereitung; [qokeody:?]	False
f102v1	f102v1.9	ckheey	teody ckheey qokeol sheky qockheor or cheo rchol qoteor dar	[teody:?] | [ckheey:?] | [qokeol:?] | [sheky:?] | [qockheor:?] | Teil-/Nominalträger; genaue Basisbedeutung offen | trocken angesetzte Zubereitung | trockener Wurzel/Wurzeldrogestoff/Trockengut | [qoteor:?] | abgemessene Fraktion I	[teody:?] | Arzneikompositum am Gradende | [qokeol:?] | [sheky:?] | [qockheor:?] | Teil-/Nominalträger; genaue Basisbedeutung offen | trocken angesetzte Zubereitung | trockener Wurzel/Wurzeldrogestoff/Trockengut | [qoteor:?] | abgemessene Fraktion I	[teody:?]; Arzneikompositum am Gradende; [qokeol:?]; [sheky:?]; [qockheor:?]; Teil-/Nominalträger; genaue Basisbedeutung offen; trocken angesetzte Zubereitung; trockener Wurzel/Wurzeldrogestoff/Trockengut; [qoteor:?]; abgemessene Fraktion I	False
f102v2	f102v2.20	chockhey	qokeor cho keeol okeeey qokeody chockhey qokeey dol ol sheeoy tody cheoc	[qokeor:?] | [cho:?] | [keeol:?] | [okeeey:?] | [qokeody:?] | [chockhey:?] | heiß am Ende des Grades | Materialmaß | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [sheeoy:?] | [tody:?] | [cheoc:?]	[qokeor:?] | [cho:?] | [keeol:?] | [okeeey:?] | [qokeody:?] | Arzneikompositum im Trockenansatz in der Gradmitte | heiß am Ende des Grades | Materialmaß | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [sheeoy:?] | [tody:?] | [cheoc:?]	[qokeor:?]; [cho:?]; [keeol:?]; [okeeey:?]; [qokeody:?]; Arzneikompositum im Trockenansatz in der Gradmitte; heiß am Ende des Grades; Materialmaß; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; [sheeoy:?]; [tody:?]; [cheoc:?]	False
f102v2	f102v2.31	ckhy	oldeey ckhy sheeody eeos sheshe oeeor ykeear chekeey ykory	[oldeey:?] | [ckhy:?] | [sheeody:?] | [eeos:?] | [sheshe:?] | [oeeor:?] | [ykeear:?] | [chekeey:?] | [ykory:?]	[oldeey:?] | Arzneikompositum am Gradanfang | [sheeody:?] | [eeos:?] | [sheshe:?] | [oeeor:?] | [ykeear:?] | [chekeey:?] | [ykory:?]	[oldeey:?]; Arzneikompositum am Gradanfang; [sheeody:?]; [eeos:?]; [sheshe:?]; [oeeor:?]; [ykeear:?]; [chekeey:?]; [ykory:?]	False
f102v2	f102v2.34	sheockhey	sorshey okeeor sheockhey qokeos okchol ctheor okey sal	[sorshey:?] | [okeeor:?] | [sheockhey:?] | [qokeos:?] | [okchol:?] | [ctheor:?] | heißer Ansatz in der Mitte des Grades | Saat-Rohstoff I	[sorshey:?] | [okeeor:?] | feucht angesetztes Arzneikompositum in der Gradmitte | [qokeos:?] | [okchol:?] | [ctheor:?] | heißer Ansatz in der Mitte des Grades | Saat-Rohstoff I	[sorshey:?]; [okeeor:?]; feucht angesetztes Arzneikompositum in der Gradmitte; [qokeos:?]; [okchol:?]; [ctheor:?]; heißer Ansatz in der Mitte des Grades; Saat-Rohstoff I	False
f102v2	f102v2.38	ckheey	dar cheey ckheey qokeor okey chos sho ykeey okeeo rain	abgemessene Fraktion I | trocken am Ende des Grades | [ckheey:?] | [qokeor:?] | heißer Ansatz in der Mitte des Grades | [chos:?] | feuchter Ansatz | [ykeey:?] | [okeeo:?] | [rain:?]	abgemessene Fraktion I | trocken am Ende des Grades | Arzneikompositum am Gradende | [qokeor:?] | heißer Ansatz in der Mitte des Grades | [chos:?] | feuchter Ansatz | [ykeey:?] | [okeeo:?] | [rain:?]	abgemessene Fraktion I; trocken am Ende des Grades; Arzneikompositum am Gradende; [qokeor:?]; heißer Ansatz in der Mitte des Grades; [chos:?]; feuchter Ansatz; [ykeey:?]; [okeeo:?]; [rain:?]	False
f103r	f103r.29	shokeey	qokeeechy shokeey qochey qokeey chal chedy	[qokeeechy:?] | [shokeey:?] | [qochey:?] | heiß am Ende des Grades | [chal:?] | trocken in der Mitte des Grades, abgeschlossen	[qokeeechy:?] | heiß-feuchter Ansatz am Gradende | [qochey:?] | heiß am Ende des Grades | [chal:?] | trocken in der Mitte des Grades, abgeschlossen	[qokeeechy:?]; heiß-feuchter Ansatz am Gradende; [qochey:?]; heiß am Ende des Grades; [chal:?]; trocken in der Mitte des Grades, abgeschlossen	False
f103r	f103r.43	shokey	tar cheal ol sheey qotal sheal qokal sheedy okeshedy shokey qokaiin	[tar:?] | [cheal:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | feucht am Ende des Grades | [qotal:?] | [sheal:?] | heiße Substanz | feucht am Ende des Grades, abgeschlossen | [okeshedy:?] | [shokey:?] | heiß, Grad III	[tar:?] | [cheal:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | feucht am Ende des Grades | [qotal:?] | [sheal:?] | heiße Substanz | feucht am Ende des Grades, abgeschlossen | [okeshedy:?] | heiß-feuchter Ansatz in der Gradmitte | heiß, Grad III	[tar:?]; [cheal:?]; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; feucht am Ende des Grades; [qotal:?]; [sheal:?]; heiße Substanz; feucht am Ende des Grades, abgeschlossen; [okeshedy:?]; heiß-feuchter Ansatz in der Gradmitte; heiß, Grad III	False
