bridge_id	family	page	locus	diagnostic_surface	zl3b_line	it2a_line	rf1b_line	supports
G652-B01	QUALITY_NEUTRAL_CKH_GRID	f75v	f75v.17	sheckhy ... ckhy	sal shed ykain qokain sheckhy ld saiin ckhy lshedy	sal shedykain qokain sheckhy ld saiin ckhy lshedy	sal shed ykain qokain sheckhy ld saiin ckhy lshedy	qualified and quality-neutral CKH same-line contact
G652-B02	QUALITY_NEUTRAL_CKH_GRID	f33v	f33v.3	chckhy ... ckhdy	dar chckhy dy dyky ckhdy oky dam okar dy kam dy	dar chckhy dy dyky ckhdy oky dam okardy komdy	dar chckhy dyky ckh y oky am okardy kam y	dry-qualified and completed-neutral CKH same-line contact
G652-B03	QUALITY_NEUTRAL_CKH_GRID	f34v	f34v.2	chckhdy ... ckhy	tol qokchy dychedy okchy chckhdy chdaiin ckhy loees ykar aiin oldam	tol qokchy dychedy okchy chckhdy chdaiin ckhy loees ykar aiin oldam	tol qokchy dyche y okchy chckh y ch aiin ckh loees ykar aiin ol am	completed-dry and neutral CKH same-line contact
G652-B04	QUALIFIED_O_PREP_CKH_GRID	f58v	f58v.28	ycheockhy / ycheo ckhy	ycheockhy okey okal otaly okaldy okeor sheey	ycheo ckhy okey okal otaly okaldy okeor sheey	ycheockhy okey okal otaly okaldy okeor sheey	reader split exposes CKHY after the CHEO span
G652-B05	QUALITY_NEUTRAL_CKH_GRID	f30r	f30r.12	ckhey ckhey	dcheey ckhey ckhey daiin chkeaiin dar chor ychdain	dcheey ckhey ckhey daiin chkeaiin dar chor ychdain	dcheey ckhey ckhey daiin chkeaiin dar chor ychdain	all-reader exact middle-cell repetition
G652-B06	QUALITY_NEUTRAL_CKH_GRID	f6v	f6v.3	ckhy ... ckhy	qoair ckhy chol oechockhy chekchoy ckhy okol rychos	qoair ckhy chol oochockhy chekchoy ckhy okol rychos	qoair ckhy chol oechockhy chekchoy ckhy okol sychos	all-reader exact beginning-cell repetition
G652-B07	O_PREP_CKH_GRID	f40v	f40v.15	o ckhy / ockhy	qokchey qody or aiiin o kaiin o ckhy sheod faimy	qokchey qody or aiiin okaiin o ckhy sheod faimy	qokchey qo y or aiiin okaiin ockhy sheod faimy	reader split directly exposes O_PREP plus CKHY
G652-B08	O_PREP_CKH_GRID	f99r	f99r.48	ockhey / o ckhey	ykeol okeol ockhey chol cheodal okeo r alcheeg orar	ykeol okeol o ckheo chol cheodal okeo r olcheem orar	keol okeol o ckhey chol cheodal keo r lcheeg orar	reader split directly exposes O_PREP plus CKHEY
G652-B09	QUALIFIED_O_PREP_CKH_GRID	f51v	f51v.12	cho ckhey / chockhey	ochockhy daiin cho ckhey	ochockhy daiin chockhey	chockhy daiin chockhey	reader split exposes the CHO plus CKHEY composition
G652-B10	QUALIFIED_O_PREP_CKH_GRID	f115r	f115r.6	cheo ckhdy / cheockhdy	cheo ckhdy qotchdy qokedy qokar okeeeosaiin chl chedar chody qotar chedam chd	cheockhdy qotchdy qokedy qokar okeeeosaiin chl chedar chody qotar chedam chd	cheo ckh y qotchdy qokedy qokar okeeeoraiin chl che ar cho y qotar chedam chd	reader split predicts a bridge-only completed cell without exporting it
G652-B11	QUALIFIED_O_PREP_CKH_GRID	f104r	f104r.23	sheockhey / sheo ckhey	ol sheockhey chol kechdy okeedal lkain chol keeody otchor aiir chol kar alol	ol sheo ckhey chol kechdy okeedal lkain chol keeody otchor aiir chol kar alol	ol sheockhey chol kechd okeedal lkain cholkeeo y otchor aiir chol kar alol	reader split exposes the SHEO plus CKHEY composition
G652-B12	QUALIFIED_O_PREP_K_GRID	f47r	f47r.8	shokeey / sho keey	shokeey chy tchod choy sho chtchy char ctham	shokeey chy tchod choy sho chtchyf char ctham	sho keey chy tchod choy sho cht chy kchar ctham	reader split exposes the SHO plus KEEY composition
G652-B13	QUALIFIED_O_PREP_K_GRID	f42v	f42v.7	sheokey / sheo key	chok sheo key keeeyd chekeesshy	chok sheokey keeey d chekeesshy	chok sheo key keeeyd chekeesshy	reader split exposes the SHEO plus KEY composition
G652-B14	O_PREP_MATERIA_AL_GRID	f89v1	f89v1.24	opaldaiin / opal daiin	opaldaiin	opal daiin	opaldaiin	reader boundary exposes OPAL as one complete unit before DAIIN
