surface	acceptance_tier	working_meaning_de	rival_de	strongest_support	strongest_counterargument	replacement_trigger
ckhy	STRONG_NEUTRAL_CKH_FAMILY	Arzneikompositum am Gradanfang	Arzneizubereitung am Gradanfang, Qualität nicht genannt	observed exact-anchored member of the seventy-token quality-neutral CKH ladder beside four V28 qualified CKH shells	Arzneikompositum is a learned family noun and a missing quality head may instead signal a distinct CKH register	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
ckhey	STRONG_NEUTRAL_CKH_FAMILY	Arzneikompositum in der Gradmitte	Arzneizubereitung in der Gradmitte, Qualität nicht genannt	observed exact-anchored member of the seventy-token quality-neutral CKH ladder beside four V28 qualified CKH shells	Arzneikompositum is a learned family noun and a missing quality head may instead signal a distinct CKH register	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
ckheey	STRONG_NEUTRAL_CKH_FAMILY	Arzneikompositum am Gradende	Arzneizubereitung am Gradende, Qualität nicht genannt	observed exact-anchored member of the seventy-token quality-neutral CKH ladder beside four V28 qualified CKH shells	Arzneikompositum is a learned family noun and a missing quality head may instead signal a distinct CKH register	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
ckhdy	PROVISIONAL_LOW_N_CKH_FAMILY	Arzneikompositum am Gradanfang, abgeschlossen	Arzneizubereitung am Gradanfang, abgeschlossen	observed exact-anchored member of the seventy-token quality-neutral CKH ladder beside four V28 qualified CKH shells	one of four tokens is all-reader exact; Arzneikompositum is a learned family noun and a missing quality head may instead signal a distinct CKH register	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
ckhedy	PROVISIONAL_LOW_N_CKH_FAMILY	Arzneikompositum in der Gradmitte, abgeschlossen	Arzneizubereitung in der Gradmitte, abgeschlossen	observed exact-anchored member of the seventy-token quality-neutral CKH ladder beside four V28 qualified CKH shells	one of two tokens is all-reader exact; Arzneikompositum is a learned family noun and a missing quality head may instead signal a distinct CKH register	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
ockhy	STRONG_BOUNDARY_COMPOUND	Ansatz eines Arzneikompositums am Gradanfang	zubereitetes Arzneikompositum am Gradanfang	observed exact-anchored O_PREP plus CKH_LEARNED cell; O CKH reader splits expose the same preparation boundary	the preparation parse is compositional and does not independently identify the learned CKH object noun	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
ockhey	STRONG_BOUNDARY_COMPOUND	Ansatz eines Arzneikompositums in der Gradmitte	zubereitetes Arzneikompositum in der Gradmitte	observed exact-anchored O_PREP plus CKH_LEARNED cell; O CKH reader splits expose the same preparation boundary	the preparation parse is compositional and does not independently identify the learned CKH object noun	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
ockhedy	PROVISIONAL_LOW_N_BOUNDARY_COMPOUND	Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen	zubereitetes Arzneikompositum in der Gradmitte, abgeschlossen	observed exact-anchored O_PREP plus CKH_LEARNED cell; O CKH reader splits expose the same preparation boundary	the preparation parse is compositional and does not independently identify the learned CKH object noun	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
chockhy	STRONG_COMPONENT_GRID	Arzneikompositum im Trockenansatz am Gradanfang	trocken zubereitetes Arzneikompositum am Gradanfang	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	the outer quality and preparation shells are inherited from sister grids rather than decoded afresh in every CKH token	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
chockhey	STRONG_COMPONENT_GRID	Arzneikompositum im Trockenansatz in der Gradmitte	trocken zubereitetes Arzneikompositum in der Gradmitte	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	the outer quality and preparation shells are inherited from sister grids rather than decoded afresh in every CKH token	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
