round	surface	tier	decision	decision_reason	pre_dictionary_entries	post_dictionary_entries	occurrences	all_reader_exact	split_normalized	reader_variant	hard_collisions	complete_before	complete_after	strict_complete_after	one_unknown_before	one_unknown_after	new_complete_loci
1	ckhy	STRONG_NEUTRAL_CKH_FAMILY	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored member of the seventy-token quality-neutral CKH ladder beside four V28 qualified CKH shells	450	451	34	25	25	9	0	107	108	63	159	163	f9v.12
2	ckhey	STRONG_NEUTRAL_CKH_FAMILY	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored member of the seventy-token quality-neutral CKH ladder beside four V28 qualified CKH shells	451	452	22	20	20	2	0	108	108	63	163	165	NONE
3	ckheey	STRONG_NEUTRAL_CKH_FAMILY	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored member of the seventy-token quality-neutral CKH ladder beside four V28 qualified CKH shells	452	453	8	8	8	0	0	108	108	63	165	165	NONE
4	ckhdy	PROVISIONAL_LOW_N_CKH_FAMILY	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored member of the seventy-token quality-neutral CKH ladder beside four V28 qualified CKH shells	453	454	4	1	1	3	0	108	108	63	165	165	NONE
5	ckhedy	PROVISIONAL_LOW_N_CKH_FAMILY	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored member of the seventy-token quality-neutral CKH ladder beside four V28 qualified CKH shells	454	455	2	1	1	1	0	108	108	63	165	165	NONE
6	ockhy	STRONG_BOUNDARY_COMPOUND	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored O_PREP plus CKH_LEARNED cell; O CKH reader splits expose the same preparation boundary	455	456	6	6	6	0	0	108	108	63	165	165	NONE
7	ockhey	STRONG_BOUNDARY_COMPOUND	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored O_PREP plus CKH_LEARNED cell; O CKH reader splits expose the same preparation boundary	456	457	7	5	5	2	0	108	108	63	165	165	NONE
8	ockhedy	PROVISIONAL_LOW_N_BOUNDARY_COMPOUND	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored O_PREP plus CKH_LEARNED cell; O CKH reader splits expose the same preparation boundary	457	458	5	3	3	2	0	108	108	63	165	166	NONE
9	chockhy	STRONG_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	458	459	18	18	18	0	0	108	108	63	166	167	NONE
10	chockhey	STRONG_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	459	460	4	3	3	1	0	108	108	63	167	167	NONE
11	chockhedy	PROVISIONAL_LOW_N_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	460	461	1	1	1	0	0	108	108	63	167	167	NONE
12	cheockhy	STRONG_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	461	462	8	7	7	1	0	108	109	64	167	166	f107v.7
13	cheockhey	PROVISIONAL_LOW_N_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	462	463	1	1	1	0	0	109	109	64	166	166	NONE
