round	surface	tier	dictionary_entries	dictionary_sha256	physical_lines	known_token_positions	unknown_token_positions	complete_multi_token_lines	strict_complete_lines	one_unknown_lines	strict_one_unknown_lines	exact_glossary_surfaces
0	BASE_V28	BASE	450	ad7ef151cb07256fa45aeb205602b3f702bb4935bf9af6ee577a39aac6834ba4	4128	14741	17598	107	62	159	40	379
1	ckhy	STRONG_NEUTRAL_CKH_FAMILY	451	a0d2de92f2d46ff14c5e1ef67acde278869bb8befa11be59907fff8353060872	4128	14775	17564	108	63	163	41	380
2	ckhey	STRONG_NEUTRAL_CKH_FAMILY	452	47a7c53e009e7893f62483f223287514171c532b56e28de10f243b36c6de1667	4128	14797	17542	108	63	165	43	381
3	ckheey	STRONG_NEUTRAL_CKH_FAMILY	453	329733cc731cef2e247703988a3ebf25edff46b448b621a739bcfa3834f52dae	4128	14805	17534	108	63	165	43	382
4	ckhdy	PROVISIONAL_LOW_N_CKH_FAMILY	454	5b698f8a7928afc6ac7a317baae077e4d4598ea9e22a7ba0562dc9eeb912fe60	4128	14809	17530	108	63	165	43	383
5	ckhedy	PROVISIONAL_LOW_N_CKH_FAMILY	455	694c3c745a2bdd134c059d5c27c96774d65e40ab62274b3660e9fa9b8cc83d51	4128	14811	17528	108	63	165	43	384
6	ockhy	STRONG_BOUNDARY_COMPOUND	456	8551818d9ddeff36ef8335ab26ede7a34fdfbffa9533d47b1e4b30536a5bcb5d	4128	14817	17522	108	63	165	43	385
7	ockhey	STRONG_BOUNDARY_COMPOUND	457	ecf8751b11ba8a917824bd0f5d23a43314bf046ff04de4edfd2b75b990d5d6bb	4128	14824	17515	108	63	165	43	386
8	ockhedy	PROVISIONAL_LOW_N_BOUNDARY_COMPOUND	458	9e8b2aa8b8444c1c3e77fc74e02514198e0e795f3432c724c4b1afdac408630f	4128	14829	17510	108	63	166	43	387
9	chockhy	STRONG_COMPONENT_GRID	459	b7743cd25bedfeca19ca045dacc43521c1f9fb402d6dcf62a34dc85a84271795	4128	14847	17492	108	63	167	43	388
10	chockhey	STRONG_COMPONENT_GRID	460	67fa5755d3aa5309143d92173691ae71a8afc4a97c26e3c914da91bbcd71d9df	4128	14851	17488	108	63	167	43	389
11	chockhedy	PROVISIONAL_LOW_N_COMPONENT_GRID	461	5aba400434ed9df92dd4b7631d073231121c9c62b9bd5b7938cf4fc4901f1d87	4128	14852	17487	108	63	167	43	390
12	cheockhy	STRONG_COMPONENT_GRID	462	d8fb8bf61265ba03da5233be40adef69ffeff44df195f5913f2468ebcb12123a	4128	14860	17479	109	64	166	42	391
13	cheockhey	PROVISIONAL_LOW_N_COMPONENT_GRID	463	8ebf0ec641d6328fa6f3f8830af5cf4d6df450ffd097046721f52a9c2170ca94	4128	14861	17478	109	64	166	42	392
14	shockhy	STRONG_COMPONENT_GRID	464	cf79038c6654b0345f32045a51a5af9cc4e6ae3bf6929c30c0134d65accbf4f0	4128	14865	17474	109	64	166	42	393
15	shockhey	STRONG_COMPONENT_GRID	465	5546cf465883a040a7c98ab096963c222302d1d0816b94c16d9c200260a0ab58	4128	14868	17471	109	64	166	42	394
16	sheockhy	PROVISIONAL_LOW_N_COMPONENT_GRID	466	0c62ebb6a7716c1951629d929ac352a3275663dbb0105b00ba14731a7776648d	4128	14870	17469	109	64	166	42	395
17	sheockhey	PROVISIONAL_LOW_N_COMPONENT_GRID	467	9b3c00541f3347008efc95cd50eff2276b801faf0e4a3bc17d55a562ff9741d4	4128	14872	17467	109	64	166	42	396
18	chokey	STRONG_COMPONENT_GRID	468	7fcf89bd3c53177f3b6dd9607a05283a4b9d44842616811362c0da3d9949a1fa	4128	14876	17463	110	65	165	41	397
19	chokeey	STRONG_COMPONENT_GRID	469	3734799678fdbd1046e8681463ca81654bef98e4686b6862cc302e2cd94d004c	4128	14886	17453	110	65	166	41	398
20	chokedy	STRONG_COMPONENT_GRID	470	44e5103fa34e59a8d6091dd86f4bd039b456ce04bf1203180652c2b37d1eda9b	4128	14890	17449	110	65	166	41	399
21	chokeedy	PROVISIONAL_LOW_N_COMPONENT_GRID	471	025a31d9ce7082bbce6c1e99fefd9e1e17e92e84d1cbe60457674b6b08f62a00	4128	14892	17447	110	65	166	41	400
22	cheoky	STRONG_COMPONENT_GRID	472	9997a274d0d640c56f4275d475430e28fe23d4128ab9536fd4f9ac6fe91b0f64	4128	14898	17441	111	65	165	41	401
23	cheokey	PROVISIONAL_LOW_N_COMPONENT_GRID	473	8ed49dba56659c53faa5f672932af5bf3a052c1df94e2555746591e78d7f1e24	4128	14900	17439	111	65	165	41	402
24	cheokeey	STRONG_COMPONENT_GRID	474	49f0efd98f6d7792dadf2b8254335b8f00cdae18d4587d6f97658db6c8c09cde	4128	14904	17435	112	66	164	40	403
25	cheokedy	PROVISIONAL_LOW_N_COMPONENT_GRID	475	bd9d84127d6cae8451b5c94e79bc7f237066cb70ffefc2dd9007933630db9f4c	4128	14906	17433	112	66	164	40	404
26	shoky	STRONG_COMPONENT_GRID	476	1ffe760d5efb2644ff88f6dc2b77a8c2c80671a26e5baf629d1deaff363e2bbd	4128	14912	17427	112	66	165	40	405
27	shokey	STRONG_COMPONENT_GRID	477	3463fa61837ee3bbccd599b7db4491e06e93dd8136e80eda4f8f0068b052bf67	4128	14915	17424	112	66	165	40	406
28	shokeey	PROVISIONAL_LOW_N_COMPONENT_GRID	478	8c0482bc0b4ad00754297b04d6cec7a522589ef9c2cae2eb14834835259b7e9f	4128	14917	17422	112	66	165	40	407
29	sheoky	STRONG_COMPONENT_GRID	479	f6d79b655df6808de388b29257baf96fe6c006f280a872b2943928559c918fd3	4128	14924	17415	112	66	166	40	408
30	sheokey	PROVISIONAL_LOW_N_COMPONENT_GRID	480	4feadc0b12efb91d8e71770fc8169d2d7fad359e9061eaa7dd32432796e68fb0	4128	14926	17413	112	66	166	40	409
31	sheokeedy	PROVISIONAL_LOW_N_COMPONENT_GRID	481	0cd16e15c12709defe46220841ba5b258ca986727f81696eebe434dc1443ecb4	4128	14927	17412	112	66	166	40	410
32	opal	STRONG_MATERIA_COMPOUND	482	bb07ab25e65d366491973692ef34a887686267577d12921fdf549b90ed8f37ec	4128	14933	17406	113	67	165	39	411
