card_no	surfaces	semantic_component_parse	command_id	standard_command_de	command_class	occurrences	records	duplicate_semantic_command	old_command_id	old_standard_command_de	resolution	old_standard_command_de	revised_components	backread_revision
PROC001	dchey	CH+E+Y	CMD015	ABNEHMEN · KURZ · DIES	ACTION_COMMAND	1	H1	NO	CMD015	ABZIEHEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	ABZIEHEN · KURZ · DIES	CH	YES
PROC002	cthoor	CTH+O+OR	CMD029	BEREIT · ARBEITSGANG · ANSATZ	STATE_OR_GRADE_FORMULA	1	H1	NO	CMD029	BEREIT · GANG · ANSATZ	UNCHANGED_UNIQUE_COMMAND	BEREIT · GANG · ANSATZ	O	YES
PROC003	char|dar|sar	AR	CMD008	QUELLE	ARGUMENT_OR_OBJECT_FORMULA	5	H1|H2|B1|B2|B3	NO	CMD008	QUELLE	UNCHANGED_UNIQUE_COMMAND	QUELLE	NONE	NO
PROC004	chety|chty	T+Y	CMD156	EINTRAGEN · DIES	ACTION_COMMAND	2	H1|B3	NO	CMD156	EINTRAGEN · DIES	UNCHANGED_UNIQUE_COMMAND	EINTRAGEN · DIES	NONE	NO
PROC005	os	OS	CMD108	FACH	ARGUMENT_OR_OBJECT_FORMULA	1	H1	NO	CMD108	FACH	UNCHANGED_UNIQUE_COMMAND	FACH	NONE	NO
PROC006	chair	CH+AIR	CMD011	ABNEHMEN · LAUF	ACTION_COMMAND	1	H1	NO	CMD011	ABZIEHEN · LAUF	UNCHANGED_UNIQUE_COMMAND	ABZIEHEN · LAUF	CH	YES
PROC007	otytchol	OT+Y+T+CH+OL	CMD122	DANACH [DIES EINTRAGEN · ABNEHMEN] FORTSETZEN	ACTION_COMMAND	1	H1	NO	CMD122	DANACH [DIES EINTRAGEN · ABZIEHEN] FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	DANACH [DIES EINTRAGEN · ABZIEHEN] FORTSETZEN	CH	YES
PROC008	choky|oky|qoky	OK+Y	CMD095	ANSETZEN · DIES	ACTION_COMMAND	10	H1|H5|B1|B2|B3|B4	YES	CMD095	ANSETZEN · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	ANSETZEN · DIES	NONE	NO
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	CMD001	MASS	ARGUMENT_OR_OBJECT_FORMULA	20	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	NO	CMD001	MASS	UNCHANGED_UNIQUE_COMMAND	MASS	NONE	NO
PROC010	etyd	E+T+Y	CMD034	KURZ · EINTRAGEN · DIES	ACTION_COMMAND	1	H1	NO	CMD034	KURZ · EINTRAGEN · DIES	UNCHANGED_UNIQUE_COMMAND	KURZ · EINTRAGEN · DIES	NONE	NO
PROC011	chokchy|okchy|qokchy	OK+Y	CMD095	ANSETZEN · DIES	ACTION_COMMAND	3	H1|H5	YES	CMD095	ANSETZEN · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	ANSETZEN · DIES	NONE	NO
