event_id	page	record	statement_id	desk	surface	card_no	semantic_component_parse	command_id	standard_command_de	local_surface_palette	silent_owner_de	case_expansion_de	old_standard_command_de	revised_components	backread_revision
E001	f10r	H1	H1-S001	P_PFLANZEN_ZUBEREITUNG	dchey	PROC001	CH+E+Y	CMD015	ABNEHMEN · KURZ · DIES	NO	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten kurz abnehmen	ABZIEHEN · KURZ · DIES	CH	YES
E002	f10r	H1	H1-S001	P_PFLANZEN_ZUBEREITUNG	cthoor	PROC002	CTH+O+OR	CMD029	BEREIT · ARBEITSGANG · ANSATZ	NO	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	BEREIT · GANG · ANSATZ	O	YES
E003	f10r	H1	H1-S001	P_PFLANZEN_ZUBEREITUNG	char	PROC003	AR	CMD008	QUELLE	NO	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	QUELLE	NONE	NO
E004	f10r	H1	H1-S001	P_PFLANZEN_ZUBEREITUNG	chty	PROC004	T+Y	CMD156	EINTRAGEN · DIES	NO	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	EINTRAGEN · DIES	NONE	NO
E005	f10r	H1	H1-S001	P_PFLANZEN_ZUBEREITUNG	os	PROC005	OS	CMD108	FACH	NO	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten im Lauf ablaufen lassen	FACH	NONE	NO
E006	f10r	H1	H1-S001	P_PFLANZEN_ZUBEREITUNG	chair	PROC006	CH+AIR	CMD011	ABNEHMEN · LAUF	NO	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten im Lauf ablaufen lassen	ABZIEHEN · LAUF	CH	YES
E007	f10r	H1	H1-S001	P_PFLANZEN_ZUBEREITUNG	otytchol	PROC007	OT+Y+T+CH+OL	CMD122	DANACH [DIES EINTRAGEN · ABNEHMEN] FORTSETZEN	NO	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter eintragen und abnehmen	DANACH [DIES EINTRAGEN · ABZIEHEN] FORTSETZEN	CH	YES
E008	f10r	H1	H1-S001	P_PFLANZEN_ZUBEREITUNG	oky	PROC008	OK+Y	CMD095	ANSETZEN · DIES	YES	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten einsetzen	ANSETZEN · DIES	NONE	NO
E009	f10r	H1	H1-S001	P_PFLANZEN_ZUBEREITUNG	daiin	PROC009	AIIN	CMD001	MASS	NO	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten nach vorgeschriebenem Maß kurz eintragen	MASS	NONE	NO
E010	f10r	H1	H1-S001	P_PFLANZEN_ZUBEREITUNG	etyd	PROC010	E+T+Y	CMD034	KURZ · EINTRAGEN · DIES	NO	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten nach vorgeschriebenem Maß kurz eintragen	KURZ · EINTRAGEN · DIES	NONE	NO
