case_id	phase	statement_id	page	record	owner_or_station	event_count	surface_sequence	old_invariant_command_sequence_de	revised_invariant_command_sequence_de	original_readable_workshop_de	controlled_backread_de	revised_components	backread_revision
C1	PREPARE_PRODUCT	H1-S001	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	10	dchey cthoor char chty os chair otytchol oky daiin etyd	ABZIEHEN · KURZ · DIES | BEREIT · GANG · ANSATZ | QUELLE | EINTRAGEN · DIES | FACH | ABZIEHEN · LAUF | DANACH [DIES EINTRAGEN · ABZIEHEN] FORTSETZEN | ANSETZEN · DIES | MASS | KURZ · EINTRAGEN · DIES	ABNEHMEN · KURZ · DIES | BEREIT · ARBEITSGANG · ANSATZ | QUELLE | EINTRAGEN · DIES | FACH | ABNEHMEN · LAUF | DANACH [DIES EINTRAGEN · ABNEHMEN] FORTSETZEN | ANSETZEN · DIES | MASS | KURZ · EINTRAGEN · DIES	Frischen Pflanzenteil kurz in den Wasseransatz geben, den ersten Auszug in das Auffangfach laufen lassen und nach Mass zurueck in die Charge eintragen.	Bei abgebildete breit gezähnte radialblütige Pflanze: ABNEHMEN · KURZ · DIES | BEREIT · ARBEITSGANG · ANSATZ | QUELLE | EINTRAGEN · DIES | FACH | ABNEHMEN · LAUF | DANACH [DIES EINTRAGEN · ABNEHMEN] FORTSETZEN | ANSETZEN · DIES | MASS | KURZ · EINTRAGEN · DIES.	CH|O	YES
C1	PREPARE_PRODUCT	H1-S002	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	4	qokchy qotchol chol cthy	ANSETZEN · DIES | DANACH · ABZIEHEN · FORTSETZEN | FORTSETZEN | BEREIT · DIES	ANSETZEN · DIES | DANACH · ABNEHMEN · FORTSETZEN | FORTSETZEN | BEREIT · DIES	Eine weitere Pflanzenportion in denselben Ansatz geben, kurz abziehen und bis zum bereiten Grundauszug weiterarbeiten.	Bei abgebildete breit gezähnte radialblütige Pflanze: ANSETZEN · DIES | DANACH · ABNEHMEN · FORTSETZEN | FORTSETZEN | BEREIT · DIES.	CH	YES
C1	OPERATE_OR_APPLY	B1-S001	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	1	qokedy	ANSETZEN · KURZ; SCHLUSS	ANSETZEN · KURZ; SCHLUSS	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen.	Bei gemeinsame zweireihige Figuren-/Beckenstation: ANSETZEN · KURZ; SCHLUSS.	NONE	NO
C1	OPERATE_OR_APPLY	B1-S002	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	ANSETZEN · MASS | ZUFUEHREN · LAUF | ANSETZEN · ZIEL | QUELLE | FORTSETZEN | ZUFUEHREN · PORTION | FORTSETZEN · ZUFUEHREN · PORTION | ZIEL | FORTSETZEN | KUEHLEN · FORTSETZEN | FUEHREN | FORTSETZEN · ANSATZ | FORTSETZEN | HALTEN · KURZ · DURCHLASS · ZIEL | MASS | ANSETZEN · LANG · ZIEL | MASS | DURCHLASS · DIES | UMSETZEN; SCHLUSS	ANSETZEN · MASS | ZUDOSIEREN · LAUF | ANSETZEN · ZIEL | QUELLE | FORTSETZEN | ZUDOSIEREN · PORTION | FORTSETZEN · ZUDOSIEREN · PORTION | ZIEL | FORTSETZEN | KUEHLEN · FORTSETZEN | WEITERLEITEN | FORTSETZEN · ANSATZ | FORTSETZEN | HALTEN · KURZ · DURCHLASS · ZIEL | MASS | ANSETZEN · LANG · ZIEL | MASS | DURCHLASS · DIES | UMSETZEN; SCHLUSS	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: setze nach Maß an → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten. Angaben: davon | fort | Ziel | fort | fort · Ansatz | fort | Maß | Maß | Durchlass · dies.	Bei gemeinsame zweireihige Figuren-/Beckenstation: ANSETZEN · MASS | ZUDOSIEREN · LAUF | ANSETZEN · ZIEL | QUELLE | FORTSETZEN | ZUDOSIEREN · PORTION | FORTSETZEN · ZUDOSIEREN · PORTION | ZIEL | FORTSETZEN | KUEHLEN · FORTSETZEN | WEITERLEITEN | FORTSETZEN · ANSATZ | FORTSETZEN | HALTEN · KURZ · DURCHLASS · ZIEL | MASS | ANSETZEN · LANG · ZIEL | MASS | DURCHLASS · DIES | UMSETZEN; SCHLUSS.	K|L	YES
C1	OPERATE_OR_APPLY	B1-S003	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	2	qol sshkchdy	FORTSETZEN | HALTEN · ZUFUEHREN · UMSETZEN; SCHLUSS	FORTSETZEN | HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: halten + zugeben + überführen. Angaben: fort.	Bei gemeinsame zweireihige Figuren-/Beckenstation: FORTSETZEN | HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS.	K	YES
C1	OPERATE_OR_APPLY	B1-S004	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	3	chedy ol shedy	UMSETZEN · DIES | FORTSETZEN | ABSETZEN; SCHLUSS	UMSETZEN · DIES | FORTSETZEN | ABSETZEN; SCHLUSS	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: umschöpfen → absetzen lassen. Angaben: fort.	Bei gemeinsame zweireihige Figuren-/Beckenstation: UMSETZEN · DIES | FORTSETZEN | ABSETZEN; SCHLUSS.	NONE	NO
C1	OPERATE_OR_APPLY	B1-S005	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	1	qolchedy	FORTSETZEN · UMSETZEN; SCHLUSS	FORTSETZEN · UMSETZEN; SCHLUSS	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: führe zur nächsten Station.	Bei gemeinsame zweireihige Figuren-/Beckenstation: FORTSETZEN · UMSETZEN; SCHLUSS.	NONE	NO
C1	OPERATE_OR_APPLY	B1-S006	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	4	qokain shckhy dl ral	ANSETZEN · PORTION | DURCHLASS · DIES | FUEHREN | KUEHLEN · ZIEL	ANSETZEN · PORTION | DURCHLASS · DIES | WEITERLEITEN | KUEHLEN · ZIEL	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: gib einen Teil hinein → durchleiten → abkühlen lassen. Angaben: Durchlass · dies.	Bei gemeinsame zweireihige Figuren-/Beckenstation: ANSETZEN · PORTION | DURCHLASS · DIES | WEITERLEITEN | KUEHLEN · ZIEL.	L	YES
C1	OPERATE_OR_APPLY	B1-S007	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	1	qokchdy	ANSETZEN · UMSETZEN; SCHLUSS	ANSETZEN · UMSETZEN; SCHLUSS	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einsetzen + überführen.	Bei gemeinsame zweireihige Figuren-/Beckenstation: ANSETZEN · UMSETZEN; SCHLUSS.	NONE	NO
C1	OPERATE_OR_APPLY	B1-S008	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	5	chey ol cheky ol shedy	DIES | FORTSETZEN | WAERMEN · KURZ · DIES | FORTSETZEN | ABSETZEN; SCHLUSS	DIES | FORTSETZEN | WAERMEN · KURZ · DIES | FORTSETZEN | ABSETZEN; SCHLUSS	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: warm halten → absetzen lassen. Angaben: dies | fort | fort.	Bei gemeinsame zweireihige Figuren-/Beckenstation: DIES | FORTSETZEN | WAERMEN · KURZ · DIES | FORTSETZEN | ABSETZEN; SCHLUSS.	NONE	NO
