statement_id	page	record	template_id	surface_sequence	component_sequence	clean_workshop_reading_de	teaching_note_de
H4-S002	f55v	H4	T6	daiin chedy talam	AIIN+CHD+Y+TALAM	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend verwahren.	Adresskopf vor Handlung
H4-S004	f55v	H4	T6	aiin okal oltchy or y orain	AIIN+OK+AL+OL+T+Y+OR+Y+OR+AIN	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter anwenden, als Ansatz beibehalten und als Ansatzportion fuehren.	Adresskopf vor Handlung
B1-S011	f81v	B1	T6	chckhy qoky	CKH+Y+OK+Y	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.	Adresskopf vor Handlung
B1-S017	f81v	B1	T3	sal teol dchdy	AL+E+OL+CHD+DY	Am gemeinsamen zweireihigen Becken: An der Zielstelle kurz weiterarbeiten, umsetzen und den Schritt schliessen.	Adresskopf vor Handlung
B1-S021	f81v	B1	T8	chal	AL	Am gemeinsamen zweireihigen Becken: Die Zielstelle festlegen.	Handlung aus Bild oder laufendem Arbeitsgang erben
B2-S008	f82r	B2	T3	sotaiin qokar shedy	OT+AIIN+OK+AR+SHED+DY	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen.	Adresskopf vor Handlung
B2-S016	f82r	B2	T3	cheal lchedar ches aiin oteey qokaiin okey pchedy	AL+L+CHD+AR+CH+E+S+AIIN+OT+EE+Y+OK+AIIN+OK+E+Y+P+CHD+DY	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz entnehmen und teilen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, fuellen, umsetzen und schliessen.	Adresskopf vor Handlung
B2-S020	f82r	B2	T4	qoteedy	OT+EE+DY	An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen.	Handlung aus Bild oder laufendem Arbeitsgang erben
B3-S001	f83r	B3	T4	olkeedy	SOLK+EE+DY	An der oberen offenen Faecherstation: Laenger an der Sammelstelle halten und den Schritt schliessen.	Handlung aus Bild oder laufendem Arbeitsgang erben
B3-S002	f83r	B3	T3	qotal chkeedy	OT+AL+CHK+EE+DY	An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen.	Adresskopf vor Handlung
B3-S003	f83r	B3	T3	chey daiin chey lchedy	Y+AIIN+Y+L+CHD+DY	An der oberen offenen Faecherstation: Den laufenden Posten nach Sollmass beibehalten, anschliessend leiten und umsetzen, dann schliessen.	Adresskopf vor Handlung
B3-S020	f83r	B3	T3	dal lchedy	AL+L+CHD+DY	Im bildlich unverbundenen Zwischenabschnitt: An der Zielstelle leiten, umsetzen und den Schritt schliessen.	Adresskopf vor Handlung
B3-S026	f83r	B3	T3	cheedar chldaiin chedy qokain checthy chealror solkeedy	EE+AR+L+AIIN+CHD+Y+OK+AIN+CTH+Y+AL+R+OR+SOLK+EE+DY	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger an der Sammelstelle halten und schliessen.	Adresskopf vor Handlung
B3-S027	f83r	B3	T4	qoteedy	OT+EE+DY	Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen.	Handlung aus Bild oder laufendem Arbeitsgang erben
B3-S034	f83r	B3	T3	soiiin checthy chety otaiin olsaly shedy	O+IIN+CTH+Y+T+Y+OT+AIIN+OL+AL+Y+SHED+DY	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Arbeitsstufe fuehren; den Posten bereitet halten und anwenden; danach nach Sollmass an der Zielstelle weiterfuehren, absetzen und schliessen.	Adresskopf vor Handlung
B4-S005	f83r	B4	T3	dain chedy qokeedy	AIN+CHD+Y+OK+EE+DY	Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen.	Adresskopf vor Handlung
B4-S008	f83r	B4	T3	saiin cheeky sheey qokedy	AIIN+CHK+EE+Y+SH+EE+Y+OK+E+DY	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.	Adresskopf vor Handlung
B4-S010	f83r	B4	T4	oldy	OL+DY	Am zweiten durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; den Schritt schliessen.	Handlung aus Bild oder laufendem Arbeitsgang erben
B4-S011	f83r	B4	T3	saiin cheky okeeol okain chdy sol lkedy	AIIN+CHK+E+Y+OK+EE+OL+OK+AIN+CHD+Y+OL+L+K+E+DY	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.	Adresskopf vor Handlung
B4-S014	f83r	B4	T4	or chey qockhey dairydy	OR+Y+O+CKH+E+Y+AIR+Y+DY	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, die laufende Fluessigkeit als aktuellen Posten fuehren und schliessen.	Handlung aus Bild oder laufendem Arbeitsgang erben
B6-S001	f83r	B6	T6	solkeey qekey raly ol daiin ol dain chey ldalor	SOLK+EE+Y+E+K+E+Y+R+AL+Y+OL+AIIN+OL+AIN+Y+L+AL+OR	An der rechten S-Lauf-Nebenstation: Den Posten laenger an der Sammelstelle halten, kurz zugeben, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle leiten.	Adresskopf vor Handlung
