component_no	component	short_value_de	apprentice_slot	teaching_rule	events
C01	OK	ANSETZEN	ACTION	frei mit anderen kurzen Wurzeln kombinieren	80
C02	CHD	UMSETZEN	ACTION	frei mit anderen kurzen Wurzeln kombinieren	48
C03	SH	HALTEN	ACTION	frei mit anderen kurzen Wurzeln kombinieren	25
C04	SHED	ABSETZEN	ACTION	frei mit anderen kurzen Wurzeln kombinieren	15
C05	CHK	WAERMEN	ACTION	frei mit anderen kurzen Wurzeln kombinieren	7
C06	CTH	BEREITEN	ACTION	frei mit anderen kurzen Wurzeln kombinieren	15
C07	SOLK	SAMMELSTELLE	ADDRESS	frei mit anderen kurzen Wurzeln kombinieren	7
C08	P	FUELLEN	ACTION	frei mit anderen kurzen Wurzeln kombinieren	3
C09	LSH	WASCHEN	ACTION	frei mit anderen kurzen Wurzeln kombinieren	3
C10	CFH	AUSWRINGEN	ACTION	konkrete Einmalbedeutung merken; noch nicht als produktiv verallgemeinern	1
C11	CH	ENTNEHMEN	ACTION	frei mit anderen kurzen Wurzeln kombinieren	16
C12	T	ANWENDEN	ACTION	frei mit anderen kurzen Wurzeln kombinieren	10
C13	K	ZUGEBEN	ACTION	frei mit anderen kurzen Wurzeln kombinieren	21
C14	S	TEIL	ADDRESS	konkrete Einmalbedeutung merken; noch nicht als produktiv verallgemeinern	1
C15	L	LEITEN	ACTION	frei mit anderen kurzen Wurzeln kombinieren	27
C16	OL	WEITER	MEMORY	frei mit anderen kurzen Wurzeln kombinieren	48
C17	OT	DANACH	MEMORY	frei mit anderen kurzen Wurzeln kombinieren	26
C18	AL	ZIELSTELLE	ADDRESS	frei mit anderen kurzen Wurzeln kombinieren	39
C19	AR	QUELLE	ADDRESS	frei mit anderen kurzen Wurzeln kombinieren	14
C20	AIR	WASSER	MATERIAL	frei mit anderen kurzen Wurzeln kombinieren	5
C21	OR	ANSATZ	MATERIAL	frei mit anderen kurzen Wurzeln kombinieren	18
C22	HO	ZUTAT	MATERIAL	frei mit anderen kurzen Wurzeln kombinieren	8
C23	CKH	DURCHLASS	ADDRESS	frei mit anderen kurzen Wurzeln kombinieren	14
C24	O	ARBEITSGANG	MATERIAL	frei mit anderen kurzen Wurzeln kombinieren	19
C25	Y	DIES	REFERENT	frei mit anderen kurzen Wurzeln kombinieren	125
C26	AIN	PORTION	ADDRESS	frei mit anderen kurzen Wurzeln kombinieren	18
C27	AIIN	SOLLMASS	ADDRESS	frei mit anderen kurzen Wurzeln kombinieren	39
C28	IIN	ARBEITSSTUFE	ADDRESS	frei mit anderen kurzen Wurzeln kombinieren	4
C29	E	KURZ	GRADE	frei mit anderen kurzen Wurzeln kombinieren	50
C30	EE	LANG	GRADE	frei mit anderen kurzen Wurzeln kombinieren	40
C31	EEE	VOLL	GRADE	frei mit anderen kurzen Wurzeln kombinieren	2
C32	R	KUEHLEN	ACTION	frei mit anderen kurzen Wurzeln kombinieren	6
C33	AN	NACHGABE	ADDRESS	nur im gebundenen Y+K+AN-Rahmen als weitere Portion/Nachgabe lesen	1
C34	DA	ZWEIT	GRADE	konkrete Einmalbedeutung merken; noch nicht als produktiv verallgemeinern	1
C35	LD	BEFESTIGEN	ACTION	konkrete Einmalbedeutung merken; noch nicht als produktiv verallgemeinern	1
C36	DY	SCHLUSS	CLOSE	frei mit anderen kurzen Wurzeln kombinieren	89
C37	OS	FACH	MATERIAL	ganze Karte als Nomenklatorbefehl merken	1
C38	RESUME_CARD	WIEDERAUFNEHMEN	MEMORY	ganze Karte als Nomenklatorbefehl merken	2
C39	TALAM	VERWAHREN	ACTION	ganze Karte als Nomenklatorbefehl merken	1
