item_id	old_value_de	nearest_candidates	decision	canonical_semantic_source	revised_teaching_value_de	adds_new_semantic_value	reason_de	support_or_instances	scope
AIIN	ARGUMENT: Mass	AIN|IIN	KEEP_DISTINCT	AIIN	ARGUMENT: Mass	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	10	BOTH
AIN	ARGUMENT: Portion	AIIN|HO	KEEP_DISTINCT	AIN	ARGUMENT: Portion	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	8	BOTH
AIR	ARGUMENT: Lauf	CKH|L	KEEP_DISTINCT	AIR	ARGUMENT: Lauf	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	5	BOTH
AL	ARGUMENT: Stelle	AR|P	KEEP_DISTINCT	AL	ARGUMENT: Stelle	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	22	BOTH
AR	ARGUMENT: von dort	AL|CH	KEEP_DISTINCT	AR	ARGUMENT: von dort	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	9	BOTH
CH	OPERATION: abziehen	LS|SOURCE_DRAW	KEEP_DISTINCT	CH	OPERATION: abziehen	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	12	BOTH
CHD	OPERATION: umsetzen	L|K	KEEP_DISTINCT	CHD	OPERATION: umsetzen	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	22	BOTH
CHK	OPERATION: waermen	R|SHED	KEEP_DISTINCT	CHK	OPERATION: waermen	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	4	BOTH
CKH	OPERATION: Durchlass	AIR|CKHE	KEEP_DISTINCT	CKH	OPERATION: Durchlass	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	7	BOTH
CKHE	OPERATION: seihen	NONE	COMPOSE_FROM_CKH_PLUS_E	CKH+E	COMPOSITION: Durchlass kurz führen	NO	Kein eigenes SEIHEN-Wort; SH/L-Hülle bestimmt Halten oder Führen.	2	BIOLOGICAL_ONLY
CTH	STATE: bereit	EEE|SH	KEEP_DISTINCT	CTH	STATE: bereit	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	8	BOTH
DY	ENDPOINT: Schluss	LDDY|Y	KEEP_DISTINCT	DY	ENDPOINT: Schluss	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	36	BOTH
E	GRADE: kurz	EE|EEE	KEEP_DISTINCT	E	GRADE: kurz	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	28	BOTH
EE	GRADE: laenger	E|EEE	KEEP_DISTINCT	EE	GRADE: laenger	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	16	BOTH
EEE	GRADE: vollstaendig	EE|CTH	KEEP_DISTINCT	EEE	GRADE: vollstaendig	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	2	BIOLOGICAL_ONLY
IIN	ARGUMENT: Sollstufe	AIIN|PROC169	KEEP_DISTINCT	IIN	ARGUMENT: Sollstufe	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	2	BOTH
K	OPERATION: zufuehren	P|T	KEEP_DISTINCT	K	OPERATION: zufuehren	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	17	BOTH
L	OPERATION: fuehren	CHD|P	KEEP_DISTINCT	L	OPERATION: fuehren	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	17	BIOLOGICAL_ONLY
LDDY	ENDPOINT: befestigen und schliessen	DY|PROC043	KEEP_DISTINCT	LDDY	ENDPOINT: befestigen und schliessen	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	1	BIOLOGICAL_ONLY
LS	OPERATION: abfuehren	NONE	ALIAS_OF_OL	OL	ALIAS: fortsetzen	NO	Einmalige Kurzkarte; Ereignisfunktion CONTINUE_USE stimmt mit OL überein.	1	BIOLOGICAL_ONLY
LSH	OPERATION: Waschgang	SHED|CKH	KEEP_DISTINCT	LSH	OPERATION: Waschgang	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	2	BIOLOGICAL_ONLY
O	FRAME: Arbeitsgang	OK|OR	KEEP_DISTINCT	O	FRAME: Arbeitsgang	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	16	BOTH
OK	FRAME: ansetzen	O|K	KEEP_DISTINCT	OK	FRAME: ansetzen	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	23	BOTH
OL	FRAME: fortsetzen	OT|LS	KEEP_DISTINCT	OL	FRAME: fortsetzen	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	24	BOTH
OR	ARGUMENT: Ansatz	O|PROC031	KEEP_DISTINCT	OR	ARGUMENT: Ansatz	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	10	BOTH
OT	FRAME: danach	OL|T	KEEP_DISTINCT	OT	FRAME: danach	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	16	BOTH
P	OPERATION: hinein	K|L	KEEP_DISTINCT	P	OPERATION: hinein	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	3	BOTH
R	OPERATION: abkuehlen	CHK|SHED	KEEP_DISTINCT	R	OPERATION: abkuehlen	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	6	BIOLOGICAL_ONLY
SH	OPERATION: halten	SHED|CTH	KEEP_DISTINCT	SH	OPERATION: halten	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	19	BOTH
SHED	OPERATION: absetzen	SH|R	KEEP_DISTINCT	SHED	OPERATION: absetzen	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	3	BIOLOGICAL_ONLY
SOLK	OPERATION: auffangen	PROC031|CKH	KEEP_DISTINCT	SOLK	OPERATION: auffangen	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	5	BIOLOGICAL_ONLY
T	OPERATION: eintragen	K|P	KEEP_DISTINCT	T	OPERATION: eintragen	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	9	BOTH
Y	ARGUMENT: dies	AIN|OR	KEEP_DISTINCT	Y	ARGUMENT: dies	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	57	BOTH
HO	ARGUMENT: Gabe	AIN|OR	KEEP_DISTINCT	HO	ARGUMENT: Gabe	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	5	HERBAL_ONLY
CHEO	ARGUMENT: Auszug	NONE	COMPOSE_FROM_CH_PLUS_E_PLUS_O	CH+E+O	COMPOSITION: kurzer Abzieh-Arbeitsgang; Resultat Auszug	NO	Auszug ist das Resultat der bereits gelernten drei Teile.	2	HERBAL_ONLY
PROC005	ARBEITSFACH	AL|O	KEEP_DISTINCT	PROC005	ARBEITSFACH	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	1	HERBAL
PROC028	AUSWRINGEN	CH|CKH	KEEP_DISTINCT	PROC028	AUSWRINGEN	YES	Distinct source, target, quantity, motion, state, object or endpoint role.	1	HERBAL
