core_no	item_id	canonical_value_de	semantic_role	support_or_instances	scope
1	AIIN	ARGUMENT: Mass	ARGUMENT	10	BOTH
2	AIN	ARGUMENT: Portion	ARGUMENT	8	BOTH
3	AIR	ARGUMENT: Lauf	ARGUMENT	5	BOTH
4	AL	ARGUMENT: Stelle	ARGUMENT	22	BOTH
5	AR	ARGUMENT: von dort	ARGUMENT	9	BOTH
6	CH	OPERATION: abziehen	OPERATION	12	BOTH
7	CHD	OPERATION: umsetzen	OPERATION	22	BOTH
8	CHK	OPERATION: waermen	OPERATION	4	BOTH
9	CKH	OPERATION: Durchlass	OPERATION	7	BOTH
10	CTH	STATE: bereit	STATE	8	BOTH
11	DY	ENDPOINT: Schluss	ENDPOINT	36	BOTH
12	E	GRADE: kurz	GRADE	28	BOTH
13	EE	GRADE: laenger	GRADE	16	BOTH
14	EEE	GRADE: vollstaendig	GRADE	2	BIOLOGICAL_ONLY
15	IIN	ARGUMENT: Sollstufe	ARGUMENT	2	BOTH
16	K	OPERATION: zufuehren	OPERATION	17	BOTH
17	L	OPERATION: fuehren	OPERATION	17	BIOLOGICAL_ONLY
18	LDDY	ENDPOINT: befestigen und schliessen	ENDPOINT	1	BIOLOGICAL_ONLY
19	LSH	OPERATION: Waschgang	OPERATION	2	BIOLOGICAL_ONLY
20	O	FRAME: Arbeitsgang	FRAME	16	BOTH
21	OK	FRAME: ansetzen	FRAME	23	BOTH
22	OL	FRAME: fortsetzen	FRAME	24	BOTH
23	OR	ARGUMENT: Ansatz	ARGUMENT	10	BOTH
24	OT	FRAME: danach	FRAME	16	BOTH
25	P	OPERATION: hinein	OPERATION	3	BOTH
26	R	OPERATION: abkuehlen	OPERATION	6	BIOLOGICAL_ONLY
27	SH	OPERATION: halten	OPERATION	19	BOTH
28	SHED	OPERATION: absetzen	OPERATION	3	BIOLOGICAL_ONLY
29	SOLK	OPERATION: auffangen	OPERATION	5	BIOLOGICAL_ONLY
30	T	OPERATION: eintragen	OPERATION	9	BOTH
31	Y	ARGUMENT: dies	ARGUMENT	57	BOTH
32	HO	ARGUMENT: Gabe	ARGUMENT	5	HERBAL_ONLY
33	PROC005	ARBEITSFACH	ARBEITSFACH	1	HERBAL
34	PROC028	AUSWRINGEN	AUSWRINGEN	1	HERBAL
35	PROC031	EMPFANGSBESTAND	EMPFANGSBESTAND	4	BIOLOGICAL|HERBAL
36	PROC043	VERWAHREN	VERWAHREN	1	HERBAL
37	PROC124	TEILEN	TEILEN	1	BIOLOGICAL
