null_id	seed	iterations	stratification	metric	observed	null_mean	null_q025	null_median	null_q975	p_lower_add_one	p_upper_add_one	algorithm
N01_FOLIO_SLOT_POSITION	776	20000	PHYSICAL_FOLIO	line_first	22	47.903450	36	48	61	0.000050	1.000000	For every replicate, sample without replacement exactly the observed number of ol tokens from all reader-exact cache slots on each physical folio; combine folio samples and recount position, paragraph-boundary, same-line unordered-pair and physically-adjacent-pair statistics.
N01_FOLIO_SLOT_POSITION	776	20000	PHYSICAL_FOLIO	line_middle	317	286.874350	271	287	303	1.000000	0.000050	For every replicate, sample without replacement exactly the observed number of ol tokens from all reader-exact cache slots on each physical folio; combine folio samples and recount position, paragraph-boundary, same-line unordered-pair and physically-adjacent-pair statistics.
N01_FOLIO_SLOT_POSITION	776	20000	PHYSICAL_FOLIO	line_last	37	45.356850	33	45	58	0.100695	0.924404	For every replicate, sample without replacement exactly the observed number of ol tokens from all reader-exact cache slots on each physical folio; combine folio samples and recount position, paragraph-boundary, same-line unordered-pair and physically-adjacent-pair statistics.
N01_FOLIO_SLOT_POSITION	776	20000	PHYSICAL_FOLIO	true_paragraph_opener	0	6.137950	2	6	11	0.002050	1.000000	For every replicate, sample without replacement exactly the observed number of ol tokens from all reader-exact cache slots on each physical folio; combine folio samples and recount position, paragraph-boundary, same-line unordered-pair and physically-adjacent-pair statistics.
N01_FOLIO_SLOT_POSITION	776	20000	PHYSICAL_FOLIO	true_paragraph_closer	1	6.320150	2	6	11	0.011599	0.998950	For every replicate, sample without replacement exactly the observed number of ol tokens from all reader-exact cache slots on each physical folio; combine folio samples and recount position, paragraph-boundary, same-line unordered-pair and physically-adjacent-pair statistics.
N01_FOLIO_SLOT_POSITION	776	20000	PHYSICAL_FOLIO	same_line_unordered_pairs	40	35.232300	25	35	47	0.820309	0.225939	For every replicate, sample without replacement exactly the observed number of ol tokens from all reader-exact cache slots on each physical folio; combine folio samples and recount position, paragraph-boundary, same-line unordered-pair and physically-adjacent-pair statistics.
N01_FOLIO_SLOT_POSITION	776	20000	PHYSICAL_FOLIO	adjacent_pairs	7	7.993750	3	8	14	0.451877	0.694115	For every replicate, sample without replacement exactly the observed number of ol tokens from all reader-exact cache slots on each physical folio; combine folio samples and recount position, paragraph-boundary, same-line unordered-pair and physically-adjacent-pair statistics.
N02_FOLIO_POSITION_NEIGHBOR	778	20000	PHYSICAL_FOLIO|LINE_POSITION	unique_left_neighbors	225	228.783150	213	229	244	0.336983	0.707565	For every replicate, sample without replacement exactly the observed number of ol tokens within each physical-folio by FIRST/MIDDLE/LAST stratum; recount distinct written left neighbors, right neighbors and ordered left-right frames. Neighbor exactness is not required.
N02_FOLIO_POSITION_NEIGHBOR	778	20000	PHYSICAL_FOLIO|LINE_POSITION	unique_right_neighbors	188	224.813750	210	225	240	0.000050	1.000000	For every replicate, sample without replacement exactly the observed number of ol tokens within each physical-folio by FIRST/MIDDLE/LAST stratum; recount distinct written left neighbors, right neighbors and ordered left-right frames. Neighbor exactness is not required.
N02_FOLIO_POSITION_NEIGHBOR	778	20000	PHYSICAL_FOLIO|LINE_POSITION	unique_neighbor_frames	367	370.074900	365	370	374	0.141893	0.924704	For every replicate, sample without replacement exactly the observed number of ol tokens within each physical-folio by FIRST/MIDDLE/LAST stratum; recount distinct written left neighbors, right neighbors and ordered left-right frames. Neighbor exactness is not required.
N03_REGISTER_REPEAT	774	20000	SECTION|LANGUAGE|HAND	same_line_unordered_pairs	40	27.793800	18	28	39	0.987201	0.019049	For every replicate, sample without replacement exactly the observed number of ol tokens from reader-exact cache slots in each section, language and hand stratum; recount same-line unordered pairs and physically-adjacent pairs.
N03_REGISTER_REPEAT	774	20000	SECTION|LANGUAGE|HAND	adjacent_pairs	7	6.158000	2	6	11	0.724264	0.420679	For every replicate, sample without replacement exactly the observed number of ol tokens from reader-exact cache slots in each section, language and hand stratum; recount same-line unordered pairs and physically-adjacent pairs.
