group_id	group_axis	group_value	occurrences	loci	pages	physical_folios	line_first	line_middle	line_last	line_first_rate	line_middle_rate	line_last_rate	paragraph_start_line	paragraph_end_line	true_paragraph_opener	true_paragraph_closer	mean_normalized_line_position	conditional_uniform_first_expected	conditional_uniform_first_z	conditional_uniform_last_z	repeated_lines	repeated_occurrences	same_line_unordered_pairs	adjacent_ol_pairs	any_direct_signature_occurrences	amount_occurrences	value_occurrences	bounded_value_occurrences	state_dry_occurrences	state_moist_occurrences	process_occurrences	close_occurrences	oly_occurrences
ALL	ALL	ALL	376	340	98	61	22	317	37	0.058511	0.843085	0.098404	33	45	0	1	0.499177	41.170165	-3.190115	-0.693959	32	68	40	7	35	9	0	0	4	2	8	12	2
SECTION_B	SECTION	B	167	139	17	9	2	144	21	0.011976	0.862275	0.125749	10	17	0	1	0.522368	18.621112	-4.105565	0.587607	24	52	32	5	17	3	0	0	0	1	4	9	1
SECTION_NON_B	SECTION	NON_B	209	201	81	53	20	173	16	0.095694	0.827751	0.076555	23	28	0	0	0.480646	22.549052	-0.574001	-1.474730	8	16	8	2	18	6	0	0	4	1	4	3	1
HAND_2	HAND	2	216	184	33	18	4	186	26	0.018519	0.861111	0.120370	11	23	0	1	0.526901	23.798127	-4.328807	0.481434	28	60	36	5	21	7	0	0	0	1	4	9	1
HAND_NON_2	HAND	NON_2	160	156	65	43	18	131	11	0.112500	0.818750	0.068750	22	22	0	0	0.461749	17.372038	0.161104	-1.634750	4	8	4	2	14	2	0	0	4	1	4	3	1
SECTION_B_ALL	SECTION	B	167	139	17	9	2	144	21	0.011976	0.862275	0.125749	10	17	0	1	0.522368	18.621112	-4.105565	0.587607	24	52	32	5	17	3	0	0	0	1	4	9	1
SECTION_C_ALL	SECTION	C	4	3	1	1	1	3	0	0.250000	0.750000	0.000000	0	2	0	0	0.578677	0.595238	0.580222	-0.853267	1	2	1	0	0	0	0	0	0	0	0	0	0
SECTION_H_ALL	SECTION	H	70	68	42	31	11	50	9	0.157143	0.714286	0.128571	8	8	0	0	0.459440	9.353558	0.586968	-0.126046	2	4	2	1	6	3	0	0	1	0	1	1	0
SECTION_P_ALL	SECTION	P	17	16	8	5	1	16	0	0.058824	0.941176	0.000000	0	2	0	0	0.437828	1.809596	-0.638928	-1.428122	1	2	1	1	3	0	0	0	2	1	0	0	0
SECTION_S_ALL	SECTION	S	87	85	25	13	6	75	6	0.068966	0.862069	0.068966	14	11	0	0	0.485441	7.889895	-0.706988	-0.706988	2	4	2	0	6	0	0	0	1	0	3	2	1
SECTION_T_ALL	SECTION	T	31	29	5	4	1	29	1	0.032258	0.935484	0.032258	1	5	0	0	0.525906	2.900766	-1.175396	-1.175396	2	4	2	0	3	3	0	0	0	0	0	0	0
LANGUAGE_A	LANGUAGE	A	58	56	35	26	8	45	5	0.137931	0.775862	0.086207	5	6	0	0	0.469839	7.970094	0.011560	-1.148026	2	4	2	2	5	0	0	0	3	1	1	0	1
LANGUAGE_B	LANGUAGE	B	318	284	63	35	14	272	32	0.044025	0.855346	0.100629	28	39	0	1	0.504528	33.200071	-3.539961	-0.221260	30	64	38	5	30	9	0	0	1	1	7	12	1
HAND_1_ALL	HAND	1	55	53	33	25	8	42	5	0.145455	0.763636	0.090909	5	6	0	0	0.459838	7.686760	0.123464	-1.058990	2	4	2	2	4	0	0	0	3	1	0	0	0
HAND_2_ALL	HAND	2	216	184	33	18	4	186	26	0.018519	0.861111	0.120370	11	23	0	1	0.526901	23.798127	-4.328807	0.481434	28	60	36	5	21	7	0	0	0	1	4	9	1
HAND_3_ALL	HAND	3	97	95	28	15	9	82	6	0.092784	0.845361	0.061856	17	13	0	0	0.469590	8.953495	0.016346	-1.038112	2	4	2	0	9	1	0	0	1	0	4	3	1
HAND_5_ALL	HAND	5	7	7	3	3	1	6	0	0.142857	0.857143	0.000000	0	3	0	0	0.324175	0.660354	0.440030	-0.855523	0	0	0	0	1	1	0	0	0	0	0	0	0
HAND_@_ALL	HAND	@	1	1	1	1	0	1	0	0.000000	1.000000	0.000000	0	0	0	0	0.769231	0.071429	-0.277350	-0.277350	0	0	0	0	0	0	0	0	0	0	0	0	0
