page	physical_folio	locus	section	language	hand	ol_multiplicity	ol_occurrence_ids	ol_ordinals	consecutive_ol_distances	same_line_unordered_pairs	adjacent_ol_pairs	signature_occurrences	adjacent_tokens_with_any_signature	written_line_eva
f104r	f104	f104r.5	S	B	3	2	G769-T0028|G769-T0029	4|6	2	1	0	2	0	kchdal qotaiin qoshedy ol chl ol cheday al lod pchdair opchdy qod
f107v	f107	f107v.2	S	B	3	2	G769-T0069|G769-T0071	3|13	10	1	0	0	0	daiin dckhy ol daiin chkal qokedy otal chedy oteos aiin otar alkain ol
f23r	f23	f23r.5	H	A	1	2	G769-T0165|G769-T0166	8|9	1	1	1	0	0	ychor qokchol ytym chol dair chol ar ol ol dol dain
f55v	f55	f55v.10	H	B	2	2	G769-T0232|G769-T0234	2|12	10	1	0	1	0	oaiin ol s aiin okaiin oky ytaiin otar y kal ykar ol
f75r	f75	f75r.26	B	B	2	2	G769-T0257|G769-T0258	2|5	3	1	0	0	0	dain ol sheol dain ol qoly dar ajy
f75v	f75	f75v.40	B	B	2	2	G769-T0272|G769-T0273	6|10	4	1	0	0	0	dlshedy qokain dal qol qol ol sheedy cheey dol ol sheey qokain olol
f75v	f75	f75v.41	B	B	2	2	G769-T0274|G769-T0275	6|8	2	1	0	1	0	sal shedy qokain shey qoin ol shey ol shey qoky qol cheey chl or sheolo
f77v	f77	f77v.23	B	B	2	2	G769-T0298|G769-T0299	3|6	3	1	0	0	0	qokal chees ol shedy doraiin ol qoky ches ol dal
f77v	f77	f77v.9	B	B	2	2	G769-T0296|G769-T0297	6|8	2	1	0	0	0	dcheol kshey qolchshy cheol olchedy ol chs ol sheedy qokedy chedy
f78r	f78	f78r.29	B	B	2	2	G769-T0308|G769-T0309	2|11	9	1	0	0	0	ssheky ol kedy chckhy dain oty qokor oky dain chy ol
f78v	f78	f78v.25	B	B	2	2	G769-T0329|G769-T0330	4|8	4	1	0	0	0	teeol olkeshey qolcheol ol or sheckhedy or ol sham
f78v	f78	f78v.27	B	B	2	2	G769-T0332|G769-T0334	5|8	3	1	0	0	0	lol kar shr r ol ols sheey ol chedy oltar olkaiin
f78v	f78	f78v.4	B	B	2	3	G769-T0315|G769-T0316|G769-T0317	1|5|10	4|5	3	0	0	0	ol chy lshdy lcheckhy ol keedy lcheckhey l olkedykain ol
f78v	f78	f78v.5	B	B	2	2	G769-T0318|G769-T0319	4|6	2	1	0	0	0	qor olkeey olkain ol chsey ol cheeky dar okal dal olchedy
f79r	f79	f79r.32	B	B	2	2	G769-T0347|G769-T0348	5|10	5	1	0	0	0	sol cheedy qoteedy okaiin ol olaiin shey daiin chy ol
f79r	f79	f79r.37	B	B	2	2	G769-T0351|G769-T0352	2|3	1	1	1	0	0	lcheol ol ol sheey olsheey sholkeey okchey dain
f79r	f79	f79r.41	B	B	2	2	G769-T0354|G769-T0355	6|7	1	1	1	0	0	qokain shedy qotain oteedy chkain ol ol chedy oly
f79v	f79	f79v.25	B	B	2	2	G769-T0360|G769-T0361	2|9	7	1	0	1	0	qokeey ol olshdy qotain oteedy olkain otshey sain ol
f79v	f79	f79v.32	B	B	2	3	G769-T0363|G769-T0364|G769-T0365	2|5|6	3|1	3	1	0	0	olkeey ol or ocheey ol ol o keeedy checkhy aror
f79v	f79	f79v.35	B	B	2	2	G769-T0366|G769-T0367	5|9	4	1	0	1	0	qor cheey kain chl ol otol dain otain ol oteedy qokan
f79v	f79	f79v.40	B	B	2	2	G769-T0370|G769-T0371	4|10	6	1	0	0	0	qokees aiin okain ol oiin qokoin sheky qokeedy qokar ol
f80v	f80	f80v.20	B	B	2	2	G769-T0392|G769-T0393	2|7	5	1	0	0	0	ysheeyqorar ol cheey daiin shey qokaiin ol okaiin
f81r	f81	f81r.22	B	B	2	3	G769-T0415|G769-T0416|G769-T0417	4|6|8	2|2	3	0	1	0	qotal chedy qol ol daiin ol chedar ol oly
f81r	f81	f81r.4	B	B	2	2	G769-T0404|G769-T0405	3|4	1	1	1	0	0	dchedy qokain ol ol chcthy ykeedy al
f81r	f81	f81r.5	B	B	2	3	G769-T0406|G769-T0407|G769-T0408	4|5|7	1|2	3	1	0	0	qol cheol okeey ol ol olaiin ol or ain
f81r	f81	f81r.6	B	B	2	2	G769-T0409|G769-T0410	2|7	5	1	0	0	0	sar ol eses oteey shor qokeey ol
f81v	f81	f81v.18	B	B	2	2	G769-T0430|G769-T0431	3|5	2	1	0	0	0	qokchdy chey ol cheky ol shedy qokedy qokedy chckhy qoky
f81v	f81	f81v.2	B	B	2	2	G769-T0421|G769-T0422	6|10	4	1	0	0	0	qokedy okaiin kair okal sar ol kain olkain al ol rol dl
f85r1	f85	f85r1.13	T	B	2	2	G769-T0451|G769-T0452	7|10	3	1	0	2	0	rsheodar qocthy kar okaiin ykeeeody qotal ol s aiin ol daldy shody
f85r2	f85	f85r2.23	C	B	2	2	G769-T0461|G769-T0462	1|4	3	1	0	0	0	ol lcheol chol ol sheoly
f86v6	f86	f86v6.35	T	B	2	2	G769-T0481|G769-T0482	7|11	4	1	0	0	0	sar aiin otar cheody qotaiin qokaiin ol tey qokaiin okar ol
f99v	f99	f99v.34	P	A	1	2	G769-T0522|G769-T0523	2|3	1	1	1	0	0	yoiin ol ol olaiin qockhey qokol olshy qokeeor or aiin doldam
