target_occurrence_id	page	physical_folio	locus	ordinal	evidence_mask	gdt762_amount_position	gdt771_strict_left	gdt769_r01_positive_occurrence	gdt769_r05_conjunction_occurrence	gdt773_calibration_case	any_direct_signature	structural_disposition	gdt683_working_translation_de	gdt683_evidence_type	gdt683_semantic_decision	translation_credit	component_export_credit
G769-T0001	f100v	f100	f100v.20	7	NONE	0	0	0	0	0	1	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0002	f100v	f100	f100v.21	3	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0003	f102v1	f102	f102v1.8	2	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0004	f102v1	f102	f102v1.10	2	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0005	f102v1	f102	f102v1.13	2	L	0	0	0	1	0	0	FIELD_LINK_ONLY	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0006	f102v2	f102	f102v2.20	9	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0007	f102v2	f102	f102v2.22	10	L	0	0	0	1	0	0	FIELD_LINK_ONLY	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0009	f102v2	f102	f102v2.32	10	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0011	f103r	f103	f103r.25	12	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0012	f103r	f103	f103r.28	9	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0013	f103r	f103	f103r.43	3	L	0	0	0	1	0	0	FIELD_LINK_ONLY	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0014	f103r	f103	f103r.46	9	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0015	f103v	f103	f103v.4	6	NL	0	0	1	1	0	0	FIELD_NOMINAL_OVERLAP	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0016	f103v	f103	f103v.7	11	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0017	f103v	f103	f103v.9	10	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0019	f103v	f103	f103v.17	8	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0021	f103v	f103	f103v.34	3	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0022	f103v	f103	f103v.37	3	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0023	f103v	f103	f103v.38	4	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0024	f103v	f103	f103v.40	5	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0026	f103v	f103	f103v.45	2	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0028	f104r	f104	f104r.5	4	NONE	0	0	0	0	0	1	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0029	f104r	f104	f104r.5	6	NONE	0	0	0	0	0	1	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0031	f104r	f104	f104r.14	9	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0033	f104r	f104	f104r.23	1	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0034	f104v	f104	f104v.1	6	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
G769-T0035	f104v	f104	f104v.3	11	NONE	0	0	0	0	0	0	UNTYPED	Grundansatz	GDT664_PUBLISHED_LEARNED_WHOLE	BILATERAL_PORTABLE_OL_BASE	0	0
