direction	neighbor_surface	occurrences	pages	physical_folios	section_counts
LEFT	LINE_START	22	18	17	"{""B"":2,""C"":1,""H"":11,""P"":1,""S"":6,""T"":1}"
LEFT	qokain	9	6	5	"{""B"":8,""S"":1}"
LEFT	aiin	7	6	6	"{""B"":2,""H"":1,""P"":1,""S"":1,""T"":2}"
LEFT	ol	7	5	4	"{""B"":5,""H"":1,""P"":1}"
LEFT	qokaiin	7	7	6	"{""B"":2,""H"":1,""S"":2,""T"":2}"
LEFT	ain	5	5	5	"{""B"":2,""P"":1,""S"":1,""T"":1}"
LEFT	chey	5	5	5	"{""B"":2,""S"":2,""T"":1}"
LEFT	chol	5	5	5	"{""B"":1,""C"":1,""H"":1,""S"":2}"
LEFT	okar	5	5	4	"{""B"":3,""S"":1,""T"":1}"
LEFT	qokar	5	3	3	"{""B"":5}"
LEFT	r	5	5	5	"{""B"":3,""H"":1,""S"":1}"
LEFT	sain	5	5	5	"{""B"":3,""S"":2}"
LEFT	shedy	5	4	4	"{""B"":3,""H"":1,""T"":1}"
LEFT	ar	4	4	4	"{""B"":1,""H"":1,""S"":1,""T"":1}"
LEFT	daiin	4	4	4	"{""B"":3,""C"":1}"
LEFT	dar	4	4	4	"{""B"":3,""T"":1}"
LEFT	okaiin	4	4	4	"{""B"":2,""S"":2}"
LEFT	or	4	4	4	"{""B"":2,""H"":1,""S"":1}"
LEFT	otaiin	4	4	4	"{""B"":2,""H"":1,""T"":1}"
LEFT	qokal	4	4	4	"{""B"":1,""S"":2,""T"":1}"
LEFT	qokeey	4	4	4	"{""B"":2,""S"":1,""T"":1}"
LEFT	qol	4	4	3	"{""B"":4}"
LEFT	shey	4	4	4	"{""B"":3,""S"":1}"
LEFT	chedy	3	2	2	"{""B"":2,""T"":1}"
LEFT	cheor	3	3	3	"{""P"":2,""S"":1}"
LEFT	dain	3	2	2	"{""B"":3}"
LEFT	dol	3	3	3	"{""B"":1,""H"":1,""P"":1}"
LEFT	olkaiin	3	3	3	"{""B"":3}"
LEFT	otal	3	3	3	"{""B"":1,""S"":2}"
LEFT	oteey	3	3	3	"{""C"":1,""S"":1,""T"":1}"
LEFT	qokedy	3	3	3	"{""B"":3}"
LEFT	sar	3	3	2	"{""B"":3}"
LEFT	taiin	3	3	3	"{""H"":2,""S"":1}"
LEFT	aiiin	2	2	2	"{""B"":1,""S"":1}"
