surface	primary_candidate_de	renderer_value_de	semantic_role	working_confidence	alternate_1_de	alternate_2_de	historical_expression_ids	gdt756_candidate_de	revision_reason	prior_positive_evidence	counterevidence	claim_scope
chor	Pflanzenteil, wahrscheinlich Blüten-/Samenstand	Blüten-/Samenstand	PLANT_PART_HEAD	C1_CONVERGENT_EXPLORATORY	Pflanzenteil ohne nähere Bestimmung	Trockenheits-/Zustandsmarker	E033|E032|E034	Blätter	Die Blattidentität war unbegründet; der replizierte chor chol daiin-Rahmen trägt nur Pflanzenteil plus einen schwachen Reproduktionsteil-Favoriten.	GDT629 besitzt zwei dreifach exakt gelesene chor chol daiin-Klauseln als Pflanzenteil trocken Grad III; GDT625 fand wiederholte Kontakte zu getrennten Partkandidaten.	Keine Bildstelle bindet chor eindeutig an Blüte oder Samen; die saubere Ganzwortanalogie hat zugleich einen Trockenheitsrivalen.	EXACT_WHOLE_REPLACEABLE_DEFAULT
chshoty	kalte Trockenzubereitung	kalte Trockenzubereitung	QUALIFIED_PREPARATION	C0_SINGLETON_EXPLORATORY	kühle und trockne	eingeweichte Zubereitung	E011|E015|E020	weiche ein	Der alte Einweich-Default hatte keinen lokalen Träger; zwei saubere Ganzwortnachbarn teilen dagegen kalt trocken Zubereitung.	Zwei Editdistanz-2-Ganzwörter tragen gemeinsam COLD DRY PREPARATION.	Nur ein reader-exaktes Vorkommen; die Analogie kann Zustand und Vorgang nicht trennen.	EXACT_WHOLE_REPLACEABLE_DEFAULT
cthy	Blattgut / Blattdroge	Blattgut	LEAF_DRUG_HEAD	C2_CROSS_PASS_EXPLORATORY	oberirdisches Kraut	Pflanzenteil ohne nähere Bestimmung	E032|E033|E034	Wurzel	Der Wurzel-Default widersprach dem bereits publizierten GDT625-Befund; Blattgut ist der engere wiederholt bild- und kontextgestützte Favorit.	GDT625 fand 90/92 Herbal-Vorkommen, direkte Partkontakte und fünfzehn Vorkommen auf sechs bereits geöffneten Bildfolios; der aktuelle sichere Cache hat dieselbe starke Herbal-Konzentration.	Die Bildzuordnung ist regional, nicht wortgenau; herba und ein generisches Pflanzenteil bleiben möglich.	EXACT_WHOLE_REPLACEABLE_DEFAULT
oky	erste Wärmestufe / heiß zu Beginn	erste Wärmestufe	HOT_BEGIN_STATE	C1_RECURRENT_EXPLORATORY	erhitze zuerst	heiße Zubereitung	E008|E050	heiß am Anfang	Die neue Formulierung macht die Zustandslesung zum Default und hält den Imperativ als Rivalen.	Vier von sieben sauberen Edit-1-Nachbarn tragen HOT und BEGIN_STAGE; oky ist auf vielen Seiten wiederholt.	Die Nachbarschaft verfehlt knapp einen Achsenkonsens und oky steht auch oft am Zeilenende.	EXACT_WHOLE_REPLACEABLE_DEFAULT
qokchol	erhitzt und getrocknet	erhitzt und getrocknet	HOT_DRY_STATE_OR_PROCESS	C2_MULTIWHOLE_EXPLORATORY	heiß-trockener Zustand	erhitzte Trockenzubereitung	E012|E014|E043	heiß getrocknetes Kraut	Der unbelegte Träger Kraut wird entfernt; nur der gemeinsam gestützte Heiß-Trocken-Kern bleibt gesprochen.	Drei saubere Edit-1-Ganzwörter teilen DRY und zwei davon HOT; dreizehn der fünfzehn sicheren Vorkommen liegen im Herbal-Register.	Zustand, Vorgang und Zubereitungsträger sind noch nicht getrennt.	EXACT_WHOLE_REPLACEABLE_DEFAULT
s	je / zu gleichen Teilen	je	EQUAL_AMOUNT_OR_MEASURE_FORMULA	C2_ORDERED_VALUE_EXPLORATORY	Drachmenzeichen	Unzenzeichen	E006|E004|E005	Samen	Der Samen-Default stammte nur aus einem erzwungenen Inhaltsslot; die globale unmittelbare Folge vor der geordneten Wertfamilie ist wesentlich informativer und passt zu ana.	Reader-exakte rechte Kontexte zeigen s besonders oft unmittelbar vor ain aiin oder aiiin; s aiin ist die dominante Einzelverbindung. Historisch ist ana plus Mengenangabe eine kompakte Rezeptformel.	s ist nicht der einzige Wert-Einleiter, steht auch zeilenfinal und besitzt keinen grafischen Bezug zu ana; eine konkrete Einheit bleibt ein echter Rivale.	EXACT_WHOLE_REPLACEABLE_DEFAULT
ar	Teil / Anteil	Anteil	PART_OR_PORTION	C2_MULTIWHOLE_EXPLORATORY	Portion	Mengen-/Verhältniswort	E002|E001|E051	erster Teil	Die unbelegte Ordnungszahl erster wird gestrichen; die wiederkehrende Teil-/Anteilsrolle bleibt.	Zehn saubere Edit-1-Ganzwörter ergeben PART MATERIAL als Mehrheitskonsens; ar folgt oft ein geordneter Wert.	Teil, Portion und Materialklasse sind noch nicht sauber getrennt.	EXACT_WHOLE_REPLACEABLE_DEFAULT
odol	abgemessene Zubereitung	abgemessene Zubereitung	MEASURED_PREPARATION	C1_SPARSE_MULTIWHOLE_EXPLORATORY	eine Dosis Zubereitung	miss die Zubereitung ab	E004|E005|E025	miss den Arzneistoff ab	Die alte Formulierung legte ohne Syntaxbeleg Verb und Arzneistoff fest; die Ganzwortnachbarschaft stützt nur Menge plus Zubereitung.	Vier saubere Edit-1-Nachbarn ergeben AMOUNT PREPARATION als Konsens; das ychor-Vorkommen liegt in einem unabhängigen Mengen-/Zubereitungsfeld.	Nur zwei globale Vorkommen; Nominalphrase und Imperativ sind unentschieden.	EXACT_WHOLE_REPLACEABLE_DEFAULT
ols	abgeseihtes Endprodukt	abgeseihtes Endprodukt	STRAINED_RESULT	C0_SPARSE_EXPLORATORY	seihe ab	Öl / ölige Zubereitung	E022|E047|E028	Heilmittel	Der generische Heilmittel-Default wird durch eine konkrete Prozess-/Resultathypothese ersetzt, welche beide sauberen Edit-1-Richtungen verbindet.	Fünf von zwölf sicheren Vorkommen sind zeilenfinal; die zwei nächsten sauberen Ganzwörter liefern Abseihen beziehungsweise Abschluss/Endstufe.	Nur zwölf Vorkommen und kein Analogie-Konsens; das direkte ychor-Feld enthält lediglich MATERIAL und keine unabhängige Flüssigkeitsachse.	EXACT_WHOLE_REPLACEABLE_DEFAULT
sheol	feucht / eingeweicht	eingeweicht/feucht	MOIST_STATE_OR_PREPARATION	C2_MULTIWHOLE_EXPLORATORY	Feuchtzubereitung	Wasser- oder Weinansatz	E023|E029|E030	eingeweichtes Kraut	Der unbelegte Träger Kraut wird entfernt; die Feuchte-/Einweichachse ist das stabile gemeinsame Signal.	Fünf von sechs sauberen Edit-1-Ganzwörtern tragen MOIST; das direkte ychor-Feld trägt unabhängig MOIST MATERIAL.	Kein unabhängiger Wasser-, Wein- oder Pflanzenidentitätsbeleg; Zustand und Einweichvorgang bleiben offen.	EXACT_WHOLE_REPLACEABLE_DEFAULT
