frame_atom	working_value_de	carrier_mention_count	carrier_event_count	pair_count	pairs	register_count	registers	transferred_into_neutral_handgrip	guard
AIIN	WERT	2	2	2	P+CH|CH+P	2	HERBAL|CELESTIAL	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
AL	ZIELORT	7	7	3	P+CH|S+CHD|CH+P	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
AR	AUSGANG	2	2	2	P+CH|CH+P	2	SOURCE_SECTION_T|CELESTIAL	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
CARRIER_Q	BEGINNMARKER	1	1	1	P+CH	1	BIOLOGICAL	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
DY	SCHLUSS	5	5	3	P+CH|CH+P|CH+SH	3	HERBAL|BIOLOGICAL|PHARMA	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
D_ADDR	HIER	4	4	3	P+CH|CH+P|CH+SH	3	SOURCE_SECTION_T|HERBAL|PHARMA	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
E	GRAD I	18	17	4	P+CH|CH+P|CH+CH|CH+SH	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
EE	GRAD II	1	1	1	P+CH	1	CELESTIAL	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
EEE	GRAD III	1	1	1	CH+P	1	PHARMA	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
L	VERBINDUNG	1	1	1	P+CH	1	PHARMA	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
LOCAL_CHAR_F	HIER	3	3	1	CH+CH	3	HERBAL|BIOLOGICAL|CELESTIAL	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
O	AUSFÜHRUNG	21	21	4	P+CH|CH+P|CH+CH|CH+SH	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
OL	FORTSETZEN	16	16	5	P+CH|S+CHD|CH+P|CH+CH|CH+SH	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
OR	EINHEIT	11	11	4	P+CH|CH+P|CH+CH|CH+SH	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
OT	DANACH	3	3	3	P+CH|CH+CH|CH+SH	2	HERBAL|PHARMA	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
Y	POSTEN	28	27	5	P+CH|S+CHD|CH+P|CH+CH|CH+SH	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
