target_handgrip_card_id	source_gdt504_delta_card_id	source_gdt502_comparison_card_id	target_matrix_cell_id	target_action_recipe	target_register	ordered_action_pair	carrier_neutral_handgrip_de	target_current_default_phrase_de	target_phrase_handgrip_marker_positions	target_phrase_handgrip_visible	old_pair_carrier_event_count	old_pair_recipe_type_count	old_pair_page_count	old_pair_register_count	target_register_old_pair_event_count	handgrip_projection_class	foreign_carrier_frame_transferred	target_phrase_changed	target_evidence_status_retained	working_root_meaning_changed	surface_prediction_made	occurrence_prediction_made	guard
G505-T01	G504-D21	G502-F21	G498-M270	P+CH+E+Y	PHARMA	P+CH	Setze das zuvor Genannte ein und nimm es.	Setze den Drogenposten ein und nimm den Drogenposten; auf Grad I.	1,32	YES	16	16	11	4	4	TARGET_REGISTER_OLD_HANDGRIP	NO	NO	COMPOSED_WORKING	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-T02	G504-D22	G502-F22	G498-M294	S+CHD+Y	CELESTIAL	S+CHD	Wähle das zuvor Genannte und bearbeite es.	Wähle den Positionsposten und bearbeite den Positionsposten.	1,31	YES	4	2	3	1	0	CROSS_REGISTER_OLD_HANDGRIP	NO	NO	COMPOSED_WORKING	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-T03	G504-D27	G502-F27	G498-M269	P+CH+E+Y	CELESTIAL	P+CH	Setze das zuvor Genannte ein und nimm es.	Setze den Positionsposten ein und nimm den Positionsposten auf; auf Grad I.	1,35	YES	16	16	11	4	3	TARGET_REGISTER_OLD_HANDGRIP	NO	NO	COMPOSED_WORKING	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-T04	G504-D28	G502-F28	G498-M295	S+CHD+Y	PHARMA	S+CHD	Wähle das zuvor Genannte und bearbeite es.	Wähle den Drogenposten und bearbeite den Drogenposten.	1,28	YES	4	2	3	1	0	CROSS_REGISTER_OLD_HANDGRIP	NO	NO	COMPOSED_WORKING	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-T05	G504-D29	G502-F29	G498-M291	S+CHD+Y	SOURCE_SECTION_T	S+CHD	Wähle das zuvor Genannte und bearbeite es.	Wähle den laufenden Eintrag und bearbeite den laufenden Eintrag.	1,33	YES	4	2	3	1	0	CROSS_REGISTER_OLD_HANDGRIP	NO	NO	COMPOSED_WORKING	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-T06	G504-D41	G502-F41	G498-M495	CH+P	PHARMA	CH+P	Nimm das zuvor Genannte und setze es ein.	Nimm das zuvor Genannte und setze es ein.	1,29	YES	25	19	13	5	5	TARGET_REGISTER_OLD_HANDGRIP	NO	NO	COMPOSED_WORKING	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-T07	G504-D42	G502-F42	G498-M491	CH+P	SOURCE_SECTION_T	CH+P	Nimm das zuvor Genannte und setze es ein.	Entnimm das zuvor Genannte und setze es ein.	4,32	YES	25	19	13	5	7	TARGET_REGISTER_OLD_HANDGRIP	NO	NO	COMPOSED_WORKING	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-T08	G504-D43	G502-F43	G498-M460	CH+CH	PHARMA	CH+CH	Nimm das zuvor Genannte zweimal.	Nimm das zuvor Genannte zweimal.	1,25	YES	7	5	5	3	0	CROSS_REGISTER_OLD_HANDGRIP	NO	NO	COMPOSED_WORKING	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-T09	G504-D44	G502-F44	G498-M456	CH+CH	SOURCE_SECTION_T	CH+CH	Nimm das zuvor Genannte zweimal.	Entnimm das zuvor Genannte zweimal.	4,28	YES	7	5	5	3	0	CROSS_REGISTER_OLD_HANDGRIP	NO	NO	COMPOSED_WORKING	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-T10	G504-D45	G502-F45	G498-M465	CH+SH	PHARMA	CH+SH	Nimm das zuvor Genannte und halte es.	Nimm das zuvor Genannte und halte es.	1,29	YES	3	3	3	2	0	CROSS_REGISTER_OLD_HANDGRIP	NO	NO	COMPOSED_WORKING	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-T11	G504-D46	G502-F46	G498-M461	CH+SH	SOURCE_SECTION_T	CH+SH	Nimm das zuvor Genannte und halte es.	Entnimm das zuvor Genannte und halte es fest.	4,32	YES	3	3	3	2	0	CROSS_REGISTER_OLD_HANDGRIP	NO	NO	COMPOSED_WORKING	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
