pair_register_cell_id	ordered_action_pair	register	carrier_neutral_handgrip_de	old_carrier_event_count	old_recipe_type_count	old_clause_form_count	old_page_count	old_pages	direct_adjacency_event_count	separated_action_event_count	all_clause_action_orders_exact	guard
G505-R01	P+CH	HERBAL	Setze das zuvor Genannte ein und nimm es.	6	6	6	4	f10r|f13r|f17r|f55v	6	0	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-R02	P+CH	BIOLOGICAL	Setze das zuvor Genannte ein und nimm es.	3	3	3	2	f81r|f83r	2	1	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-R03	P+CH	CELESTIAL	Setze das zuvor Genannte ein und nimm es.	3	3	3	3	f67r2|f68r1|f72r	2	1	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-R04	P+CH	PHARMA	Setze das zuvor Genannte ein und nimm es.	4	4	4	2	f88r|f89r	4	0	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-R05	S+CHD	BIOLOGICAL	Wähle das zuvor Genannte und bearbeite es.	4	2	2	3	f76r|f77r|f83r	0	4	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-R06	CH+P	SOURCE_SECTION_T	Nimm das zuvor Genannte und setze es ein.	7	7	7	1	f1r	7	0	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-R07	CH+P	HERBAL	Nimm das zuvor Genannte und setze es ein.	5	5	5	3	f11r|f17r|f24v	4	1	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-R08	CH+P	BIOLOGICAL	Nimm das zuvor Genannte und setze es ein.	6	6	5	5	f76r|f77r|f81v|f82r|f83r	3	3	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-R09	CH+P	CELESTIAL	Nimm das zuvor Genannte und setze es ein.	2	2	2	1	f68r1	2	0	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-R10	CH+P	PHARMA	Nimm das zuvor Genannte und setze es ein.	5	5	4	3	f88r|f88v|f89r	4	1	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-R11	CH+CH	HERBAL	Nimm das zuvor Genannte zweimal.	4	3	3	3	f10r|f24v|f56r	0	4	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-R12	CH+CH	BIOLOGICAL	Nimm das zuvor Genannte zweimal.	2	2	2	1	f76r	0	2	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-R13	CH+CH	CELESTIAL	Nimm das zuvor Genannte zweimal.	1	1	1	1	f67r2	0	1	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-R14	CH+SH	HERBAL	Nimm das zuvor Genannte und halte es.	2	2	2	2	f10r|f17r	0	2	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-R15	CH+SH	BIOLOGICAL	Nimm das zuvor Genannte und halte es.	1	1	1	1	f76r	0	1	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
