between_pattern_id	ordered_action_pair	between_action_atoms	between_value_trace_de	carrier_event_count	recipe_type_count	page_count	register_count	direct_component_adjacency	all_clause_action_orders_exact	guard
G505-B01	P+CH	AR	AUSGANG	1	1	1	1	NO	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-B02	P+CH	NONE	NONE	14	14	10	4	YES	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-B03	P+CH	OL	FORTSETZEN	1	1	1	1	NO	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-B04	S+CHD	AL	ZIELORT	1	1	1	1	NO	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-B05	S+CHD	OL	FORTSETZEN	3	1	3	1	NO	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-B06	CH+P	E	GRAD I	4	3	3	2	NO	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-B07	CH+P	NONE	NONE	20	15	11	5	YES	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-B08	CH+P	O	AUSFÜHRUNG	1	1	1	1	NO	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-B09	CH+CH	E+OL	GRAD I · FORTSETZEN	1	1	1	1	NO	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-B10	CH+CH	O	AUSFÜHRUNG	3	2	3	3	NO	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-B11	CH+CH	OR	EINHEIT	2	1	2	1	NO	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-B12	CH+CH	OT	DANACH	1	1	1	1	NO	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-B13	CH+SH	O	AUSFÜHRUNG	1	1	1	1	NO	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-B14	CH+SH	OL+D_ADDR	FORTSETZEN · HIER	1	1	1	1	NO	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-B15	CH+SH	OR	EINHEIT	1	1	1	1	NO	YES	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
