pair_carrier_id	ordered_action_pair	portable_action_trace_de	carrier_neutral_handgrip_de	global_running_event_id	physical_page	register	owner_class	surface	component_recipe	action_component_positions	clause_action_marker_positions	clause_action_order_exact	before_action_atoms	between_action_atoms	after_action_atoms	direct_component_adjacency	frame_atom_trace	frame_value_trace_de	argument_mode	explicit_argument_roots	inherited_argument_root	imperative_clause_de	portable_back_projection_de	roundtrip_exact	working_root_meaning_changed	surface_prediction_made	occurrence_prediction_made	guard
G505-C01	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E0044	f1r	SOURCE_SECTION_T	TEXTBLOCK	cphar	CH+P+AR	1,2	4,38	YES	NONE	NONE	AR	YES	AR	AUSGANG	INHERITED_ARGUMENT	NONE	AIIN	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	NEHMEN · EINSETZEN · AUSGANG	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C02	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E0049	f1r	SOURCE_SECTION_T	TEXTBLOCK	cphoy	CH+P+O+Y	1,2	4,35	YES	NONE	NONE	O+Y	YES	O+Y	AUSFÜHRUNG · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; als Ausführung.	NEHMEN · EINSETZEN · AUSFÜHRUNG · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C03	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E0075	f1r	SOURCE_SECTION_T	TEXTBLOCK	cphey	CH+P+E+Y	1,2	4,35	YES	NONE	NONE	E+Y	YES	E+Y	GRAD I · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; auf Grad I.	NEHMEN · EINSETZEN · GRAD I · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C04	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E0078	f1r	SOURCE_SECTION_T	TEXTBLOCK	cphodal	CH+P+O+D_ADDR+AL	1,2	4,47	YES	NONE	NONE	O+D_ADDR+AL	YES	O+D_ADDR+AL	AUSFÜHRUNG · HIER · ZIELORT	INHERITED_ARGUMENT	NONE	Y	Entnimm den laufenden Eintrag [wie zuvor] und setze den laufenden Eintrag [wie zuvor] ein; zur Zielspalte; als Ausführung; an der bezeichneten Stelle.	NEHMEN · EINSETZEN · AUSFÜHRUNG · HIER · ZIELORT	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C05	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E0091	f1r	SOURCE_SECTION_T	TEXTBLOCK	cphy	CH+P+Y	1,2	4,35	YES	NONE	NONE	Y	YES	Y	POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein.	NEHMEN · EINSETZEN · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C06	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E0140	f1r	SOURCE_SECTION_T	TEXTBLOCK	cphealy	CH+P+E+AL+Y	1,2	4,35	YES	NONE	NONE	E+AL+Y	YES	E+AL+Y	GRAD I · ZIELORT · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; zur Zielspalte; auf Grad I.	NEHMEN · EINSETZEN · GRAD I · ZIELORT · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C07	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E0160	f1r	SOURCE_SECTION_T	TEXTBLOCK	cpho	CH+P+O	1,2	4,13	YES	NONE	NONE	O	YES	O	AUSFÜHRUNG	ARGUMENT_FREE	NONE	NONE	Entnimm und setze ein; als Ausführung.	NEHMEN · EINSETZEN · AUSFÜHRUNG	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C08	CH+CH	NEHMEN → NEHMEN	Nimm das zuvor Genannte zweimal.	G407-E0218	f10r	HERBAL	WURZEL_UND_GANZPFLANZE	chorchy	CH+OR+CH+Y	1,3	1,52	YES	NONE	OR	Y	NO	OR+Y	EINHEIT · POSTEN	EXPLICIT_ARGUMENTS	OR|Y	NONE	Nimm die Arbeitseinheit und den Pflanzenposten und nimm die Arbeitseinheit und den Pflanzenposten.	NEHMEN · EINHEIT · NEHMEN · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C09	P+CH	EINSETZEN → NEHMEN	Setze das zuvor Genannte ein und nimm es.	G407-E0219	f10r	HERBAL	WURZEL_UND_GANZPFLANZE	pchodol	P+CH+O+D_ADDR+OL	1,2	8,53	YES	NONE	NONE	O+D_ADDR+OL	YES	O+D_ADDR+OL	AUSFÜHRUNG · HIER · FORTSETZEN	INHERITED_ARGUMENT	NONE	Y	Weiter setze den Pflanzenposten [wie zuvor] ein und nimm den Pflanzenposten [wie zuvor]; als Ausführung; an der bezeichneten Stelle.	EINSETZEN · NEHMEN · AUSFÜHRUNG · HIER · FORTSETZEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C10	P+CH	EINSETZEN → NEHMEN	Setze das zuvor Genannte ein und nimm es.	G407-E0221	f10r	HERBAL	WURZEL_UND_GANZPFLANZE	ypch	Y+P+CH	2,3	1,34	YES	Y	NONE	NONE	YES	Y	POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Setze den Pflanzenposten ein und nimm den Pflanzenposten.	POSTEN · EINSETZEN · NEHMEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
