model	record	locus	target	reading
D	f21r	f21r.12:7	f21r.12:6	Grad III → f21r.12:6
D	f32v	f32v.8:2	UNBOUND	Grad III → UNBOUND
D	f32v	f32v.8:3	UNBOUND	Grad III → UNBOUND
D	f32v	f32v.8:5	UNBOUND	Grad III → UNBOUND
D	f32v	f32v.9:5	f32v.9:4	Grad III → f32v.9:4
D	f32v	f32v.9:7	f32v.9:6	Grad III → f32v.9:6
D	f32v	f32v.10:5	f32v.10:4	Grad III → f32v.10:4
D	f29v	f29v.1:11	UNBOUND	Grad III → UNBOUND
L	f21r	f21r.12:7	f21r.12:6	drei Portionen → f21r.12:6
L	f32v	f32v.8:2	UNBOUND	drei Portionen → UNBOUND
L	f32v	f32v.8:3	UNBOUND	drei Portionen → UNBOUND
L	f32v	f32v.8:5	UNBOUND	drei Portionen → UNBOUND
L	f32v	f32v.9:5	f32v.9:4	drei Portionen → f32v.9:4
L	f32v	f32v.9:7	f32v.9:6	drei Portionen → f32v.9:6
L	f32v	f32v.10:5	f32v.10:4	drei Portionen → f32v.10:4
L	f29v	f29v.1:11	UNBOUND	drei Portionen → UNBOUND
