model	record	locus	word	target
D	f17r	f17r.5:2	cthy	f17r:definition
D	f17r	f17r.5:3	chor	f17r:definition
D	f17r	f17r.5:4	shor	f17r:definition
D	f21r	f21r.9:1	okaiin	f21r:definition
D	f21r	f21r.9:8	cthy	f21r:definition
D	f21r	f21r.12:2	chor	f21r:definition
D	f21r	f21r.12:5	chor	f21r:definition
D	f32v	f32v.9:4	chocthy	f32v:definition
D	f32v	f32v.9:6	cthaiin	f32v:definition
D	f32v	f32v.10:3	chor	f32v:definition
D	f29v	f29v.1:2	shor	f29v:definition
D	f29v	f29v.1:7	cthy	f29v:definition
D	f29v	f29v.2:5	cthy	f29v:definition
D	f29v	f29v.4:3	okaiin	f29v:definition
D	f29v	f29v.4:4	cthy	f29v:definition
D	f29v	f29v.4:9	okaiin	f29v:definition
L	f17r	f17r.5:2	cthy	f17r:item1
L	f17r	f17r.5:3	chor	f17r:item2
L	f17r	f17r.5:4	shor	f17r:item3
L	f21r	f21r.9:1	okaiin	f21r:item1
L	f21r	f21r.9:8	cthy	f21r:item2
L	f21r	f21r.12:2	chor	f21r:item3
L	f21r	f21r.12:5	chor	f21r:item4
L	f32v	f32v.9:4	chocthy	f32v:item1
L	f32v	f32v.9:6	cthaiin	f32v:item2
L	f32v	f32v.10:3	chor	f32v:item3
L	f29v	f29v.1:2	shor	f29v:item1
L	f29v	f29v.1:7	cthy	f29v:item2
L	f29v	f29v.2:5	cthy	f29v:item3
L	f29v	f29v.4:3	okaiin	f29v:item4
L	f29v	f29v.4:4	cthy	f29v:item5
L	f29v	f29v.4:9	okaiin	f29v:item6
