record	locus	word	role	target	reading
f17r	f17r.4:1	tcho	OPEN	NA	[tcho]
f17r	f17r.4:2	shol	QUALITY	UNBOUND	feucht → UNBOUND
f17r	f17r.4:3	qokol	OPEN	NA	[qokol]
f17r	f17r.4:4	qor	OPEN	NA	[qor]
f17r	f17r.4:5	olaiin	OPEN	NA	[olaiin]
f17r	f17r.4:6	opydg	OPEN	NA	[opydg]
f17r	f17r.4:7	som	OPEN	NA	[som]
f17r	f17r.4:8	ypchy	OPEN	NA	[ypchy]
f17r	f17r.4:9	ypaim	OPEN	NA	[ypaim]
f17r	f17r.5:1	ychekchy	OPEN	NA	[ychekchy]
f17r	f17r.5:2	cthy	CLASS	f17r:item1	Listenposten: Pflanzenzubereitung
f17r	f17r.5:3	chor	CLASS	f17r:item2	Listenposten: Blütenzubereitung
f17r	f17r.5:4	shor	CLASS	f17r:item3	Listenposten: Fruchtzubereitung
f17r	f17r.5:5	cphor	OPEN	NA	[cphor]
f17r	f17r.5:6	cphaldy	OPEN	NA	[cphaldy]
f17r	f17r.5:7	dair	OPEN	NA	[dair]
f17r	f17r.5:8	cthey	OPEN	NA	[cthey]
f17r	f17r.5:9	qody	OPEN	NA	[qody]
f17r	f17r.6:1	tsho	OPEN	NA	[tsho]
f17r	f17r.6:2	qof	OPEN	NA	[qof]
f17r	f17r.6:3	cho	OPEN	NA	[cho]
f17r	f17r.6:4	qokcheor	OPEN	NA	[qokcheor]
f17r	f17r.6:5	cheteg	OPEN	NA	[cheteg]
f21r	f21r.8:1	fcho	OPEN	NA	[fcho]
f21r	f21r.8:2	kshy	OPEN	NA	[kshy]
f21r	f21r.8:3	otor	OPEN	NA	[otor]
f21r	f21r.8:4	sheol	OPEN	NA	[sheol]
f21r	f21r.8:5	ocphal	OPEN	NA	[ocphal]
f21r	f21r.8:6	opsheas	OPEN	NA	[opsheas]
f21r	f21r.8:7	cthodaiin	OPEN	NA	[cthodaiin]
f21r	f21r.8:8	oty	OPEN	NA	[oty]
f21r	f21r.9:1	okaiin	CLASS	f21r:item1	Listenposten: flüssige Zubereitung
f21r	f21r.9:2	sho	OPEN	NA	[sho]
f21r	f21r.9:3	tshaiin	OPEN	NA	[tshaiin]
f21r	f21r.9:4	chkaiin	OPEN	NA	[chkaiin]
f21r	f21r.9:5	sh	OPEN	NA	[sh]
f21r	f21r.9:6	cthey	OPEN	NA	[cthey]
f21r	f21r.9:7	cthody	OPEN	NA	[cthody]
f21r	f21r.9:8	cthy	CLASS	f21r:item2	Listenposten: Pflanzenzubereitung
f21r	f21r.9:9	s	OPEN	NA	[s]
f21r	f21r.10:1	totchy	OPEN	NA	[totchy]
f21r	f21r.10:2	keor	OPEN	NA	[keor]
f21r	f21r.10:3	chy	OPEN	NA	[chy]
f21r	f21r.10:4	ky	OPEN	NA	[ky]
f21r	f21r.10:5	qotaiin	OPEN	NA	[qotaiin]
f21r	f21r.10:6	qotchol	OPEN	NA	[qotchol]
f21r	f21r.10:7	ty	OPEN	NA	[ty]
f21r	f21r.10:8	ctheey	OPEN	NA	[ctheey]
f21r	f21r.10:9	otaiin	OPEN	NA	[otaiin]
f21r	f21r.11:1	shol	QUALITY	f21r:item2	feucht → f21r:item2
f21r	f21r.11:2	chol	QUALITY	f21r:item2	trocken → f21r:item2
f21r	f21r.11:3	shol	QUALITY	f21r:item2	feucht → f21r:item2
f21r	f21r.11:4	tchol	OPEN	NA	[tchol]
f21r	f21r.11:5	chcthy	OPEN	NA	[chcthy]
f21r	f21r.11:6	otyky	OPEN	NA	[otyky]
f21r	f21r.11:7	shey	OPEN	NA	[shey]
f21r	f21r.11:8	yteol	OPEN	NA	[yteol]
f21r	f21r.11:9	shody	OPEN	NA	[shody]
f21r	f21r.12:1	ykeey	OPEN	NA	[ykeey]
f21r	f21r.12:2	chor	CLASS	f21r:item3	Listenposten: Blütenzubereitung
f21r	f21r.12:3	sheey	OPEN	NA	[sheey]
f21r	f21r.12:4	ysheol	OPEN	NA	[ysheol]
f21r	f21r.12:5	chor	CLASS	f21r:item4	Listenposten: Blütenzubereitung
f21r	f21r.12:6	chol	QUALITY	f21r:item4	trocken → f21r:item4
f21r	f21r.12:7	daiin	VALUE	f21r.12:6	drei Portionen → f21r.12:6
f21r	f21r.12:8	chkaiin	OPEN	NA	[chkaiin]
f32v	f32v.7:1	ksho	OPEN	NA	[ksho]
f32v	f32v.7:2	cphos	OPEN	NA	[cphos]
f32v	f32v.7:3	she	OPEN	NA	[she]
f32v	f32v.7:4	sheaiin	OPEN	NA	[sheaiin]
f32v	f32v.7:5	otshcho	OPEN	NA	[otshcho]
f32v	f32v.7:6	r	OPEN	NA	[r]
f32v	f32v.7:7	dain	OPEN	NA	[dain]
f32v	f32v.7:8	shckhy	OPEN	NA	[shckhy]
f32v	f32v.7:9	s	OPEN	NA	[s]
f32v	f32v.7:10	odan	OPEN	NA	[odan]
f32v	f32v.8:1	otchol	OPEN	NA	[otchol]
f32v	f32v.8:2	daiin	VALUE	UNBOUND	drei Portionen → UNBOUND
f32v	f32v.8:3	daiin	VALUE	UNBOUND	drei Portionen → UNBOUND
f32v	f32v.8:4	ctho	OPEN	NA	[ctho]
f32v	f32v.8:5	daiin	VALUE	UNBOUND	drei Portionen → UNBOUND
f32v	f32v.8:6	qotaiin	OPEN	NA	[qotaiin]
f32v	f32v.8:7	otchy	OPEN	NA	[otchy]
f32v	f32v.8:8	d	OPEN	NA	[d]
f32v	f32v.8:9	shan	OPEN	NA	[shan]
f32v	f32v.9:1	qotchy	OPEN	NA	[qotchy]
f32v	f32v.9:2	cfhy	OPEN	NA	[cfhy]
f32v	f32v.9:3	skey	OPEN	NA	[skey]
f32v	f32v.9:4	chocthy	CLASS	f32v:item1	Listenposten: feine Fraktion
f32v	f32v.9:5	daiin	VALUE	f32v.9:4	drei Portionen → f32v.9:4
f32v	f32v.9:6	cthaiin	CLASS	f32v:item2	Listenposten: grobe Fraktion
f32v	f32v.9:7	daiin	VALUE	f32v.9:6	drei Portionen → f32v.9:6
f32v	f32v.10:1	sho	OPEN	NA	[sho]
f32v	f32v.10:2	keol	OPEN	NA	[keol]
f32v	f32v.10:3	chor	CLASS	f32v:item3	Listenposten: Blütenzubereitung
f32v	f32v.10:4	chol	QUALITY	f32v:item3	trocken → f32v:item3
f32v	f32v.10:5	daiin	VALUE	f32v.10:4	drei Portionen → f32v.10:4
f32v	f32v.10:6	cpho	OPEN	NA	[cpho]
f32v	f32v.10:7	l	OPEN	NA	[l]
f32v	f32v.10:8	cthol	OPEN	NA	[cthol]
f32v	f32v.10:9	da	OPEN	NA	[da]
f32v	f32v.10:10	ar	OPEN	NA	[ar]
f32v	f32v.11:1	ol	OPEN	NA	[ol]
f32v	f32v.11:2	sho	OPEN	NA	[sho]
f32v	f32v.11:3	chy	OPEN	NA	[chy]
f29v	f29v.1:1	kooiin	OPEN	NA	[kooiin]
f29v	f29v.1:2	shor	CLASS	f29v:item1	Listenposten: Fruchtzubereitung
f29v	f29v.1:3	chetchy	OPEN	NA	[chetchy]
f29v	f29v.1:4	ol	OPEN	NA	[ol]
f29v	f29v.1:5	ls	OPEN	NA	[ls]
f29v	f29v.1:6	shytchy	OPEN	NA	[shytchy]
f29v	f29v.1:7	cthy	CLASS	f29v:item2	Listenposten: Pflanzenzubereitung
f29v	f29v.1:8	shy	OPEN	NA	[shy]
f29v	f29v.1:9	cho	OPEN	NA	[cho]
f29v	f29v.1:10	shy	OPEN	NA	[shy]
f29v	f29v.1:11	daiin	VALUE	UNBOUND	drei Portionen → UNBOUND
f29v	f29v.2:1	qotcheaiin	OPEN	NA	[qotcheaiin]
f29v	f29v.2:2	s	OPEN	NA	[s]
f29v	f29v.2:3	chol	QUALITY	f29v:item2	trocken → f29v:item2
f29v	f29v.2:4	chol	QUALITY	f29v:item2	trocken → f29v:item2
f29v	f29v.2:5	cthy	CLASS	f29v:item3	Listenposten: Pflanzenzubereitung
f29v	f29v.2:6	chey	OPEN	NA	[chey]
f29v	f29v.2:7	cthold	OPEN	NA	[cthold]
f29v	f29v.2:8	ytchor	OPEN	NA	[ytchor]
f29v	f29v.2:9	dary	OPEN	NA	[dary]
f29v	f29v.3:1	chol	QUALITY	f29v:item3	trocken → f29v:item3
f29v	f29v.3:2	chol	QUALITY	f29v:item3	trocken → f29v:item3
f29v	f29v.3:3	kor	OPEN	NA	[kor]
f29v	f29v.3:4	shey	OPEN	NA	[shey]
f29v	f29v.3:5	odaiin	OPEN	NA	[odaiin]
f29v	f29v.3:6	qotchy	OPEN	NA	[qotchy]
f29v	f29v.3:7	taiin	OPEN	NA	[taiin]
f29v	f29v.3:8	s	OPEN	NA	[s]
f29v	f29v.3:9	she	OPEN	NA	[she]
f29v	f29v.3:10	otey	OPEN	NA	[otey]
f29v	f29v.3:11	sy	OPEN	NA	[sy]
f29v	f29v.4:1	ysho	OPEN	NA	[ysho]
f29v	f29v.4:2	otshy	OPEN	NA	[otshy]
f29v	f29v.4:3	okaiin	CLASS	f29v:item4	Listenposten: flüssige Zubereitung
f29v	f29v.4:4	cthy	CLASS	f29v:item5	Listenposten: Pflanzenzubereitung
f29v	f29v.4:5	oltchy	OPEN	NA	[oltchy]
f29v	f29v.4:6	s	OPEN	NA	[s]
f29v	f29v.4:7	shot	OPEN	NA	[shot]
f29v	f29v.4:8	sho	OPEN	NA	[sho]
f29v	f29v.4:9	okaiin	CLASS	f29v:item6	Listenposten: flüssige Zubereitung
