exercise_id	register	renderer_id	workshop_hand	hand_habit	ordinary_source_command_de	source_master_cards	visible_copy	recovered_master_cards	card_roundtrip	recovered_source_command_de
X01	HERBAL_ARTICLE	R-A	VORLAGENHAND	master head	Aus der Quelle einen Teil abteilen, den Posten ansetzen und nach Sollmaß bemessen.	char chety choky aiin	char chety choky aiin	char chety choky aiin	PASS	Aus der Quelle einen Teil abteilen, den Posten ansetzen und nach Sollmaß bemessen.
X01	HERBAL_ARTICLE	R-B	Q-EINTRITTSHAND	prefer a registered q entry	Aus der Quelle einen Teil abteilen, den Posten ansetzen und nach Sollmaß bemessen.	char chety choky aiin	char chety qoky aiin	char chety choky aiin	PASS	Aus der Quelle einen Teil abteilen, den Posten ansetzen und nach Sollmaß bemessen.
X01	HERBAL_ARTICLE	R-C	S-FLUSSHAND	prefer a registered sh or s continuation	Aus der Quelle einen Teil abteilen, den Posten ansetzen und nach Sollmaß bemessen.	char chety choky aiin	sar chety choky saiin	char chety choky aiin	PASS	Aus der Quelle einen Teil abteilen, den Posten ansetzen und nach Sollmaß bemessen.
X01	HERBAL_ARTICLE	R-D	KURZHAND	prefer the shortest registered surface	Aus der Quelle einen Teil abteilen, den Posten ansetzen und nach Sollmaß bemessen.	char chety choky aiin	dar chty oky aiin	char chety choky aiin	PASS	Aus der Quelle einen Teil abteilen, den Posten ansetzen und nach Sollmaß bemessen.
X02	HERBAL_ARTICLE	R-A	VORLAGENHAND	master head	Den Ansatz bereit halten und den Posten nach Sollmaß führen.	checthy chor chey aiin	checthy chor chey aiin	checthy chor chey aiin	PASS	Den Ansatz bereit halten und den Posten nach Sollmaß führen.
X02	HERBAL_ARTICLE	R-B	Q-EINTRITTSHAND	prefer a registered q entry	Den Ansatz bereit halten und den Posten nach Sollmaß führen.	checthy chor chey aiin	checthy chor chey aiin	checthy chor chey aiin	PASS	Den Ansatz bereit halten und den Posten nach Sollmaß führen.
X02	HERBAL_ARTICLE	R-C	S-FLUSSHAND	prefer a registered sh or s continuation	Den Ansatz bereit halten und den Posten nach Sollmaß führen.	checthy chor chey aiin	shcthy shor shy saiin	checthy chor chey aiin	PASS	Den Ansatz bereit halten und den Posten nach Sollmaß führen.
X02	HERBAL_ARTICLE	R-D	KURZHAND	prefer the shortest registered surface	Den Ansatz bereit halten und den Posten nach Sollmaß führen.	checthy chor chey aiin	cthy or y aiin	checthy chor chey aiin	PASS	Den Ansatz bereit halten und den Posten nach Sollmaß führen.
X03	HERBAL_ARTICLE	R-A	VORLAGENHAND	master head	Den Ansatz und diesen Posten nach Sollmaß übernehmen.	chor chey aiin	chor chey aiin	chor chey aiin	PASS	Den Ansatz und diesen Posten nach Sollmaß übernehmen.
X03	HERBAL_ARTICLE	R-B	Q-EINTRITTSHAND	prefer a registered q entry	Den Ansatz und diesen Posten nach Sollmaß übernehmen.	chor chey aiin	chor chey aiin	chor chey aiin	PASS	Den Ansatz und diesen Posten nach Sollmaß übernehmen.
