exercise_id	register	ordinary_source_command_de	master_card_sequence	distinct_visible_copies	all_four_roundtrip	visible_copy_set
X01	HERBAL_ARTICLE	Aus der Quelle einen Teil abteilen, den Posten ansetzen und nach Sollmaß bemessen.	char chety choky aiin	4	PASS	char chety choky aiin || char chety qoky aiin || dar chty oky aiin || sar chety choky saiin
X02	HERBAL_ARTICLE	Den Ansatz bereit halten und den Posten nach Sollmaß führen.	checthy chor chey aiin	3	PASS	checthy chor chey aiin || cthy or y aiin || shcthy shor shy saiin
X03	HERBAL_ARTICLE	Den Ansatz und diesen Posten nach Sollmaß übernehmen.	chor chey aiin	3	PASS	chor chey aiin || or y aiin || shor shy saiin
X04	HERBAL_ARTICLE	Das Sollmaß vorgeben, am Ziel ansetzen und den Ansatz übernehmen.	aiin okal chor chey	4	PASS	aiin okal chor chey || aiin okal or y || aiin qokal chor chey || saiin okal shor shy
X05	HERBAL_ARTICLE	Danach den nächsten Posten ansetzen, nach Sollmaß und zum Ziel.	otchey choky aiin al	4	PASS	otchey choky aiin al || otchey choky saiin sal || otchey oky aiin al || otchey qoky aiin al
X06	BOTH	Zwei Posten unter dasselbe Sollmaß stellen.	chey aiin chey	3	PASS	chey aiin chey || shy saiin shy || y aiin y
X07	BOTH	Den vorigen Ansatz im fortgesetzten Arbeitsgang mitführen.	cheol cholor cheol	4	PASS	cheol cholor cheol || ol olor ol || qol cholor qol || sol cholor sol
X08	BIOLOGICAL_CELL	Sollmaß einstellen, aus der Quelle zum Ziel führen, bereit halten und schließen.	okaiin char al checthy oldy	4	PASS	okaiin char al checthy oldy || okaiin dar al cthy oldy || okaiin sar sal shcthy oldy || qokaiin char al checthy oldy
X09	BIOLOGICAL_CELL	Umsetzen, danach den nächsten Posten ansetzen und weiterführen.	chdy otchey choky cheol	4	PASS	chdy otchey choky cheol || chdy otchey choky sol || chdy otchey oky ol || chdy otchey qoky qol
X10	BIOLOGICAL_CELL	Ziel und Sollmaß übernehmen, dann das Sollmaß einstellen.	al aiin okaiin	3	PASS	al aiin okaiin || al aiin qokaiin || sal saiin okaiin
X11	BIOLOGICAL_CELL	Den Posten ansetzen, bis zum Ergebnis führen und schließen.	choky cheey oldy	4	PASS	choky cheey oldy || choky shey oldy || oky shey oldy || qoky cheey oldy
X12	BIOLOGICAL_CELL	Sollmaß einstellen, am Ziel aus der Quelle ansetzen und nach Sollmaß weiterführen.	okaiin okal char cheol aiin	4	PASS	okaiin okal char cheol aiin || okaiin okal dar ol aiin || okaiin okal sar sol saiin || qokaiin qokal char qol aiin
