exercise_id	renderer_id	token_position	source_master_card	selected_visible_surface	recovered_master_card	selection_reason	token_roundtrip
X01	R-A	1	char	char	char	master head	PASS
X01	R-A	2	chety	chety	chety	master head	PASS
X01	R-A	3	choky	choky	choky	master head	PASS
X01	R-A	4	aiin	aiin	aiin	master head	PASS
X01	R-B	1	char	char	char	prefer a registered q entry	PASS
X01	R-B	2	chety	chety	chety	prefer a registered q entry	PASS
X01	R-B	3	choky	qoky	choky	prefer a registered q entry	PASS
X01	R-B	4	aiin	aiin	aiin	prefer a registered q entry	PASS
X01	R-C	1	char	sar	char	prefer a registered sh or s continuation	PASS
X01	R-C	2	chety	chety	chety	prefer a registered sh or s continuation	PASS
X01	R-C	3	choky	choky	choky	prefer a registered sh or s continuation	PASS
X01	R-C	4	aiin	saiin	aiin	prefer a registered sh or s continuation	PASS
X01	R-D	1	char	dar	char	prefer the shortest registered surface	PASS
X01	R-D	2	chety	chty	chety	prefer the shortest registered surface	PASS
X01	R-D	3	choky	oky	choky	prefer the shortest registered surface	PASS
X01	R-D	4	aiin	aiin	aiin	prefer the shortest registered surface	PASS
X02	R-A	1	checthy	checthy	checthy	master head	PASS
X02	R-A	2	chor	chor	chor	master head	PASS
X02	R-A	3	chey	chey	chey	master head	PASS
X02	R-A	4	aiin	aiin	aiin	master head	PASS
X02	R-B	1	checthy	checthy	checthy	prefer a registered q entry	PASS
X02	R-B	2	chor	chor	chor	prefer a registered q entry	PASS
X02	R-B	3	chey	chey	chey	prefer a registered q entry	PASS
X02	R-B	4	aiin	aiin	aiin	prefer a registered q entry	PASS
X02	R-C	1	checthy	shcthy	checthy	prefer a registered sh or s continuation	PASS
X02	R-C	2	chor	shor	chor	prefer a registered sh or s continuation	PASS
X02	R-C	3	chey	shy	chey	prefer a registered sh or s continuation	PASS
X02	R-C	4	aiin	saiin	aiin	prefer a registered sh or s continuation	PASS
X02	R-D	1	checthy	cthy	checthy	prefer the shortest registered surface	PASS
X02	R-D	2	chor	or	chor	prefer the shortest registered surface	PASS
X02	R-D	3	chey	y	chey	prefer the shortest registered surface	PASS
X02	R-D	4	aiin	aiin	aiin	prefer the shortest registered surface	PASS
X03	R-A	1	chor	chor	chor	master head	PASS
X03	R-A	2	chey	chey	chey	master head	PASS
X03	R-A	3	aiin	aiin	aiin	master head	PASS
X03	R-B	1	chor	chor	chor	prefer a registered q entry	PASS
X03	R-B	2	chey	chey	chey	prefer a registered q entry	PASS
X03	R-B	3	aiin	aiin	aiin	prefer a registered q entry	PASS
X03	R-C	1	chor	shor	chor	prefer a registered sh or s continuation	PASS
X03	R-C	2	chey	shy	chey	prefer a registered sh or s continuation	PASS
X03	R-C	3	aiin	saiin	aiin	prefer a registered sh or s continuation	PASS
X03	R-D	1	chor	or	chor	prefer the shortest registered surface	PASS
X03	R-D	2	chey	y	chey	prefer the shortest registered surface	PASS
X03	R-D	3	aiin	aiin	aiin	prefer the shortest registered surface	PASS
X04	R-A	1	aiin	aiin	aiin	master head	PASS
X04	R-A	2	okal	okal	okal	master head	PASS
X04	R-A	3	chor	chor	chor	master head	PASS
X04	R-A	4	chey	chey	chey	master head	PASS
X04	R-B	1	aiin	aiin	aiin	prefer a registered q entry	PASS
X04	R-B	2	okal	qokal	okal	prefer a registered q entry	PASS
X04	R-B	3	chor	chor	chor	prefer a registered q entry	PASS
X04	R-B	4	chey	chey	chey	prefer a registered q entry	PASS
X04	R-C	1	aiin	saiin	aiin	prefer a registered sh or s continuation	PASS
X04	R-C	2	okal	okal	okal	prefer a registered sh or s continuation	PASS
X04	R-C	3	chor	shor	chor	prefer a registered sh or s continuation	PASS
X04	R-C	4	chey	shy	chey	prefer a registered sh or s continuation	PASS
X04	R-D	1	aiin	aiin	aiin	prefer the shortest registered surface	PASS
X04	R-D	2	okal	okal	okal	prefer the shortest registered surface	PASS
X04	R-D	3	chor	or	chor	prefer the shortest registered surface	PASS
X04	R-D	4	chey	y	chey	prefer the shortest registered surface	PASS
X05	R-A	1	otchey	otchey	otchey	master head	PASS
X05	R-A	2	choky	choky	choky	master head	PASS
