root_ordinal	root	structural_category	working_value_de	coordinate_recast_de	instruction_recast_de	catalogue_recast_de	coordinate_nominalization_cost	instruction_direct_cost	catalogue_nominalization_cost	semantic_change
1	Y	ARGUMENT	POSTEN	Postenposition	den Posten	Postenangabe	0	0	0	NO__GRAMMATICAL_RECAST_ONLY
2	OK	HANDLUNG	SETZEN	Setzpunkt	setze	Setzvermerk	1	0	1	NO__GRAMMATICAL_RECAST_ONLY
3	OL	REIHENFOLGE	FORTSETZEN	Fortsetzungsrichtung	weiter	Fortsetzungsvermerk	0	0	0	NO__GRAMMATICAL_RECAST_ONLY
4	OT	REIHENFOLGE	DANACH	Folgestelle	danach	Folgevermerk	0	0	0	NO__GRAMMATICAL_RECAST_ONLY
5	AL	BEZIEHUNG	ZIELORT	Zieladresse	zum Zielort	Zielzuordnung	0	0	0	NO__GRAMMATICAL_RECAST_ONLY
6	CH	HANDLUNG	NEHMEN	Entnahmepunkt	nimm	Entnahmevermerk	1	0	1	NO__GRAMMATICAL_RECAST_ONLY
7	SH	HANDLUNG	HALTEN	Haltepunkt	halte	Haltevermerk	1	0	1	NO__GRAMMATICAL_RECAST_ONLY
8	AR	BEZIEHUNG	AUSGANG	Ausgangsadresse	vom Ausgang	Ausgangszuordnung	0	0	0	NO__GRAMMATICAL_RECAST_ONLY
9	K	HANDLUNG	GEBEN	Zuweisepunkt	gib/ordne zu	Zuweisungsvermerk	1	0	1	NO__GRAMMATICAL_RECAST_ONLY
10	AIIN	ARGUMENT	WERT	Wertposition	den Wert	Wertangabe	0	0	0	NO__GRAMMATICAL_RECAST_ONLY
11	S	HANDLUNG	WÄHLEN	Auswahlpunkt	wähle	Auswahlvermerk	1	0	1	NO__GRAMMATICAL_RECAST_ONLY
12	CHD	HANDLUNG	BEARBEITEN	Bearbeitungsstelle	bearbeite	Bearbeitungsvermerk	1	0	1	NO__GRAMMATICAL_RECAST_ONLY
13	OR	ARGUMENT	EINHEIT	Einheitsposition	die Einheit	Einheitsangabe	0	0	0	NO__GRAMMATICAL_RECAST_ONLY
14	L	BEZIEHUNG	VERBINDUNG	Verbindungsadresse	über die Verbindung	Verbindungsvermerk	0	0	0	NO__GRAMMATICAL_RECAST_ONLY
15	T	HANDLUNG	EINSTELLEN	Einstellpunkt	stelle ein	Einstellvermerk	1	0	1	NO__GRAMMATICAL_RECAST_ONLY
16	AIN	ARGUMENT	ANTEIL	Anteilsposition	den Anteil	Anteilsangabe	0	0	0	NO__GRAMMATICAL_RECAST_ONLY
17	R	HANDLUNG	MARKIEREN	Marke	markiere	Markierungsvermerk	1	0	1	NO__GRAMMATICAL_RECAST_ONLY
18	P	HANDLUNG	EINSETZEN	Einsatzstelle	setze ein	Einsatzvermerk	1	0	1	NO__GRAMMATICAL_RECAST_ONLY
19	AIR	BEZIEHUNG	BAHN	Bahnadresse	entlang der Bahn	Bahnvermerk	0	0	0	NO__GRAMMATICAL_RECAST_ONLY
