bundle_id	bundle_ordinal	physical_page	register	locus	owner_de	event_count	source_event_ids	surface_sequence	recipe_sequence	literal_working_reading_de	learned_name_event_count	explicit_action_root_count	coordinate_repair_count	instruction_repair_count	catalogue_repair_count	best_models	selected_model	selection_reason	coordinate_bundle_reading_de	instruction_bundle_reading_de	catalogue_bundle_reading_de	selected_bundle_reading_de	claim_status
G474-B001	1	f17r	HERBAL	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	2	P1003-E0079|P1003-E0080	oteeeon|oiil	OT / NONE	DANACH · [PFLANZENNAME:eeeon] / [PFLANZENNAME:oiil]	2	0	0	2	0	COORDINATE|CATALOGUE	CATALOGUE	VISIBLE_NAME_BREAKS_TIE_TO_CATALOGUE	1. Adressspur: danach → Pflanzenname »eeeon«. 2. Adressspur: Pflanzenname »oiil«.	1. Danach beziehe den Pflanzeneintrag »eeeon«. 2. Verwende den Pflanzeneintrag »oiil«.	1. Pflanzenname »eeeon« — Folgevermerk. 2. Pflanzenname »oiil«.	1. Pflanzenname »eeeon« — Folgevermerk. 2. Pflanzenname »oiil«.	EXPLORATORY_GRAMMATICAL_RECAST__ROOTS_AND_NAMES_UNCHANGED
G474-B002	2	f71v	CELESTIAL	f71v.2	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	2	P1003-E0595|P1003-E0596	char|arom	AR / AR	AUSGANG / AUSGANG · [STERNSTELLENNAME:om]	1	0	0	2	0	COORDINATE|CATALOGUE	CATALOGUE	VISIBLE_NAME_BREAKS_TIE_TO_CATALOGUE	1. Adressspur: Ausgangsposition. 2. Adressspur: Ausgangsposition → Sternstelle »om«.	1. Beziehe den Eintrag von der Ausgangsposition. 2. Beziehe den Sternstelleneintrag »om« von der Ausgangsposition.	1. Eintrag »char« — Ausgangszuordnung. 2. Sternstelle »om« — Ausgangszuordnung.	1. Eintrag »char« — Ausgangszuordnung. 2. Sternstelle »om« — Ausgangszuordnung.	EXPLORATORY_GRAMMATICAL_RECAST__ROOTS_AND_NAMES_UNCHANGED
G474-B003	3	f71v	CELESTIAL	f71v.3	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	1	P1003-E0597	chfaly	AL+Y	[STERNSTELLENNAME:chf] · ZIELORT · POSTEN	1	0	0	1	0	COORDINATE|CATALOGUE	CATALOGUE	VISIBLE_NAME_BREAKS_TIE_TO_CATALOGUE	Adressspur: Sternstelle »chf« → Zielposition → Positionsposten.	Beziehe den Sternstelleneintrag »chf« und den Positionsposten zur Zielposition.	Sternstelle »chf« — Zielzuordnung, Postenangabe.	Sternstelle »chf« — Zielzuordnung, Postenangabe.	EXPLORATORY_GRAMMATICAL_RECAST__ROOTS_AND_NAMES_UNCHANGED
G474-B004	4	f71v	CELESTIAL	f71v.4	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	1	P1003-E0598	okolar	OK+OL+AR	SETZEN · FORTSETZEN · AUSGANG	0	1	1	0	2	INSTRUCTION	INSTRUCTION	UNIQUE_LOWEST_REPAIR	Adressspur: Setzpunkt → weiter → Ausgangsposition.	Weiter setze den Eintrag von der Ausgangsposition.	Eintrag »okolar« — Setzvermerk, Fortsetzungsvermerk, Ausgangszuordnung.	Weiter setze den Eintrag von der Ausgangsposition.	EXPLORATORY_GRAMMATICAL_RECAST__ROOTS_AND_NAMES_UNCHANGED
G474-B005	5	f71v	CELESTIAL	f71v.5	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	1	P1003-E0599	otchody	OT	DANACH · [STERNSTELLENNAME:chody]	1	0	0	1	0	COORDINATE|CATALOGUE	CATALOGUE	VISIBLE_NAME_BREAKS_TIE_TO_CATALOGUE	Adressspur: danach → Sternstelle »chody«.	Danach beziehe den Sternstelleneintrag »chody«.	Sternstelle »chody« — Folgevermerk.	Sternstelle »chody« — Folgevermerk.	EXPLORATORY_GRAMMATICAL_RECAST__ROOTS_AND_NAMES_UNCHANGED
G474-B006	6	f71v	CELESTIAL	f71v.6	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	1	P1003-E0600	alcphy	AL+CH+P+Y	ZIELORT · NEHMEN · EINSETZEN · POSTEN	0	2	2	0	3	INSTRUCTION	INSTRUCTION	UNIQUE_LOWEST_REPAIR	Adressspur: Zielposition → Entnahmepunkt → Einsatzstelle → Positionsposten.	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	Eintrag »alcphy« — Zielzuordnung, Entnahmevermerk, Einsatzvermerk, Postenangabe.	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	EXPLORATORY_GRAMMATICAL_RECAST__ROOTS_AND_NAMES_UNCHANGED
G474-B007	7	f71v	CELESTIAL	f71v.7	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	1	P1003-E0601	otaiin	OT+AIIN	DANACH · WERT	0	0	0	1	1	COORDINATE	COORDINATE	UNIQUE_LOWEST_REPAIR	Adressspur: danach → Positionswert.	Danach beziehe den Positionswert.	Eintrag »otaiin« — Folgevermerk, Wertangabe.	Adressspur: danach → Positionswert.	EXPLORATORY_GRAMMATICAL_RECAST__ROOTS_AND_NAMES_UNCHANGED
G474-B008	8	f71v	CELESTIAL	f71v.8	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	1	P1003-E0602	okaraiin	OK+AR+AIIN	SETZEN · AUSGANG · WERT	0	1	1	0	2	INSTRUCTION	INSTRUCTION	UNIQUE_LOWEST_REPAIR	Adressspur: Setzpunkt → Ausgangsposition → Positionswert.	Setze den Positionswert von der Ausgangsposition.	Eintrag »okaraiin« — Setzvermerk, Ausgangszuordnung, Wertangabe.	Setze den Positionswert von der Ausgangsposition.	EXPLORATORY_GRAMMATICAL_RECAST__ROOTS_AND_NAMES_UNCHANGED
G474-B009	9	f71v	CELESTIAL	f71v.9	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	3	P1003-E0603|P1003-E0604|P1003-E0605	otar|ar|aly	OT+AR / AR / AL+Y	DANACH · AUSGANG / AUSGANG / ZIELORT · POSTEN	0	0	0	3	3	COORDINATE	COORDINATE	UNIQUE_LOWEST_REPAIR	1. Adressspur: danach → Ausgangsposition. 2. Adressspur: Ausgangsposition. 3. Adressspur: Zielposition → Positionsposten.	1. Danach beziehe den Eintrag von der Ausgangsposition. 2. Beziehe den Eintrag von der Ausgangsposition. 3. Beziehe den Positionsposten zur Zielposition.	1. Eintrag »otar« — Folgevermerk, Ausgangszuordnung. 2. Eintrag »ar« — Ausgangszuordnung. 3. Eintrag »aly« — Zielzuordnung, Postenangabe.	1. Adressspur: danach → Ausgangsposition. 2. Adressspur: Ausgangsposition. 3. Adressspur: Zielposition → Positionsposten.	EXPLORATORY_GRAMMATICAL_RECAST__ROOTS_AND_NAMES_UNCHANGED
G474-B010	10	f71v	CELESTIAL	f71v.10	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	3	P1003-E0606|P1003-E0607|P1003-E0608	opalar|am|dan	AL+AR / AM_ADDR / AIN	[STERNSTELLENNAME:op] · ZIELORT · AUSGANG / HIER / ANTEIL	1	0	0	3	1	COORDINATE	COORDINATE	UNIQUE_LOWEST_REPAIR	1. Adressspur: Sternstelle »op« → Zielposition → Ausgangsposition. 2. Adressspur: hier. 3. Adressspur: Sektoranteil.	1. Beziehe den Sternstelleneintrag »op« zur Zielposition und von der Ausgangsposition. 2. Beziehe den Eintrag an der bezeichneten Stelle. 3. Beziehe den Sektoranteil.	1. Sternstelle »op« — Zielzuordnung, Ausgangszuordnung. 2. Eintrag »am« — Hier-Vermerk. 3. Eintrag »dan« — Anteilsangabe.	1. Adressspur: Sternstelle »op« → Zielposition → Ausgangsposition. 2. Adressspur: hier. 3. Adressspur: Sektoranteil.	EXPLORATORY_GRAMMATICAL_RECAST__ROOTS_AND_NAMES_UNCHANGED
