triptych_event_id	bundle_id	event_ordinal_in_bundle	source_event_id	physical_page	register	locus	surface	working_recipe	literal_working_reading_de	coordinate_event_reading_de	instruction_event_reading_de	catalogue_event_reading_de	bundle_selected_model	selected_event_reading_de	component_meaning_change	learned_name_change
G474-E001	G474-B001	1	P1003-E0079	f17r	HERBAL	f17r.13	oteeeon	OT	DANACH · [PFLANZENNAME:eeeon]	Adressspur: danach → Pflanzenname »eeeon«.	Danach beziehe den Pflanzeneintrag »eeeon«.	Pflanzenname »eeeon« — Folgevermerk.	CATALOGUE	Pflanzenname »eeeon« — Folgevermerk.	NO	NO
G474-E002	G474-B001	2	P1003-E0080	f17r	HERBAL	f17r.13	oiil	NONE	[PFLANZENNAME:oiil]	Adressspur: Pflanzenname »oiil«.	Verwende den Pflanzeneintrag »oiil«.	Pflanzenname »oiil«.	CATALOGUE	Pflanzenname »oiil«.	NO	NO
G474-E003	G474-B002	1	P1003-E0595	f71v	CELESTIAL	f71v.2	char	AR	AUSGANG	Adressspur: Ausgangsposition.	Beziehe den Eintrag von der Ausgangsposition.	Eintrag »char« — Ausgangszuordnung.	CATALOGUE	Eintrag »char« — Ausgangszuordnung.	NO	NO
G474-E004	G474-B002	2	P1003-E0596	f71v	CELESTIAL	f71v.2	arom	AR	AUSGANG · [STERNSTELLENNAME:om]	Adressspur: Ausgangsposition → Sternstelle »om«.	Beziehe den Sternstelleneintrag »om« von der Ausgangsposition.	Sternstelle »om« — Ausgangszuordnung.	CATALOGUE	Sternstelle »om« — Ausgangszuordnung.	NO	NO
G474-E005	G474-B003	1	P1003-E0597	f71v	CELESTIAL	f71v.3	chfaly	AL+Y	[STERNSTELLENNAME:chf] · ZIELORT · POSTEN	Adressspur: Sternstelle »chf« → Zielposition → Positionsposten.	Beziehe den Sternstelleneintrag »chf« und den Positionsposten zur Zielposition.	Sternstelle »chf« — Zielzuordnung, Postenangabe.	CATALOGUE	Sternstelle »chf« — Zielzuordnung, Postenangabe.	NO	NO
G474-E006	G474-B004	1	P1003-E0598	f71v	CELESTIAL	f71v.4	okolar	OK+OL+AR	SETZEN · FORTSETZEN · AUSGANG	Adressspur: Setzpunkt → weiter → Ausgangsposition.	Weiter setze den Eintrag von der Ausgangsposition.	Eintrag »okolar« — Setzvermerk, Fortsetzungsvermerk, Ausgangszuordnung.	INSTRUCTION	Weiter setze den Eintrag von der Ausgangsposition.	NO	NO
G474-E007	G474-B005	1	P1003-E0599	f71v	CELESTIAL	f71v.5	otchody	OT	DANACH · [STERNSTELLENNAME:chody]	Adressspur: danach → Sternstelle »chody«.	Danach beziehe den Sternstelleneintrag »chody«.	Sternstelle »chody« — Folgevermerk.	CATALOGUE	Sternstelle »chody« — Folgevermerk.	NO	NO
G474-E008	G474-B006	1	P1003-E0600	f71v	CELESTIAL	f71v.6	alcphy	AL+CH+P+Y	ZIELORT · NEHMEN · EINSETZEN · POSTEN	Adressspur: Zielposition → Entnahmepunkt → Einsatzstelle → Positionsposten.	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	Eintrag »alcphy« — Zielzuordnung, Entnahmevermerk, Einsatzvermerk, Postenangabe.	INSTRUCTION	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	NO	NO
G474-E009	G474-B007	1	P1003-E0601	f71v	CELESTIAL	f71v.7	otaiin	OT+AIIN	DANACH · WERT	Adressspur: danach → Positionswert.	Danach beziehe den Positionswert.	Eintrag »otaiin« — Folgevermerk, Wertangabe.	COORDINATE	Adressspur: danach → Positionswert.	NO	NO
G474-E010	G474-B008	1	P1003-E0602	f71v	CELESTIAL	f71v.8	okaraiin	OK+AR+AIIN	SETZEN · AUSGANG · WERT	Adressspur: Setzpunkt → Ausgangsposition → Positionswert.	Setze den Positionswert von der Ausgangsposition.	Eintrag »okaraiin« — Setzvermerk, Ausgangszuordnung, Wertangabe.	INSTRUCTION	Setze den Positionswert von der Ausgangsposition.	NO	NO
