event_id	page	record	locus	melody_id	melody_slot	wrapper_stamp	final_surface	surface_roundtrip	local_locus_table	free_choice
E008	f10r	H1	f10r.2	RM01	1	Ø	oky	YES	NO	NO
E011	f10r	H1	f10r.5	RM01	2	q	qokchy	YES	NO	NO
E050	f11r	H3	f11r.4	RM02	1	d	dy	YES	NO	NO
E055	f11r	H3	f11r.7	RM02	2	d	dy	YES	NO	NO
E057	f55v	H4	f55v.5	RM03	1	ch	chaiin	YES	NO	NO
E068	f55v	H4	f55v.11	RM03	2	Ø	aiin	YES	NO	NO
E069	f55v	H4	f55v.11	RM03	2	Ø	okal	YES	NO	NO
E072	f55v	H4	f55v.11	RM03	2	Ø	y	YES	NO	NO
E083	f56r	H5	f56r.8	RM04	1	s	schol	YES	NO	NO
E095	f56r	H5	f56r.18	RM04	2	ch	chokchy	YES	NO	NO
E121	f81v	B1	f81v.7	RM05	1	q	qol	YES	NO	NO
E128	f81v	B1	f81v.17	RM05	2	s	shckhy	YES	NO	NO
E142	f81v	B1	f81v.21	RM05	3	q	qokey	YES	NO	NO
E148	f81v	B1	f81v.21	RM05	3	q	qol	YES	NO	NO
E167	f82r	B2	f82r.2	RM06	1	d	dchedy	YES	NO	NO
E170	f82r	B2	f82r.2	RM06	1	d	dy	YES	NO	NO
E190	f82r	B2	f82r.7	RM06	2	s	sotaiin	YES	NO	NO
E200	f82r	B2	f82r.19	RM06	3	Ø	okain	YES	NO	NO
E242	f83r	B3	f83r.6	RM07	1	Ø	olchedy	YES	NO	NO
E283	f83r	B3	f83r.16	RM07	2	t	tchedy	YES	NO	NO
E291	f83r	B3	f83r.20	RM07	3	s	solkeedy	YES	NO	NO
E299	f83r	B3	f83r.20	RM07	3	s	saiin	YES	NO	NO
E320	f83r	B4	f83r.25	RM08	1	Ø	otal	YES	NO	NO
E324	f83r	B4	f83r.26	RM08	2	t	tol	YES	NO	NO
E342	f83r	B4	f83r.35	RM08	3	ch	chdy	YES	NO	NO
E358	f83r	B4	f83r.41	RM08	4	q	qolkain	YES	NO	NO
E377	f83r	B6	f83r.54	RM09	1	d	daiin	YES	NO	NO
