melody_id	slot	record_sheet_index	record	page	locus	wrapper_stamp	events_at_slot	instruction
RM01	1	1	H1	f10r	f10r.2	Ø	1	WRITE_BARE_FOR_THIS_LOCUS
RM01	2	2	H1	f10r	f10r.5	q	1	WRITE_Q_FOR_THIS_LOCUS
RM02	1	1	H3	f11r	f11r.4	d	1	WRITE_D_FOR_THIS_LOCUS
RM02	2	2	H3	f11r	f11r.7	d	1	WRITE_D_FOR_THIS_LOCUS
RM03	1	1	H4	f55v	f55v.5	ch	1	WRITE_CH_FOR_THIS_LOCUS
RM03	2	2	H4	f55v	f55v.11	Ø	3	WRITE_BARE_FOR_THIS_LOCUS
RM04	1	1	H5	f56r	f56r.8	s	1	WRITE_S_FOR_THIS_LOCUS
RM04	2	2	H5	f56r	f56r.18	ch	1	WRITE_CH_FOR_THIS_LOCUS
RM05	1	5	B1	f81v	f81v.7	q	1	WRITE_Q_FOR_THIS_LOCUS
RM05	2	6	B1	f81v	f81v.17	s	1	WRITE_S_FOR_THIS_LOCUS
RM05	3	7	B1	f81v	f81v.21	q	2	WRITE_Q_FOR_THIS_LOCUS
RM06	1	1	B2	f82r	f82r.2	d	2	WRITE_D_FOR_THIS_LOCUS
RM06	2	3	B2	f82r	f82r.7	s	1	WRITE_S_FOR_THIS_LOCUS
RM06	3	4	B2	f82r	f82r.19	Ø	1	WRITE_BARE_FOR_THIS_LOCUS
RM07	1	1	B3	f83r	f83r.6	Ø	1	WRITE_BARE_FOR_THIS_LOCUS
RM07	2	11	B3	f83r	f83r.16	t	1	WRITE_T_FOR_THIS_LOCUS
RM07	3	12	B3	f83r	f83r.20	s	2	WRITE_S_FOR_THIS_LOCUS
RM08	1	1	B4	f83r	f83r.25	Ø	1	WRITE_BARE_FOR_THIS_LOCUS
RM08	2	2	B4	f83r	f83r.26	t	1	WRITE_T_FOR_THIS_LOCUS
RM08	3	3	B4	f83r	f83r.35	ch	1	WRITE_CH_FOR_THIS_LOCUS
RM08	4	4	B4	f83r	f83r.41	q	1	WRITE_Q_FOR_THIS_LOCUS
RM09	1	1	B6	f83r	f83r.54	d	1	WRITE_D_FOR_THIS_LOCUS
