surface	default_de	rival_1_de	rival_2_de	confidence_0_100_not_probability	confidence_label	lineage_sources	lineage_decision
dal	Material I, abgemessen	Rohdrogenposten	Mengen-/Wertfeld I	72	C1_PROVENANCE_BOUND_COMPLETE_WHOLE	GDT653|GDT655|GDT711|GDT712|GDT764	RETAIN_SHORT_WHOLE_READING_VALUE_AXIS_OPEN
chdal	trockenes Material I, abgemessen; Anfangsstufe	trockener Drogenposten	Trockenfeld der Anfangsstufe	64	C1_AXIS_C0_CARRIER_WHOLE	GDT655|GDT711|GDT712	RETAIN_FORM_SPECIFIC_WHOLE_NO_COMPONENT_EXPORT
chedal	trockenes Material I, abgemessen; Mittelstufe	eingedickter Drogenposten	Trockenfeld der Mittelstufe	66	C1_AXIS_C0_CARRIER_WHOLE	GDT655|GDT711|GDT712	RETAIN_FORM_SPECIFIC_WHOLE_NO_COMPONENT_EXPORT
shdal	feuchtes Material I, abgemessen; Anfangsstufe	eingeweichter Drogenposten	Feuchtefeld der Anfangsstufe	46	C1_AXIS_C0_CARRIER_WHOLE	GDT655|GDT711|GDT712	RETAIN_FORM_SPECIFIC_WHOLE_NO_COMPONENT_EXPORT
shedal	feuchtes Material I, abgemessen; Mittelstufe	mazerierter Drogenposten	Feuchtefeld der Mittelstufe	46	C1_AXIS_C0_CARRIER_WHOLE	GDT655|GDT711|GDT712	RETAIN_FORM_SPECIFIC_WHOLE_NO_COMPONENT_EXPORT
odal	Materialansatz I, abgemessen	Ansatzportion I	fertige Zubereitung I	52	C0_INHERITED_WHOLE	GDT655|GDT711|GDT712	RETAIN_AS_REPLACEABLE_WHOLE
qodal	abgemessener Materialposten I	Ansatzportion I	Mengen-/Wertfeld I	48	C0_INHERITED_WHOLE	GDT655|GDT711|GDT712	RETAIN_AS_REPLACEABLE_WHOLE
daiidal	Material I, abgemessen; Wert III	drei Maße Material I	Materialklasse III	34	C0_INHERITED_WHOLE	GDT655|GDT711|GDT712	RETAIN_AS_REPLACEABLE_WHOLE
oldal	Material I, abgemessen	Drogenstoffportion I	aufbereiteter Materialposten	34	C0_INHERITED_WHOLE	GDT655|GDT711|GDT712	RETAIN_AS_REPLACEABLE_WHOLE
saldal	abgemessene Rohdroge	benannte abgemessene Drogenform	abgemessenes Rohsalz	60	C1_FORM_SPECIFIC_WHOLE	GDT786	RETAIN_GDT786_WHOLE_ONLY
sodal	abgemessener Materialansatz I	aufbereitete Materialcharge I	Materialportion I	28	C0_REPAIRED_WHOLE	GDT655|GDT711|GDT712	REPAIRED_COMPLETE_WHOLE_C0
lchdal	trockenes Material I, abgemessen	trockener Drogenposten	Trocken-/Mengenfeld I	26	C0_REPAIRED_WHOLE	GDT737	RETIRED_PATIENT_REMOVED_COMPLETE_WHOLE_C0
dsheedal	feuchtes Material I, abgemessen; Endstufe	vollständig mazerierte Droge	Feuchte-/Wertfeld I	22	C0_REPAIRED_WHOLE	GDT734|GDT754	REPAIRED_COMPLETE_WHOLE_C0
okeedal	erhitztes Material I, abgemessen	eingekochter Arzneiansatz	Wärme-/Endstufenfeld I	36	C0_REPAIRED_WHOLE	GDT734|GDT754	REPAIRED_COMPLETE_WHOLE_C0
qotedal	gekühltes Material I, abgemessen; Mittelstufe	abgekühlte Zubereitung	Kälte-/Mittelstufenfeld I	28	C0_REPAIRED_WHOLE	GDT734|GDT754	REPAIRED_COMPLETE_WHOLE_C0
tcheodal	gekühltes Trockenmaterial I, abgemessen	getrocknete Fertigzubereitung	Kälte-/Trockenfeld I	22	C0_REPAIRED_WHOLE	GDT734|GDT754	REPAIRED_COMPLETE_WHOLE_C0
cheodal	trockenes Ansatzmaterial I, abgemessen	eingedickter Arzneiextrakt	Trocken-/Mengenfeld I	44	C0_WHOLE_ANALOGY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT
