metric	value	guard
status	PASS_ALL_12_INSTANCE_MODE_DISJOINTS_NORMALIZED__FOUR_CONTEXT_RESTS_CLOSED__FIVE_INTERFACES_REMAIN	GDT551_REPLAYED_METRIC
reader_surface_count	145	GDT551_REPLAYED_METRIC
slot_contract_class_count	4	GDT551_REPLAYED_METRIC
fragment_anchor_card_count	81	GDT551_REPLAYED_METRIC
anchor_and_target_mode_contract_feasible_count	81	GDT551_REPLAYED_METRIC
disjoint_instance_mode_card_count	12	GDT551_REPLAYED_METRIC
disjoint_identical_contract_count	11	GDT551_REPLAYED_METRIC
disjoint_extension_narrowed_contract_count	1	GDT551_REPLAYED_METRIC
disjoint_normalized_count	12	GDT551_REPLAYED_METRIC
previous_context_warning_count	9	GDT551_REPLAYED_METRIC
previous_context_warning_normalized_count	9	GDT551_REPLAYED_METRIC
prior_peer_supported_warning_count	5	GDT551_REPLAYED_METRIC
promoted_context_card_count	4	GDT551_REPLAYED_METRIC
promoted_exact_visible_route_count	4	GDT551_REPLAYED_METRIC
promoted_complete_neutral_meaning_count	4	GDT551_REPLAYED_METRIC
promoted_complete_context_meaning_count	4	GDT551_REPLAYED_METRIC
residual_support_card_count	5	GDT551_REPLAYED_METRIC
residual_anchor_context_count	0	GDT551_REPLAYED_METRIC
residual_direct_interface_count	5	GDT551_REPLAYED_METRIC
new_pages	0	GDT551_REPLAYED_METRIC
recipe_changes	0	GDT551_REPLAYED_METRIC
root_meaning_changes	0	GDT551_REPLAYED_METRIC
