target_ordinal	surface	primary_anchor_recipe	final_recipe	old_anchor_modes	target_modes	old_instance_mode_relation	anchor_contract_signature	full_contract_signature	anchor_allowed_modes	full_allowed_modes	contract_relation	extension_fills_action_slot	extension_fills_argument_slot	anchor_modes_contract_feasible	target_modes_contract_feasible	normalized_context_status	neutral_component_reading_de	known_contextual_readings_de	guard
1	aiicthy	CH+T+Y	AIIN+CH+T+Y	SELF_CONTAINED	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	ACTION_VISIBLE/ARGUMENT_VISIBLE	ACTION_VISIBLE/ARGUMENT_VISIBLE	SELF_CONTAINED	SELF_CONTAINED	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Den Wert und den Posten nehmen und einstellen.	Nimm den Arbeitswert und den Pflanzenposten und stelle den Arbeitswert und den Pflanzenposten ein.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
2	akar	K+AR	A_ADDR+K+AR	REQUIRES_ACTIVE_ARGUMENT	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_EQUAL	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Hier; geben; vom Ausgang.	Ordne die Eintragseinheit [wie zuvor] zu; von der Ausgangszeile; an der bezeichneten Stelle.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
3	alkey	K+E+Y	AL+K+E+Y	SELF_CONTAINED	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	ACTION_VISIBLE/ARGUMENT_VISIBLE	ACTION_VISIBLE/ARGUMENT_VISIBLE	SELF_CONTAINED	SELF_CONTAINED	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Am Zielort; den Posten geben; auf Grad I.	Ordne den laufenden Eintrag zu; zur Zielspalte; auf Grad I.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
5	chady	CH+A_ADDR	CH+A_ADDR+DY	REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED	TARGET_MODE_SET_DISJOINT	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Nehmen; hier; abschließen.	Entnimm; an der bezeichneten Stelle; schließe den Schritt.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
6	chap	CH+A_ADDR	CH+A_ADDR+P	REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED	TARGET_MODE_SET_DISJOINT	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Nehmen und einsetzen; hier.	Entnimm und setze ein; an der bezeichneten Stelle.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
7	chckhedy	K+E+DY	CH+CH+K+E+DY	SELF_CONTAINED	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_DISJOINT	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Nehmen, erneut nehmen und geben; auf Grad I; abschließen.	Entnimm den laufenden Eintrag [wie zuvor], entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I; schließe den Schritt.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
9	chctho	CH+T+O	CH+CH+T+O	REQUIRES_ACTIVE_ARGUMENT	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_EQUAL	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Nehmen, erneut nehmen und einstellen; zur Ausführung.	Entnimm den laufenden Eintrag [wie zuvor], entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; zur Ausführung.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
13	chefchy	CH+E	CH+E+LOCAL_CHAR_F+CH+Y	SELF_CONTAINED	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_VISIBLE	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED	TARGET_CONTRACT_NARROWER_BY_VISIBLE_EXTENSION	NO	YES	YES	YES	NORMALIZED_EXTENSION_FILLS_OPEN_SLOT	Den Posten zweimal nehmen; auf Grad I; hier.	Entnimm den laufenden Eintrag und entnimm den laufenden Eintrag; auf Grad I; an der bezeichneten Stelle.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
16	chekeody	E+O	CH+K+E+O+DY	REQUIRES_ACTIVE_ARGUMENT	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_EQUAL	ACTION_OPEN/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT|REQUIRES_ACTIVE_ACTION|REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	TARGET_CONTRACT_NARROWER_BY_VISIBLE_EXTENSION	YES	NO	YES	YES	NORMALIZED_EXTENSION_FILLS_OPEN_SLOT	Nehmen und geben; auf Grad I; zur Ausführung; abschließen.	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I und zur Ausführung; schließe den Schritt.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
17	cheod	CH+E+O	CH+E+O+D_ADDR	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED	TARGET_MODE_SET_INCLUDED	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Nehmen; auf Grad I; zur Ausführung; hier.	Nimm; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
18	chepakeo	CH+E+P	CH+E+P+A_ADDR+K+E+O	REQUIRES_ACTIVE_ARGUMENT	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_EQUAL	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Nehmen, einsetzen und geben; auf Grad I; hier; erneut auf Grad I; zur Ausführung.	Nimm den Arbeitswert [wie zuvor], setze den Arbeitswert [wie zuvor] ein und gib den Arbeitswert [wie zuvor] zu; auf Grad I [außen], auf Grad I [innen] und zur Ausführung; an der bezeichneten Stelle.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
19	chepos	CH+E+P	CH+E+P+O+S	REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED	TARGET_MODE_SET_DISJOINT	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Nehmen, einsetzen und wählen; auf Grad I; zur Ausführung.	Nimm, setze ein und wähle; auf Grad I und zur Ausführung.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
20	cheta	CH+E	CH+E+T+A_ADDR	SELF_CONTAINED	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Nehmen und einstellen; auf Grad I; hier.	Entnimm und lege fest; auf Grad I; an der bezeichneten Stelle.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
21	choekeey	K+EE+Y	CH+O+E+K+EE+Y	SELF_CONTAINED	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	ACTION_VISIBLE/ARGUMENT_VISIBLE	ACTION_VISIBLE/ARGUMENT_VISIBLE	SELF_CONTAINED	SELF_CONTAINED	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Den Posten nehmen und geben; zur Ausführung; auf Grad I; auf Grad II.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; zur Ausführung, auf Grad I und auf Grad II.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
22	choiin	O+IIN	CH+O+IIN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_INCLUDED	ACTION_OPEN/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT|REQUIRES_ACTIVE_ACTION|REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	TARGET_CONTRACT_NARROWER_BY_VISIBLE_EXTENSION	YES	NO	YES	YES	NORMALIZED_EXTENSION_FILLS_OPEN_SLOT	Nehmen; zur Ausführung; auf der bezeichneten Stufe.	Nimm den Pflanzenposten [wie zuvor]; zur Ausführung und auf der bezeichneten Stufe.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
23	cholpchd	OL+P	OL+P+CHD	REQUIRES_ACTIVE_ARGUMENT	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_EQUAL	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Fortsetzen; einsetzen und bearbeiten.	Setze den laufenden Eintrag [wie zuvor] ein und bearbeite den laufenden Eintrag [wie zuvor]; führe fort.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
24	choraiin	CH+OR	CH+OR+AIIN	SELF_CONTAINED	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	ACTION_VISIBLE/ARGUMENT_VISIBLE	ACTION_VISIBLE/ARGUMENT_VISIBLE	SELF_CONTAINED	SELF_CONTAINED	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Die Einheit und den Wert nehmen.	Nimm die Arbeitseinheit und den Arbeitswert.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
26	chory	CH+OR	CH+OR+Y	SELF_CONTAINED	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	ACTION_VISIBLE/ARGUMENT_VISIBLE	ACTION_VISIBLE/ARGUMENT_VISIBLE	SELF_CONTAINED	SELF_CONTAINED	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Die Einheit und den Posten nehmen.	Nimm die Arbeitseinheit und den Pflanzenposten.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
29	ckhochy	CH+K+O	CH+K+O+CH+Y	SELF_CONTAINED	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_VISIBLE	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED	TARGET_CONTRACT_NARROWER_BY_VISIBLE_EXTENSION	NO	YES	YES	YES	NORMALIZED_EXTENSION_FILLS_OPEN_SLOT	Den Posten nehmen, geben und erneut nehmen; zur Ausführung.	Nimm den Pflanzenposten, gib den Pflanzenposten zu und nimm den Pflanzenposten; zur Ausführung.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
31	cpholdy	CH+P+OL	CH+P+OL+DY	REQUIRES_ACTIVE_ARGUMENT	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_EQUAL	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Nehmen und einsetzen; fortsetzen; abschließen.	Nimm den Pflanzenposten [wie zuvor] und setze den Pflanzenposten [wie zuvor] ein; führe fort; schließe den Schritt.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
33	cthom	CH+T+O	CH+T+O+M_LOCAL	REQUIRES_ACTIVE_ARGUMENT	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_EQUAL	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Nehmen und einstellen; zur Ausführung; hier.	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein; zur Ausführung; an der bezeichneten Stelle.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
35	dairal	D_ADDR+AIR	D_ADDR+AIR+AL	SELF_CONTAINED|REQUIRES_ACTIVE_ACTION|REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	TARGET_MODE_SET_INCLUDED	ACTION_OPEN/ARGUMENT_OPEN	ACTION_OPEN/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT|REQUIRES_ACTIVE_ACTION|REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT|REQUIRES_ACTIVE_ACTION|REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Hier; entlang der Bahn; am Zielort.	Im laufenden Satz entnimm den laufenden Eintrag [wie zuvor]; entlang der Lesebahn und zur Zielspalte; an der bezeichneten Stelle.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
39	dalcheeeky	CH+K	AL+CH+K+EEE+Y	SELF_CONTAINED	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_VISIBLE	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED	TARGET_CONTRACT_NARROWER_BY_VISIBLE_EXTENSION	NO	YES	YES	YES	NORMALIZED_EXTENSION_FILLS_OPEN_SLOT	Am Zielort; den Posten nehmen und geben; auf Grad III.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; zur Zielspalte; auf Grad III.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
40	dalky	K+Y	AL+K+Y	SELF_CONTAINED	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	ACTION_VISIBLE/ARGUMENT_VISIBLE	ACTION_VISIBLE/ARGUMENT_VISIBLE	SELF_CONTAINED	SELF_CONTAINED	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Am Zielort; den Posten geben.	Ordne den laufenden Eintrag zu; zur Zielspalte.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
