target_ordinal	surface	primary_anchor_recipe	final_recipe	old_anchor_modes	target_modes	old_instance_mode_relation	anchor_contract_signature	full_contract_signature	anchor_allowed_modes	full_allowed_modes	contract_relation	extension_fills_action_slot	extension_fills_argument_slot	anchor_modes_contract_feasible	target_modes_contract_feasible	normalized_context_status	neutral_component_reading_de	known_contextual_readings_de	guard
5	chady	CH+A_ADDR	CH+A_ADDR+DY	REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED	TARGET_MODE_SET_DISJOINT	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Nehmen; hier; abschließen.	Entnimm; an der bezeichneten Stelle; schließe den Schritt.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
6	chap	CH+A_ADDR	CH+A_ADDR+P	REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED	TARGET_MODE_SET_DISJOINT	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Nehmen und einsetzen; hier.	Entnimm und setze ein; an der bezeichneten Stelle.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
7	chckhedy	K+E+DY	CH+CH+K+E+DY	SELF_CONTAINED	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_DISJOINT	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Nehmen, erneut nehmen und geben; auf Grad I; abschließen.	Entnimm den laufenden Eintrag [wie zuvor], entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I; schließe den Schritt.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
19	chepos	CH+E+P	CH+E+P+O+S	REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED	TARGET_MODE_SET_DISJOINT	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Nehmen, einsetzen und wählen; auf Grad I; zur Ausführung.	Nimm, setze ein und wähle; auf Grad I und zur Ausführung.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
54	folchol	OL+OL	LOCAL_CHAR_F+OL+OL	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	REQUIRES_ACTIVE_ACTION	TARGET_MODE_SET_DISJOINT	ACTION_OPEN/ARGUMENT_OPEN	ACTION_OPEN/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT|REQUIRES_ACTIVE_ACTION|REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT|REQUIRES_ACTIVE_ACTION|REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Hier; zweimal fortsetzen.	Im laufenden Satz halte; an der bezeichneten Stelle; führe 2-mal fort.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
66	kody	O+DY	K+O+DY	REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED	TARGET_MODE_SET_DISJOINT	ACTION_OPEN/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT|REQUIRES_ACTIVE_ACTION|REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	TARGET_CONTRACT_NARROWER_BY_VISIBLE_EXTENSION	YES	NO	YES	YES	NORMALIZED_EXTENSION_FILLS_OPEN_SLOT	Geben; zur Ausführung; abschließen.	Ordne zu; zur Ausführung; schließe den Schritt.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
88	qoekedy	K+E+DY	CARRIER_Q+O+E+K+E+DY	SELF_CONTAINED	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_DISJOINT	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Mit Beginnmarker; zur Ausführung; auf Grad I; geben; erneut auf Grad I; abschließen.	Gib die Arbeitseinheit [wie zuvor] zu; mit Beginnmarker, zur Ausführung, auf Grad I [außen] und auf Grad I [innen]; schließe den Schritt.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
94	qokshd	OK+SH	OK+SH+D_ADDR	REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED	TARGET_MODE_SET_DISJOINT	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Setzen und halten; hier.	Trage ein und halte fest; an der bezeichneten Stelle.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
98	qoteeod	OT+EE+O	OT+EE+O+D_ADDR	SELF_CONTAINED	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	TARGET_MODE_SET_DISJOINT	ACTION_OPEN/ARGUMENT_OPEN	ACTION_OPEN/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT|REQUIRES_ACTIVE_ACTION|REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT|REQUIRES_ACTIVE_ACTION|REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Danach; auf Grad II; zur Ausführung; hier.	Danach: im laufenden Satz halte den laufenden Eintrag [wie zuvor] fest; auf Grad II und zur Ausführung; an der bezeichneten Stelle.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
101	saiis	S+A_ADDR	S+A_ADDR+IIN+S	REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED	TARGET_MODE_SET_DISJOINT	ACTION_VISIBLE/ARGUMENT_OPEN	ACTION_VISIBLE/ARGUMENT_OPEN	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	IDENTICAL_SLOT_CONTRACT	NO	NO	YES	YES	NORMALIZED_SAME_CONTRACT_DIFFERENT_INCOMING_STATE	Zweimal wählen; hier; auf der bezeichneten Stufe.	Wähle und wähle; auf der bezeichneten Stufe; an der bezeichneten Stelle.	COMPARE_SLOT_CONTRACTS__NOT_SINGLE_OCCURRENCE_INPUT_STATES
