gdt513_recipe_id	component_recipe	event_count	surface_count	surfaces	physical_page_count	physical_pages	registers	record_roles	component_trace_de	best_support_tier	running_recipe_event_count	running_recipe_surface_count	page_private_event_count	meaning_complete_for_every_event	guard
G513-R001	AIIN	7	2	aiin|daiin	3	f67r2|f69v|f70v	CELESTIAL	COORDINATE_OR_CATALOGUE_CARD	WERT	A_EXACT_RUNNING_SURFACE_RECIPE	155	2	0	YES	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-R002	AIN+Y	1	1	dainy	1	f75r	BIOLOGICAL	COORDINATE_OR_CATALOGUE_CARD	ANTEIL · POSTEN	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	1	YES	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-R003	AIR	3	1	air	3	f67r2|f69v|f70v	CELESTIAL	COORDINATE_OR_CATALOGUE_CARD	BAHN	A_EXACT_RUNNING_SURFACE_RECIPE	5	1	0	YES	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-R004	AIR+Y	1	1	airchy	1	f69v	CELESTIAL	COORDINATE_OR_CATALOGUE_CARD	BAHN · POSTEN	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	1	YES	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-R005	AL	14	3	al|cheal|dal	3	f67r2|f69v|f70v	CELESTIAL	COORDINATE_OR_CATALOGUE_CARD	ZIELORT	A_EXACT_RUNNING_SURFACE_RECIPE	75	3	0	YES	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-R006	AL+AIN	1	1	alain	1	f70v	CELESTIAL	COORDINATE_OR_CATALOGUE_CARD	ZIELORT · ANTEIL	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	1	YES	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-R007	AL+AL	1	1	dalal	1	f70v	CELESTIAL	COORDINATE_OR_CATALOGUE_CARD	ZIELORT · ZIELORT	A_EXACT_RUNNING_SURFACE_RECIPE	2	2	1	YES	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-R008	AL+AL+O+DY	1	1	dalalody	1	f70v	CELESTIAL	COORDINATE_OR_CATALOGUE_CARD	ZIELORT · ZIELORT · [O:STEUERUNG=AUSFÜHRUNG] · [DY:STEUERUNG=SCHLUSS]	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	1	YES	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-R009	AL+AL+S_ADDR	1	1	alals	1	f70v	CELESTIAL	COORDINATE_OR_CATALOGUE_CARD	ZIELORT · ZIELORT · [S_ADDR:LOKALSTRUKTUR=HIER]	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	1	YES	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-R010	AL+O+DY	1	1	alody	1	f70v	CELESTIAL	COORDINATE_OR_CATALOGUE_CARD	ZIELORT · [O:STEUERUNG=AUSFÜHRUNG] · [DY:STEUERUNG=SCHLUSS]	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	1	YES	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-R011	AL+O+S_ADDR	1	1	alos	1	f70v	CELESTIAL	COORDINATE_OR_CATALOGUE_CARD	ZIELORT · [O:STEUERUNG=AUSFÜHRUNG] · [S_ADDR:LOKALSTRUKTUR=HIER]	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	1	YES	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-R012	AL+Y	3	1	daly	2	f70v|f75r	BIOLOGICAL|CELESTIAL	COORDINATE_OR_CATALOGUE_CARD	ZIELORT · POSTEN	A_EXACT_RUNNING_SURFACE_RECIPE	9	5	0	YES	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-R013	AL+Y+S	1	1	alys	1	f69v	CELESTIAL	ORDERED_INSTRUCTION_CARD	ZIELORT · POSTEN · WÄHLEN	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	1	YES	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-R014	AM_ADDR	5	1	am	3	f67r2|f70v|f88r	CELESTIAL|PHARMA	LOCAL_CLASS_OR_NAME_CARD	[AM_ADDR:LOKALSTRUKTUR=HIER]	A_EXACT_RUNNING_SURFACE_RECIPE	9	1	0	YES	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-R015	AM_ADDR+DY	1	1	amdy	1	f70v	CELESTIAL	LOCAL_CLASS_OR_NAME_CARD	[AM_ADDR:LOKALSTRUKTUR=HIER] · [DY:STEUERUNG=SCHLUSS]	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	1	YES	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-R016	AR	10	2	ar|char	2	f69v|f70v	CELESTIAL	COORDINATE_OR_CATALOGUE_CARD	AUSGANG	A_EXACT_RUNNING_SURFACE_RECIPE	39	2	0	YES	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-R017	AR+AL	1	1	aral	1	f70v	CELESTIAL	COORDINATE_OR_CATALOGUE_CARD	AUSGANG · ZIELORT	D_EXACT_LOCAL_SURFACE_OTHER_PAGE	0	0	0	YES	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
