gdt513_collision_id	source_event_id	physical_page	locus	owner_de	surface	local_component_recipe	local_component_trace_de	running_surface_recipes	collision_explanation	gdt405_lock_alignment	future_batch_rule	portable_polysemy_inferred	structural_tag_promoted_to_word	guard
G513-C01	P912-E1772	f67r2	f67r2.11	zwei lokale Himmelsraeder	chky	CHK+Y	[CHK:LOKALSTRUKTUR=BEDINGUNGSKLASSE] · POSTEN	CH+K+Y	LEGACY_OWNER_LOCAL_STRUCTURAL_MACRO	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-C02	P912-E1887	f67r2	f67r2.58	zwei lokale Himmelsraeder	g	G_LABEL	[G_LABEL:LOKALSTRUKTUR=VARIANTE]	LOCAL_CHAR_G	OWNER_LOCAL_CLASS_OR_VARIANT_SIGN	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-C03	P912-E1974	f68r1	f68r1.12	mehrteiliger Sternatlas mit lokalen Zentren	chocfhy	CH+O+CFH+Y	NEHMEN · [O:STEUERUNG=AUSFÜHRUNG] · [CFH:LOKALSTRUKTUR=TRENNKLASSE] · POSTEN	CH+O+CH+LOCAL_CHAR_F+Y	LEGACY_OWNER_LOCAL_STRUCTURAL_MACRO	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-C04	P912-E1983	f68r1	f68r1.21	mehrteiliger Sternatlas mit lokalen Zentren	ockhy	O+CKH+Y	[O:STEUERUNG=AUSFÜHRUNG] · [CKH:LOKALSTRUKTUR=VERBINDUNGSWEG] · POSTEN	O+CH+K+Y	LEGACY_OWNER_LOCAL_STRUCTURAL_MACRO	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-C05	P912-E1997	f68r1	f68r1.35	mehrteiliger Sternatlas mit lokalen Zentren	otochedy	OT+O+CHD+Y	DANACH · [O:STEUERUNG=AUSFÜHRUNG] · BEARBEITEN · POSTEN	OT+O+CHD+DY	OWNER_LOCAL_SCOPE_OR_CLOSE_SPLIT	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-C06	P912-E2053	f69v	f69v.2	drei getrennte heterogene Himmelsraeder	cheo	CHEO	[CHEO:LOKALSTRUKTUR=LOKALER EINTRAG]	CH+E+O	LEGACY_OWNER_LOCAL_STRUCTURAL_MACRO	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-C07	P912-E2055	f69v	f69v.2	drei getrennte heterogene Himmelsraeder	ockhy	O+CKH+Y	[O:STEUERUNG=AUSFÜHRUNG] · [CKH:LOKALSTRUKTUR=VERBINDUNGSWEG] · POSTEN	O+CH+K+Y	LEGACY_OWNER_LOCAL_STRUCTURAL_MACRO	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-C08	P912-E2060	f69v	f69v.2	drei getrennte heterogene Himmelsraeder	cheody	CHEO+Y	[CHEO:LOKALSTRUKTUR=LOKALER EINTRAG] · POSTEN	CH+E+O+Y	LEGACY_OWNER_LOCAL_STRUCTURAL_MACRO	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-C09	P912-E2094	f69v	f69v.3	drei getrennte heterogene Himmelsraeder	cheor	CHEO+R	[CHEO:LOKALSTRUKTUR=LOKALER EINTRAG] · MARKIEREN	CH+E+O+R	LEGACY_OWNER_LOCAL_STRUCTURAL_MACRO	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-C10	P912-E2153	f70v	f70v1.1	Widderrad mit Stern tragenden Figuren	cheody	CHEO+Y	[CHEO:LOKALSTRUKTUR=LOKALER EINTRAG] · POSTEN	CH+E+O+Y	LEGACY_OWNER_LOCAL_STRUCTURAL_MACRO	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
