physical_page	registers	owners_de	local_group_count	distinct_surface_count	distinct_recipe_count	exact_running_surface_recipe_count	running_recipe_new_surface_count	running_surface_different_parse_count	local_cross_page_support_count	page_private_visible_composition_count	section_marker_count	instruction_card_count	itinerary_or_address_count	coordinate_or_catalogue_count	local_class_or_name_count	complete_default_count	guard
f67r2	CELESTIAL	zwei lokale Himmelsraeder	64	60	57	28	1	2	0	33	0	43	4	14	3	64	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
f68r1	CELESTIAL	mehrteiliger Sternatlas mit lokalen Zentren	34	34	34	8	1	3	0	22	0	21	5	8	0	34	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
f69v	CELESTIAL	drei getrennte heterogene Himmelsraeder	140	107	100	85	7	4	4	40	0	70	21	42	7	140	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
f70v	CELESTIAL	Fischrad mit Stern tragenden Figuren | Widderrad mit Stern tragenden Figuren	218	170	163	114	12	9	7	76	0	91	66	49	12	218	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
f75r	BIOLOGICAL	Den gewählten Zielplatz schließen. | Dieselbe Klasse an der unteren Quelladresse fortführen. | Diesen Platz auswählen, markieren und wieder als laufenden Platz setzen. | Diesen Zielplatz mit dem wiederholten Gegenplatz verbinden. | Eine Einheit auswählen und ihren örtlichen Gang aufrufen. | Eine Einheit gehört zu diesem Platz. | Zielklasse wählen; am zweiten Grad eintragen und schließen.	10	10	10	5	1	0	0	4	0	6	0	4	0	10	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
f76r	BIOLOGICAL	Merkzeichen für unbebilderter Textabschnitt A1 | Merkzeichen für unbebilderter Textabschnitt A2 | Merkzeichen für unbebilderter Textabschnitt A3 | Merkzeichen für unbebilderter Textabschnitt A4 | Merkzeichen für unbebilderter Textabschnitt A5 | Merkzeichen für unbebilderter Textabschnitt A6 | Merkzeichen für unbebilderter Textabschnitt A7 | Merkzeichen für unbebilderter Textabschnitt A8 | Merkzeichen für unbebilderter Textabschnitt A9	9	7	1	0	0	0	0	0	9	0	0	0	0	9	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
f81v	BIOLOGICAL	gemeinsames Bad- und Beckenfeld	2	2	2	2	0	0	0	0	0	1	1	0	0	2	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
f82r	BIOLOGICAL	mehrere lokale Bad- und Leitungsstationen	13	13	13	4	0	0	0	9	0	10	3	0	0	13	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
f83r	BIOLOGICAL	lokale Becken-, Figuren- und Verbindungsstationen	4	4	4	0	0	0	0	4	0	4	0	0	0	4	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
f88r	PHARMA	BLATTZWEIG | FASERWURZELBÜNDEL | FASERWURZELSTOCK | FLECKKNOLLE | GABELWURZELSTOCK | HÄNGEWURZEL | KNOLLENWURZEL | KRIECHSTOCK | LANZETTBLATT | SCHLINGWURZEL | SCHNITTKÖRPER | SPEICHERTEIL | SPINDELWURZEL | WURZELBÜNDEL | WURZELKRONE | ZAHNKÖRPER	16	16	16	6	0	0	0	10	0	8	4	3	1	16	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
