held_collection	model	records	bits	top1
b4	SHAPE_ONLY	270	385.344488224	176
b4	IDENTITY_FLOW_TOPOLOGY	270	383.519375706	177
b6	SHAPE_ONLY	34	61.458093777	15
b6	IDENTITY_FLOW_TOPOLOGY	34	63.568614519	14
br1	SHAPE_ONLY	45	54.840999181	31
br1	IDENTITY_FLOW_TOPOLOGY	45	56.683399292	32
bs1	SHAPE_ONLY	268	438.814125437	151
bs1	IDENTITY_FLOW_TOPOLOGY	268	447.315569637	149
gr1	SHAPE_ONLY	254	418.909701816	150
gr1	IDENTITY_FLOW_TOPOLOGY	254	419.651658199	146
w1	SHAPE_ONLY	262	415.167341696	160
w1	IDENTITY_FLOW_TOPOLOGY	262	405.638416399	165
