world	topology_gain_over_shape
0	-57.651890623
1	-69.918858270
2	-53.417867851
3	-62.296618966
4	-54.743771738
5	-61.565525016
6	-50.656064971
7	-67.999991893
8	-47.226726086
9	-47.064673022
10	-63.735196314
11	-65.066717478
12	-51.586332297
13	-55.141128598
14	-59.495719877
15	-70.971601552
16	-61.998858479
17	-49.760189364
18	-69.509419307
19	-47.084720918
20	-70.302338140
21	-42.368724418
22	-59.113278168
23	-57.191781521
24	-66.821290470
25	-49.936039491
26	-65.050641467
27	-55.172494813
28	-80.091447147
29	-59.088471514
30	-62.855157866
31	-42.622600392
32	-53.435064669
33	-52.922217491
34	-51.594578889
35	-56.423514782
36	-54.360576648
37	-56.585756141
38	-55.125268458
39	-64.292610272
40	-73.730600306
41	-68.714131536
42	-69.772894560
43	-53.365205610
44	-55.578642424
45	-59.760892717
46	-45.135818428
47	-68.988616862
48	-56.619409398
49	-53.483313976
50	-69.407720882
51	-45.994572541
52	-88.001564438
53	-51.048909406
54	-75.525456682
55	-42.281719413
56	-67.184231734
57	-50.530940667
58	-54.780818868
59	-52.098352405
60	-80.496931729
61	-59.480981171
62	-60.958075461
63	-60.947730124
64	-69.951848527
65	-64.901734791
66	-59.683821734
67	-62.143227441
68	-72.709788347
69	-57.649196493
70	-64.498105147
71	-46.669827976
72	-52.755008211
73	-48.546277168
74	-59.585802882
75	-68.234501273
76	-61.631559340
77	-69.024337754
78	-49.600921446
79	-78.036306091
80	-36.875730301
81	-57.398081847
82	-43.158070905
83	-66.686524219
84	-48.081781154
85	-59.562827645
86	-74.358262242
87	-51.588661852
88	-64.859008502
89	-68.400863700
90	-51.160522677
91	-47.366002409
92	-55.372794620
93	-59.233764477
94	-65.433479134
95	-67.453204690
96	-69.463864875
97	-62.836146165
98	-71.894280793
99	-90.778004497
100	-52.410608111
101	-68.370316313
102	-65.492833703
103	-64.966670256
104	-63.669878309
105	-57.816637005
106	-55.038972969
107	-61.916819739
108	-58.990929331
109	-64.271772450
110	-65.250116459
111	-58.708794802
112	-61.586862461
113	-58.896826163
114	-85.186804125
115	-87.299202262
116	-48.462767468
117	-65.393821428
118	-76.527866054
119	-70.109683961
120	-68.528291945
121	-55.098332371
122	-51.477101604
123	-63.436284863
124	-85.853449967
125	-45.897572206
126	-62.496303134
127	-69.246434516
128	-74.031553379
129	-53.289349280
130	-67.577168028
131	-55.528296907
132	-66.488300037
133	-68.224156264
134	-44.048751249
135	-40.264700612
136	-50.907797563
137	-41.483309043
138	-58.527300309
139	-62.462180842
140	-59.886306409
141	-41.363064144
142	-52.024443374
143	-67.604954348
144	-71.844923652
145	-57.806594464
146	-58.032135157
147	-57.710632240
148	-56.779257463
149	-68.545775482
150	-59.655594903
151	-85.898719624
152	-59.909359282
153	-64.252964034
154	-53.656622690
155	-56.479142175
156	-67.389951262
157	-49.326503170
158	-64.241228822
159	-43.702617847
160	-44.609593689
161	-46.204682664
162	-60.649977596
163	-53.426606677
164	-78.146555050
165	-41.832142443
166	-71.250997228
167	-54.578441519
168	-58.293228318
169	-88.605710358
170	-62.879181767
171	-70.237825335
172	-71.051892690
173	-53.779081723
174	-56.367515633
175	-34.648274624
176	-59.694575951
177	-75.114369608
178	-40.674008800
179	-73.847340695
180	-60.678057215
181	-43.791850411
182	-66.955242376
183	-46.460457149
184	-52.485702232
