surface	primary_candidate_id	alternate_candidate_1	alternate_candidate_2	working_candidate_de	working_confidence	selection_reason
air	E002	E001	E003	zweiter Teil oder Abschnitt	C1_CONSTRAINED_CANDIDATE	Exact PART plus level II bundle and overwhelmingly internal placement fit a bound section or part field; external quantity evidence is weak.
lkaiin	E010	E050	E014	heiß im dritten Grad	C2_STRONG_EXPLORATORY	HOT plus level III is the only top-24 bundle with later occurrence-local support and has an exact period quality-degree expression class.
opchedy	E043	E019	E015	trockne	C1_CONSTRAINED_CANDIDATE	DRY plus PROCESS dominates the old role bundle; external fields are mixed so verbal drying stays ahead of a dry-state reading only provisionally.
okeol	E009	E024	E050	heiß im zweiten Grad	C1_CONSTRAINED_CANDIDATE	The corrected whole-pair retains HOT plus middle stage and independent fields lean descriptive or materia rather than command.
qokeol	E009	E024	E050	heiß im zweiten Grad	C1_CONSTRAINED_CANDIDATE	The corrected whole-pair retains the same HOT plus middle-stage role; no independent q-side command split survives.
olchedy	E015	E043	E025	getrocknet	C1_CONSTRAINED_CANDIDATE	Three of seven complete independent fields are descriptive materia and the form is relatively late, favouring a state over an imperative.
chees	E015	E043	E025	vollständig getrocknet	C1_CONSTRAINED_CANDIDATE	DRY plus end-stage and a descriptive-leaning external mix favour a completed state; process remains an alternate.
qopchedy	E024	E043	E019	bis zur Hälfte trocknen	C1_CONSTRAINED_CANDIDATE	MIDDLE_STAGE plus DRY and PROCESS matches an attested until-half process target, with the drying operation supplied only by the whole-role hypothesis.
okam	E004	E005	E006	eine Drachme	C1_CONSTRAINED_CANDIDATE	AMOUNT plus level I and eleven of seventeen line-final occurrences fit a compact terminal dose or measure.
qoaiin	E007	E049	E016	nimm drei Einheiten	C1_CONSTRAINED_CANDIDATE	LEVEL_III plus PROCESS and a relatively early profile fit a terse command-number macro better than a descriptive degree.
lky	E050	E009	E021	heiß oder warm	C1_CONSTRAINED_CANDIDATE	The later whole-role evidence retains HOT only; no degree or operation is added.
ykedy	E027	E048	E019	warm halten oder aufbewahren	C0_FORCED_DEFAULT	PASS plus CLOSE and late placement support keeping; HOT is retained as a modifier but no exact historical warm-hold macro is identified.
orain	E001	E002	E003	zwei Teile	C1_CONSTRAINED_CANDIDATE	PART plus level II and seven of fourteen line-final occurrences fit a quantity formula more strongly than a heading.
chky	E012	E013	E008	heiß und trocken im ersten Grad	C1_CONSTRAINED_CANDIDATE	HOT DRY and begin-stage align with a real quality-degree class; mostly Herbal placement and descriptive fields weaken the old command reading.
qockhey	E018	E025	E019	mische	C0_FORCED_DEFAULT	PROCESS plus PREPARATION makes mixing historically plausible, but five of seven complete external fields are open.
ychor	E016	E017	E006	nimm	C2_STRONG_EXPLORATORY	All thirteen exact occurrences are line-initial and three of eight complete independent fields are prescriptive recipe fields; this strongly beats the inherited part reading.
cthody	E026	E025	E039	Salbe	C0_FORCED_DEFAULT	MATERIAL plus PREPARATION and late Herbal placement create a learned preparation slot; Salbe is a bold specific whole-word candidate with generic preparation and electuary rivals.
ykol	E050	E026	E028	heißes Heilmittel	C0_FORCED_DEFAULT	HOT plus MATERIAL and seven of nine Herbal occurrences favour a descriptive medicine content slot; the noun remains speculative.
olar	E051	E002	E004	erster Teil oder Anteil	C1_CONSTRAINED_CANDIDATE	PART plus level I is an exact role fit and complete fields are descriptive rather than command-like.
otaly	E011	E020	E025	kalt im ersten Grad	C1_CONSTRAINED_CANDIDATE	COLD begin-stage and level I match an exact period quality rubric; preparation is retained only as carrier background.
qolchedy	E024	E043	E019	bis zur Hälfte trocknen	C0_FORCED_DEFAULT	DRY middle-stage and PROCESS support a half-way process target, but three of five complete fields remain open.
chdam	E004	E005	E015	eine Drachme	C0_FORCED_DEFAULT	AMOUNT plus level I and four of four line-final occurrences fit a terminal measure, but the sample is small and no complete external quantity field survives.
olchy	E015	E025	E043	trockene Zubereitung	C1_CONSTRAINED_CANDIDATE	All three complete independent fields are descriptive and the role bundle contains DRY MATERIAL and PREPARATION.
qopchey	E043	E024	E019	trockne	C0_FORCED_DEFAULT	DRY plus PROCESS gives a concrete default, but every complete independent field is open and the stage details remain unresolved.
