candidate_id	normalized_expression	working_gloss_de	candidate_kind	historical_register_family	required_all_axes	required_any_axes	preferred_axes	preferred_channels	preferred_layout	source_ids	date_tier_0_3	attested_form	locator	attestation_scope	content_slot_axis	evidence_note
E001	ii partes	zwei Teile oder Anteile	FORMULAIC_QUANTITY	MEASURE_FRACTION_OR_DEGREE_REGISTER	PART|LEVEL_II	NONE	AMOUNT	QUANTITY_OR_PART|PRESCRIPTIVE_RECIPE	LAST|MIDDLE	HX005|HX007	3	ii partes aque	Alphita Idromel recipe; BnF lat.8651 f88v	DIRECT_EXPRESSION	NONE	A two-part quantity is explicit in edited medieval materia text and a fourteenth-century technical recipe.
E002	parte	Teil oder Anteil	FORMULAIC_PART	MEASURE_FRACTION_OR_DEGREE_REGISTER	PART	NONE	AMOUNT|LEVEL_I|LEVEL_II|LEVEL_III	QUANTITY_OR_PART|PRESCRIPTIVE_RECIPE	ANY	HX006	1	parte	aligned recipe table 4	CORPUS_EXPRESSION	NONE	Parte is among forms abbreviated consistently across the five later recipe witnesses.
E003	semis	Haelfte	FORMULAIC_QUANTITY	MEASURE_FRACTION_OR_DEGREE_REGISTER	PART	MIDDLE_STAGE|AMOUNT	MIDDLE_STAGE|AMOUNT	QUANTITY_OR_PART|PRESCRIPTIVE_RECIPE	LAST|MIDDLE	HX006|HX009	1	semis	aligned recipe table 4	CORPUS_FORMULA	NONE	Semis is one of the five most consistently abbreviated formulaic recipe items.
E004	drachma i	eine Drachme	FORMULAIC_MEASURE	MEASURE_FRACTION_OR_DEGREE_REGISTER	AMOUNT	LEVEL_I|LEVEL_II|LEVEL_III	LEVEL_I	QUANTITY_OR_PART|PRESCRIPTIVE_RECIPE	LAST	HX006|HX009	1	drachm logogram	aligned recipe table 4	CORPUS_FORMULA	NONE	The dram sign is the most frequent uniformly abbreviated recipe item in the aligned corpus.
E005	uncia i	eine Unze	FORMULAIC_MEASURE	MEASURE_FRACTION_OR_DEGREE_REGISTER	AMOUNT	LEVEL_I|LEVEL_II|LEVEL_III	LEVEL_I	QUANTITY_OR_PART|PRESCRIPTIVE_RECIPE	LAST	HX004|HX006|HX009	2	sex vncias; vnam ... quartam vncie	Durham f83v recipe 1	DIRECT_EXPRESSION	NONE	Ounce vocabulary and values occur explicitly in a period recipe and as a recurrent abbreviation class.
E006	ana	zu gleichen Teilen	FORMULAIC_QUANTITY	MEASURE_FRACTION_OR_DEGREE_REGISTER	NONE	AMOUNT|PART	AMOUNT|PART|PROCESS	PRESCRIPTIVE_RECIPE|QUANTITY_OR_PART	MIDDLE|LAST	HX006|HX009|HX010	2	ana	Wellcome MS.307 f44r-f45v; aligned recipe table 4	DIRECT_PLUS_CORPUS_FORMULA	NONE	Ana is a real compact equal-amount formula, but no target spelling is implied.
E007	Recipe iii vel iiii guttas	nimm drei oder vier Tropfen	FORMULAIC_COMMAND_QUANTITY	MEASURE_FRACTION_OR_DEGREE_REGISTER	LEVEL_III	PROCESS|AMOUNT|PASS	AMOUNT|PROCESS	PRESCRIPTIVE_RECIPE|QUANTITY_OR_PART	FIRST|MIDDLE	HX002	3	R. iii vel iiii guttas	Wellcome MS.542 f79v	DIRECT_EXPRESSION	NONE	A terse command binds a Roman value to counted drops in an early fifteenth-century witness.
E008	calide in primo gradu	heiss im ersten Grad	QUALITY_DEGREE	QUALITY_STATE_OR_DEGREE_REGISTER	HOT|BEGIN_STAGE	NONE	LEVEL_I	DESCRIPTIVE_QUALITY|DESCRIPTIVE_MATERIA	MIDDLE|LAST	HX001	3	Calide in primo gradu	Pal.lat.1234 f1r	DIRECT_EXPRESSION	NONE	A period rubric directly attests hot quality plus first degree.
E009	calide in secundo gradu	heiss im zweiten Grad	QUALITY_DEGREE	QUALITY_STATE_OR_DEGREE_REGISTER	HOT|MIDDLE_STAGE	NONE	LEVEL_II	DESCRIPTIVE_QUALITY|DESCRIPTIVE_MATERIA	MIDDLE|LAST	HX001	3	Calide in 2o gradu	Pal.lat.1234 f1r	DIRECT_EXPRESSION	NONE	A period rubric directly attests hot quality plus second degree.
E010	calide in tertio gradu	heiss im dritten Grad	QUALITY_DEGREE	QUALITY_STATE_OR_DEGREE_REGISTER	HOT|LEVEL_III	NONE	NONE	DESCRIPTIVE_QUALITY|DESCRIPTIVE_MATERIA	MIDDLE|LAST	HX001|HX002	3	Calide in 3o gradu; c. et s. in iii gradu	Pal.lat.1234 f1r; Wellcome MS.542 f119v	DIRECT_EXPRESSION_CLASS	NONE	Two period witnesses attest a third-degree quality field; neither identifies a target form.
E011	frigida in primo gradu	kalt im ersten Grad	QUALITY_DEGREE	QUALITY_STATE_OR_DEGREE_REGISTER	COLD|BEGIN_STAGE|LEVEL_I	NONE	NONE	DESCRIPTIVE_QUALITY|DESCRIPTIVE_MATERIA	MIDDLE|LAST	HX001	3	Frigida in primo gradu	Pal.lat.1234 f1v	DIRECT_EXPRESSION	NONE	A period rubric directly attests cold quality plus first degree.
E012	calidum et siccum in primo gradu	heiss und trocken im ersten Grad	QUALITY_DEGREE	QUALITY_STATE_OR_DEGREE_REGISTER	HOT|DRY|BEGIN_STAGE	NONE	LEVEL_I	DESCRIPTIVE_QUALITY|DESCRIPTIVE_MATERIA	MIDDLE|LAST	HX001|HX002	2	Calide in primo gradu; calidum et siccum in ii gradu	Pal.lat.1234 f1r; Wellcome MS.542 f118r	NORMALIZED_ATTESTED_FIELD_COMBINATION	NONE	Every element and the quality-plus-degree syntax are attested, but this exact combined clause is a normalized class rather than one quoted row.
