source_id	work	date_band	source_type	region	registers	primary_url	local_evidence_path	evidence_scope	caveat
HX001	Vatican Pal.lat.1234 degrees of simples	circa 1400	PRIMARY_MANUSCRIPT	Latin Europe	QUALITY_DEGREE|PLANT_PART	https://digi.vatlib.it/iiif/MSS_Pal.lat.1234/manifest.json	experiments/yolo/gdt623_temperament_orientation_frequency/artifacts/HISTORICAL_LAYOUT_OBSERVATIONS.tsv	Targeted manual readings of f1r f1v f3r f3v	Written rubrics establish expression classes but no Voynich spelling.
HX002	Wellcome MS.542 medical miscellany and glossary	early 15th century	PRIMARY_MANUSCRIPT	England	QUALITY_DEGREE|MATERIA|QUANTITY	https://wellcomecollection.org/works/n674z2xd	experiments/yolo/gdt626_mobile_operation_lexicon/artifacts/HISTORICAL_NUMERAL_COMPARATORS.tsv	Targeted readings at f79v f118r f119v	One manuscript supplies several examples but counts as one source.
HX003	Salzburg UB M I 89 medical compilation	turn of 14th and 15th century	PRIMARY_MANUSCRIPT	Bavaria and Austria	RECIPE|MATERIA|PREPARATION	https://manuscripta.at/_scripts/php/msDescription2_m1_NEU.php?ID=8162&IDinitia=	experiments/yolo/gdt635_initial_head_same_remainder_swaps/artifacts/HISTORICAL_HEAD_MODEL.tsv	Targeted readings at f148v f155v f266r	The words are real register vocabulary; their initials do not identify EVA glyphs.
HX004	Durham Cathedral MS B.III.12 endleaf recipes	14th to 15th centuries	PRIMARY_MANUSCRIPT_CATALOGUE_TRANSCRIPTION	England	RECIPE|PROCESS|PREPARATION|LIQUID|INGREDIENT|PERSON	https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s18623hx81c.xml	NONE	Catalogue lines 180-197 transcribe thirteen recipe notices from f83v	Catalogue transcription rather than a fresh diplomatic collation.
HX005	BnF lat.8651 fourteenth-century ink recipe	14th century	PRIMARY_MANUSCRIPT_SCHOLARLY_TRANSCRIPTION	France	RECIPE|PROCESS|LIQUID|QUANTITY	https://www.persee.fr/doc/bec_0373-6237_1925_num_86_1_460583	NONE	Published transcription of f88v in Bibliotheque de l Ecole des chartes 86 (1925) 484	One technical ink recipe rather than a medical corpus.
HX006	Aligned John of Burgundy plague-tract abbreviation corpus	1450s to 1490s	PEER_REVIEWED_ALIGNED_CORPUS	England	RECIPE|MEASURE|FORMULA|LEXICAL_CONTENT	https://academic.oup.com/dsh/article/37/3/765/6401180	NONE	Five-witness recipe table and abbreviation consistency counts	Slightly later than 1420; used for register formulae and not graphic identity.
HX007	Alphita medico-botanical glossary	medieval tradition; 1887 edition	EDITED_MEDIEVAL_GLOSSARY	England and Latin Europe	MATERIA|QUALITY|PREPARATION|VESSEL	https://wellcomecollection.org/works/e45my5w6	experiments/yolo/gdt735_historical_semantic_bridge_atlas/src/HISTORICAL_FIELD_COUNTS.tsv	Public-domain edited glossary and controlled OCR slice	Modern edition and OCR navigation are not a diplomatic target-period witness.
HX008	Wellcome MS.491 Pseudo-Mesue Grabadin	1418	PRIMARY_MANUSCRIPT	German-speaking scribe	PHARMACY|MATERIA|RECIPE|PREPARATION	https://wellcomecollection.org/works/p395vx7a	experiments/yolo/gdt735_historical_semantic_bridge_atlas/src/HISTORICAL_SOURCE_REGISTRY.tsv	Dated period-matched architecture witness	Catalogue description does not supply entry-level expression counts.
HX009	Abbreviations in Medieval Medical Manuscripts	late 14th to 15th century	PEER_REVIEWED_CORPUS_STUDY	England and Latin Europe	RECIPE|MEASURE|ABBREVIATION	https://reunido.uniovi.es/index.php/SELIM/article/view/13301	experiments/yolo/gdt609_historical_mixed_abbreviation_prior/artifacts/source_evidence.tsv	Medical signs and abbreviations including Recipe ana and measures	Several corpus witnesses postdate 1450.
HX010	Wellcome MS.307 recipe collection	late 14th century	PRIMARY_MANUSCRIPT	Northern Italy	RECIPE|INGREDIENT|MEASURE	https://wellcomecollection.org/works/rexwctzt	experiments/yolo/gdt626_mobile_operation_lexicon/artifacts/HISTORICAL_NUMERAL_COMPARATORS.tsv	Targeted f44r-f45v ana and dose rows	No target token or attachment direction is identified.
HX011	Oxford Trinity College MS 9 recipe collection	late medieval	PRIMARY_MANUSCRIPT_CATALOGUE	England	TECHNICAL_RECIPE|PROCESS	https://medieval.bodleian.ox.ac.uk/pdfs/trinity/MS_9.pdf	NONE	Catalogue transcription includes sicca ad solem vel ad umbram	Date is used only as a broad late-medieval process-form comparator.
HX012	Beinecke MS 163 Wagstaff miscellany	mid 15th century with 14th-century component	PRIMARY_MANUSCRIPT_CATALOGUE	England	MEDICINE|AQUA|PERSON|DISEASE	https://pre1600ms.beinecke.library.yale.edu/docs/pre1600.ms163.HTM	NONE	Catalogue descriptions of medical recipes herb virtues and medicinal waters	Catalogue headings establish vocabulary ecology rather than exact local syntax.
HX013	Wellcome MS.708 quintessence and medicinal-herb glossary	1443	PRIMARY_MANUSCRIPT_CATALOGUE	Regensburg	DISTILLATION|RECIPE|BATH|HERB_GLOSSARY	https://wellcomecollection.org/works/nkqqy37b	NONE	Catalogue transcription of recipe close at f42v and dated glossary explicit	Just after 1420 and used only as a nearby concrete bath-expression comparator.
