locus	page	section	currier	source_lattice_paths	selected_source	literal_decoded	normalized_plaintext_or_record	confidence	alternative_analysis	uncertainty_reason
f100r.1	f100r	P	A	f100r.1|P01	chosaroshol	<chosaroshol>	<chosaroshol>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.10	f100r	P	A	f100r.10|P01	dakocth	<dakocth>	<dakocth>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.11	f100r	P	A	f100r.11|P01|f100r.11|P02|f100r.11|P03	sofal	<sofal>	<sofal>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.12	f100r	P	A	f100r.12|P01|f100r.12|P02|f100r.12|P03	pcheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	<pcheol> <sheod> <qocpheeckhy> <shodol> <cthdaoto> <ch> <qeos> <sheey> <chcthso> ze	<pcheol> <sheod> <qocpheeckhy> <shodol> <cthdaoto> <ch> <qeos> <sheey> <chcthso> ze	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.13	f100r	P	A	f100r.13|P01|f100r.13|P02|f100r.13|P03	dsheor cthey qokeey oteey ykeeodain sorary daiin daiin deeamshol	<dsheor> <cthey> ist <oteey> <ykeeodain> <sorary> daz daz <deeamshol>	<dsheor> <cthey> ist <oteey> <ykeeodain> <sorary> daz daz <deeamshol>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.14	f100r	P	A	f100r.14|P01|f100r.14|P02|f100r.14|P03	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykecho	<shor> <chkeey> <qoteey> <qokeody> <qoteold> <qokeol> <so> <raiin> <otal> <ykecho>	<shor> <chkeey> <qoteey> <qokeody> <qoteold> <qokeol> <so> <raiin> <otal> <ykecho>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.15	f100r	P	A	f100r.15|P01|f100r.15|P02|f100r.15|P03	dcheor shol qokeeol chor chol qokeeody dareu	<dcheor> vnd <qokeeol> di si <qokeeody> <dareu>	<dcheor> vnd <qokeeol> di si <qokeeody> <dareu>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.16	f100r	P	A	f100r.16|P01	okeeos	<okeeos>	<okeeos>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.17	f100r	P	A	f100r.17|P01	shockhey	<shockhey>	<shockhey>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.18	f100r	P	A	f100r.18|P01	orol	<orol>	<orol>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.19	f100r	P	A	f100r.19|P01	olcheom	<olcheom>	<olcheom>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.2	f100r	P	A	f100r.2|P01	sochorcfhy	<sochorcfhy>	<sochorcfhy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.20	f100r	P	A	f100r.20|P01	oteol	<oteol>	<oteol>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.21	f100r	P	A	f100r.21|P01|f100r.21|P02	otols	<otols>	<otols>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.22	f100r	P	A	f100r.22|P01|f100r.22|P02|f100r.22|P03	folshody chol daiin fchodycheol cphol qotees shey oreso alcfhy	<folshody> si daz <fchodycheol> <cphol> <qotees> d <oreso> <alcfhy>	<folshody> si daz <fchodycheol> <cphol> <qotees> d <oreso> <alcfhy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.23	f100r	P	A	f100r.23|P01|f100r.23|P02|f100r.23|P03	soiin chol cphol shol shol qockhol chor chol sho keey cckhhy ykeeam	<soiin> si <cphol> vnd vnd <qockhol> di si <sho> <keey> <cckhhy> <ykeeam>	<soiin> si <cphol> vnd vnd <qockhol> di si <sho> <keey> <cckhhy> <ykeeam>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
