dictionary_order	entry_id	entry_kind	surface_or_pattern	minimal_value_de	composition_status	concrete_noun_source	licensed_source_slots	licensed_slot_count	license_class	license_rule_de	direct_rich_noun_license
1	ROOT_AIIN	PRODUCTIVE_ROOT	AIIN	Sollwert	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	PORTION,TEMPERATURE,DURATION,CALENDAR_VALUE,CELESTIAL_VALUE,WEATHER_VALUE,LIGHT_VALUE,PLANET_VALUE,QUALITY_VALUE	9	VALUE_SELECTOR	A prescribed value can fill only a registered value slot.	NO
2	ROOT_AIN	PRODUCTIVE_ROOT	AIN	Anteil	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	PORTION	1	QUANTITY_SELECTOR	A share or portion does not identify its material.	NO
3	ROOT_IIN	PRODUCTIVE_ROOT	IIN	Stufe	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	TEMPERATURE,DURATION,CALENDAR_VALUE,CELESTIAL_VALUE,WEATHER_VALUE,LIGHT_VALUE,PLANET_VALUE,QUALITY_VALUE	8	GRADE_SELECTOR	A stage grades an already selected process or readout.	NO
4	ROOT_AL	PRODUCTIVE_ROOT	AL	Ziel	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	TARGET,STATION,BODY_WORK_AREA,STAR_PLACE,MANSION_PLACE,CONDITION_PLACE	6	TARGET_SELECTOR	A destination can resolve only to a local target-like slot.	NO
5	ROOT_AR	PRODUCTIVE_ROOT	AR	Quelle	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	OWNER,PREVIOUS,ROOT,HERB,WATER,EXTRACTION_MEDIUM,EXTRACT,INLET	8	SOURCE_SELECTOR	A source points backward or inward; it does not name the source substance.	NO
6	ROOT_AIR	PRODUCTIVE_ROOT	AIR	Lauf	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	RUN,WATER,WASH_LIQUID	3	FLOW_SELECTOR	A run may carry a registered liquid but cannot invent one.	NO
7	ROOT_OK	PRODUCTIVE_ROOT	OK	ansetzen	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	ITEM	1	OPERATION_ARGUMENT	Set the current item into work.	NO
8	ROOT_OL	PRODUCTIVE_ROOT	OL	weiter	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	PREVIOUS,ITEM	2	CONTINUATION_ARGUMENT	Continue the previous/current item.	NO
9	ROOT_OT	PRODUCTIVE_ROOT	OT	danach	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	ITEM	1	ORDER_ARGUMENT	Select the following item without naming it.	NO
10	ROOT_OR	PRODUCTIVE_ROOT	OR	Ansatz	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	EXTRACTION_MEDIUM,EXTRACT,RESULT	3	PREPARATION_ARGUMENT	The preparation channel can resolve to medium, extract or result.	NO
11	ROOT_Y	PRODUCTIVE_ROOT	Y	dies	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	ITEM	1	REFERENT	This/current item only.	NO
12	ROOT_E	PRODUCTIVE_ROOT	E	kurz	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	DURATION,TEMPERATURE	2	SHORT_GRADE	Short grade modifies duration or temperature.	NO
13	ROOT_EE	PRODUCTIVE_ROOT	EE	länger	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	DURATION,TEMPERATURE	2	LONG_GRADE	Longer grade modifies duration or temperature.	NO
14	ROOT_EEE	PRODUCTIVE_ROOT	EEE	vollständig	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	DURATION,TEMPERATURE	2	FULL_GRADE	Full grade modifies duration or temperature.	NO
15	ROOT_CLOSE	PRODUCTIVE_ROOT	CLOSE	Ende	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	NONE	0	OPERATION_ONLY	Closure licenses no content noun.	NO
16	ROOT_CHD	PRODUCTIVE_ROOT	CHD	umsetzen	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	ITEM,TARGET	2	TRANSFER_OPERATION	Transfer acts on an item toward an already licensed target.	NO
17	ROOT_CTH	PRODUCTIVE_ROOT	CTH	bereit	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	RESULT	1	READINESS_OPERATION	Readiness may expose only the registered result slot.	NO
18	ROOT_CKH	PRODUCTIVE_ROOT	CKH	Durchlass	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	OPENING,INLET,OUTLET,RUN,FILTER	5	PASSAGE_OPERATION	A passage chooses visible/local path slots.	NO
19	ROOT_CKHE	PRODUCTIVE_ROOT	CKHE	trennen	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	FILTER,EXTRACT,RESULT	3	SEPARATION_OPERATION	Separation may yield a registered extract/result.	NO
20	ROOT_CHK	PRODUCTIVE_ROOT	CHK	wärmen	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	TEMPERATURE	1	HEAT_OPERATION	Heating licenses temperature, not a named substance.	NO
21	ROOT_SHED	PRODUCTIVE_ROOT	SHED	absetzen	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	DURATION,RESULT	2	SETTLING_OPERATION	Settling can consume duration and expose a result.	NO
22	ROOT_SOLK	PRODUCTIVE_ROOT	SOLK	sammeln	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	RECEIVER,RESULT	2	COLLECTION_OPERATION	Collection selects receiver/result only.	NO
23	ROOT_HO	PRODUCTIVE_ROOT	HO	Zutat	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	SHOOT,LEAF,FLOWER,HERB,ADDITIVE	5	ADDITION_ARGUMENT	An added material must already occupy an ingredient-like slot.	NO
24	ROOT_CHEO	PRODUCTIVE_ROOT	CHEO	Auszug	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	EXTRACTION_MEDIUM,EXTRACT	2	EXTRACT_ARGUMENT	Extract never expands directly to wine, medicine or dye.	NO
25	ROOT_KCH	PRODUCTIVE_ROOT	KCH	bearbeiten	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	ITEM	1	PROCESS_OPERATION	Generic processing leaves the content in the current-item register.	NO
26	ROOT_TY	PRODUCTIVE_ROOT	TY	Teil	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	PORTION,ROOT,SHOOT,LEAF,FLOWER,HERB	6	PART_SELECTOR	Part selects a registered divisible material.	NO
27	ROOT_SH	PRODUCTIVE_ROOT	SH	halten	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	DURATION,ITEM	2	HOLD_OPERATION	Hold affects the current item for a licensed duration.	NO
28	ROOT_CHEEY	PRODUCTIVE_ROOT	CHEEY	Ergebnis	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER	RESULT	1	RESULT_SELECTOR	Result selects only the current program result.	NO
29	N01_CFH	LEARNED_WHOLE_OR_PATTERN	cfhy	auswringen	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT	FILTER,EXTRACT,RESULT	3	WRING_OPERATION	Wringing may produce the registered extract/result.	NO
30	N02_CPH	LEARNED_WHOLE_OR_PATTERN	cphy|ocphy	nachseihen	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT	FILTER,EXTRACT,RESULT	3	RESTRAIN_OPERATION	Re-straining may produce the registered extract/result.	NO
31	N03_PARTITION	LEARNED_WHOLE_OR_PATTERN	ches|chety|chty	teilen	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT	PORTION,ROOT,SHOOT,LEAF,FLOWER,HERB	6	PARTITION_OPERATION	Partition operates on a registered material.	NO
32	N04_HO	LEARNED_WHOLE_OR_PATTERN	cho|sho|tshol	Zutat	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT	SHOOT,LEAF,FLOWER,HERB,ADDITIVE	5	LEARNED_ADDITION	The learned addition card uses the same bounded ingredient slots.	NO
33	N05_DCHE	LEARNED_WHOLE_OR_PATTERN	dchey	Wurzelteil	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT	ROOT	1	LEARNED_ROOT_PART	The learned card licenses only root.	NO
34	N06_PREV	LEARNED_WHOLE_OR_PATTERN	dchol|schol	vorher	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT	PREVIOUS	1	LEARNED_PREVIOUS	The learned card points to the previous preparation.	NO
35	N07_WASH	LEARNED_WHOLE_OR_PATTERN	lshedy|lsho|rshedy	waschen	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT	WASH_LIQUID,BODY_WORK_AREA,FILTER	3	LEARNED_WASH	Washing selects liquid, local target or filter path.	NO
36	N08_LDDY	LEARNED_WHOLE_OR_PATTERN	qokylddy	befestigen	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT	OUTER_APPLICATION,BIO_CLOTH,BODY_WORK_AREA	3	LEARNED_FASTEN	Fastening requires a registered application, cloth or local target.	NO
37	N09_SK	LEARNED_WHOLE_OR_PATTERN	skar	ausgießen	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT	OUTLET,RUN,RECEIVER	3	LEARNED_POUR	Pouring selects an outlet, run or receiver.	NO
38	N10_DAN	LEARNED_WHOLE_OR_PATTERN	sotodan	anwenden	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT	OUTER_APPLICATION,BODY_WORK_AREA,TARGET	3	LEARNED_APPLY	Application resolves only to a registered target slot.	NO
39	N11_DL	LEARNED_WHOLE_OR_PATTERN	dl	Zusatz	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT	ADDITIVE	1	LEARNED_ADDITIVE	The learned card licenses only additive.	NO
