source_word_id	source_slot	register	medical_or_iatromedical_expansion_de	nonmedical_expansion_de	supply_layer	visible_card_word	selected_source_value_de	selection_class
S01	OWNER	SHARED	Besitzer	Besitzer	visible image or local record	NO__SOURCE_LEXICON_ONLY	Besitzer	UNCHANGED_SHARED
S02	ITEM	SHARED	Arbeitsposten	Arbeitsposten	active register	NO__SOURCE_LEXICON_ONLY	Arbeitsposten	UNCHANGED_SHARED
S03	PREVIOUS	SHARED	voriger Ansatz	voriger Ansatz	previous register	NO__SOURCE_LEXICON_ONLY	voriger Ansatz	UNCHANGED_SHARED
S04	TARGET	SHARED	bezeichnete Stelle	bezeichnete Stelle	visible owner or target register	NO__SOURCE_LEXICON_ONLY	bezeichnete Stelle	UNCHANGED_SHARED
S05	PORTION	SHARED	örtliche Portion	örtliche Portion	measure/portion card	NO__SOURCE_LEXICON_ONLY	örtliche Portion	UNCHANGED_SHARED
S06	RESULT	SHARED	sichtbares Ergebnis	sichtbares Ergebnis	result/readout card plus owner	NO__SOURCE_LEXICON_ONLY	sichtbares Ergebnis	UNCHANGED_SHARED
H01	PLANT	HERBAL	Bildpflanze	Bildpflanze	whole plant image	NO__SOURCE_LEXICON_ONLY	Bildpflanze	UNCHANGED_SHARED
H02	ROOT	HERBAL	Wurzelteil	Wurzelmaterial	plant owner plus master	NO__SOURCE_LEXICON_ONLY	Wurzel	NEUTRALIZED
H03	SHOOT	HERBAL	junger Spross	junger Spross	plant owner plus master	NO__SOURCE_LEXICON_ONLY	junger Spross	UNCHANGED_SHARED
H04	LEAF	HERBAL	Blatt	Blatt	plant owner plus master	NO__SOURCE_LEXICON_ONLY	Blatt	UNCHANGED_SHARED
H05	FLOWER	HERBAL	Blüte	Blüte	plant owner plus master	NO__SOURCE_LEXICON_ONLY	Blüte	UNCHANGED_SHARED
H06	HERB	HERBAL	Kraut	Pflanzenrohstoff	plant owner plus master	NO__SOURCE_LEXICON_ONLY	Kraut	NEUTRALIZED
H07	WATER	HERBAL	Wasser	Wasser	master source	NO__SOURCE_LEXICON_ONLY	Wasser	UNCHANGED_SHARED
H08	EXTRACTION_MEDIUM	HERBAL	Wein oder Auszugsmedium	Auszugsmedium	master source	NO__SOURCE_LEXICON_ONLY	Auszugsmedium	NEUTRALIZED
H09	OIL_BINDER	HERBAL	Öl	Bindemittel	master source	NO__SOURCE_LEXICON_ONLY	Träger	NEUTRALIZED
H10	HONEY_BINDER	HERBAL	Honig	Binder	master source	NO__SOURCE_LEXICON_ONLY	Binder	NEUTRALIZED
H11	VESSEL	HERBAL	Gefäß	Gefäß	learned card or master	NO__SOURCE_LEXICON_ONLY	Gefäß	UNCHANGED_SHARED
H12	CLOTH	HERBAL	Tuch	Tuch	learned card or master	NO__SOURCE_LEXICON_ONLY	Tuch	UNCHANGED_SHARED
H13	EXTRACT	HERBAL	Auszug	Auszug	extract card plus master	NO__SOURCE_LEXICON_ONLY	Auszug	UNCHANGED_SHARED
H14	RESIDUE	HERBAL	Rückstand	Rückstand	master source	NO__SOURCE_LEXICON_ONLY	Rückstand	UNCHANGED_SHARED
H15	DRINK_OR_PRODUCT	HERBAL	Trank	Farb-, Duft- oder Werkprodukt	master source choice	NO__SOURCE_LEXICON_ONLY	Endprodukt	NEUTRALIZED
H16	OUTER_APPLICATION	HERBAL	äußere Auflage	Auftrag am Werkstück	master source choice	NO__SOURCE_LEXICON_ONLY	Auftrag	NEUTRALIZED
B01	FIGURE_WORKPIECE	BIO	Badende	Arbeitsplatz oder Werkstück	visible figure plus master choice	NO__SOURCE_LEXICON_ONLY	Badende	VISIBLE_MEDICAL_BATH_CUE
B02	BASIN	BIO	Becken	Becken	visible owner	NO__SOURCE_LEXICON_ONLY	Becken	UNCHANGED_SHARED
B03	STATION	BIO	örtliche Badstation	örtliche Arbeitsstation	visible owner plus master choice	NO__SOURCE_LEXICON_ONLY	Beckenstation	NEUTRALIZED
B04	OPENING	BIO	Öffnung	Öffnung	visible/local master	NO__SOURCE_LEXICON_ONLY	Öffnung	UNCHANGED_SHARED
B05	INLET	BIO	Einlass	Einlass	visible/local master	NO__SOURCE_LEXICON_ONLY	Einlass	UNCHANGED_SHARED
B06	OUTLET	BIO	Ablauf	Ablauf	visible/local master	NO__SOURCE_LEXICON_ONLY	Ablauf	UNCHANGED_SHARED
B07	RUN	BIO	Flüssigkeitslauf	Arbeitslauf	local connection plus master	NO__SOURCE_LEXICON_ONLY	Flüssigkeitslauf	VISIBLE_WET_PROCESS_CUE
B08	RECEIVER	BIO	Auffanggefäß	Auffanggefäß	visible/local master	NO__SOURCE_LEXICON_ONLY	Auffanggefäß	UNCHANGED_SHARED
B09	WASH_LIQUID	BIO	Bade- oder Waschflüssigkeit	Wasch- oder Färbeflüssigkeit	master source choice	NO__SOURCE_LEXICON_ONLY	Waschflüssigkeit	NEUTRALIZED
B10	ADDITIVE	BIO	Badezusatz	Arbeitszusatz	learned card plus master choice	NO__SOURCE_LEXICON_ONLY	Zusatz	NEUTRALIZED
B11	BIO_CLOTH	BIO	Anwendungstuch	Filter- oder Waschtuch	learned card plus master choice	NO__SOURCE_LEXICON_ONLY	Tuch	NEUTRALIZED
B12	TEMPERATURE	BIO	Badwärme	Arbeitstemperatur	grade/process plus master	NO__SOURCE_LEXICON_ONLY	Temperatur	NEUTRALIZED
B13	DURATION	BIO	Anwendungsdauer	Arbeitsdauer	grade/process plus master	NO__SOURCE_LEXICON_ONLY	Dauer	NEUTRALIZED
B14	BODY_WORK_AREA	BIO	Körperstelle	Arbeitsstelle	visible figure/target plus master choice	NO__SOURCE_LEXICON_ONLY	örtliche Stelle	NEUTRALIZED
B15	IMMERSION	BIO	Teilbad	Tauchgang	visible basin plus master choice	NO__SOURCE_LEXICON_ONLY	Teilbad	VISIBLE_MEDICAL_BATH_CUE
B16	FILTER	BIO	Seihgang	Filtergang	cloth/passage cards plus master choice	NO__SOURCE_LEXICON_ONLY	Filtern	NEUTRALIZED
A01	WHEEL	ASTRO	Himmelsrad	Himmelsrad	visible geometry	NO__SOURCE_LEXICON_ONLY	Himmelsrad	UNCHANGED_SHARED
A02	PANEL	ASTRO	Sternpaneel	Sternpaneel	visible geometry	NO__SOURCE_LEXICON_ONLY	Sternpaneel	UNCHANGED_SHARED
A03	ROSETTE	ASTRO	Rosetteninstrument	Rosetteninstrument	visible geometry	NO__SOURCE_LEXICON_ONLY	Rosetteninstrument	UNCHANGED_SHARED
A04	SECTOR	ASTRO	Himmelssektor	Kalendersektor	local master choice	NO__SOURCE_LEXICON_ONLY	Himmelssektor	VISIBLE_CELESTIAL_CUE
A05	STAR_PLACE	ASTRO	Sternplatz	Sternplatz	visible geometry	NO__SOURCE_LEXICON_ONLY	Sternplatz	UNCHANGED_SHARED
A06	MANSION_PLACE	ASTRO	Mondstationsplatz	Kalenderplatz	local master choice	NO__SOURCE_LEXICON_ONLY	28er Platz	NEUTRALIZED
A07	CONDITION_PLACE	ASTRO	Himmelsbedingung	Arbeitsbedingung	local master choice	NO__SOURCE_LEXICON_ONLY	Himmelsbedingung	VISIBLE_CELESTIAL_CUE
A08	RING_TEXT	ASTRO	Ringrubrik	Ringrubrik	visible text location	NO__SOURCE_LEXICON_ONLY	Ringrubrik	UNCHANGED_SHARED
A09	LOCAL_LABEL	ASTRO	lokales Himmelslabel	lokales Tabellenlabel	local nomenclator	NO__SOURCE_LEXICON_ONLY	Himmelslabel	VISIBLE_CELESTIAL_CUE
A10	CALENDAR_VALUE	ASTRO	Kalenderwert	Kalenderwert	local master	NO__SOURCE_LEXICON_ONLY	Kalenderwert	UNCHANGED_SHARED
A11	CELESTIAL_VALUE	ASTRO	Himmelswert	Himmelswert	local master	NO__SOURCE_LEXICON_ONLY	Himmelswert	UNCHANGED_SHARED
A12	WEATHER_VALUE	ASTRO	Witterungswert	Arbeitszustand	local master choice	NO__SOURCE_LEXICON_ONLY	Witterungswert	VISIBLE_CELESTIAL_CUE
A13	LIGHT_VALUE	ASTRO	Lichtwert	Qualitätswert	local master choice	NO__SOURCE_LEXICON_ONLY	Lichtwert	VISIBLE_CELESTIAL_CUE
A14	PLANET_VALUE	ASTRO	Planetenwert	Zeitwert	local master choice	NO__SOURCE_LEXICON_ONLY	Zeitwert	NEUTRALIZED
A15	QUALITY_VALUE	ASTRO	Komplexionswert	Qualitätswert	local master choice	NO__SOURCE_LEXICON_ONLY	Qualitätswert	NEUTRALIZED
A16	NAMESPACE	ASTRO	örtlicher Instrumentenschlüssel	örtlicher Instrumentenschlüssel	local workshop exemplar	NO__SOURCE_LEXICON_ONLY	örtlicher Instrumentenschlüssel	UNCHANGED_SHARED
