dictionary_order	entry_id	entry_kind	surface_or_pattern	minimal_value_de	composition_status	concrete_noun_source
1	ROOT_AIIN	PRODUCTIVE_ROOT	AIIN	Sollwert	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
2	ROOT_AIN	PRODUCTIVE_ROOT	AIN	Anteil	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
3	ROOT_IIN	PRODUCTIVE_ROOT	IIN	Stufe	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
4	ROOT_AL	PRODUCTIVE_ROOT	AL	Ziel	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
5	ROOT_AR	PRODUCTIVE_ROOT	AR	Quelle	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
6	ROOT_AIR	PRODUCTIVE_ROOT	AIR	Lauf	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
7	ROOT_OK	PRODUCTIVE_ROOT	OK	ansetzen	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
8	ROOT_OL	PRODUCTIVE_ROOT	OL	weiter	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
9	ROOT_OT	PRODUCTIVE_ROOT	OT	danach	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
10	ROOT_OR	PRODUCTIVE_ROOT	OR	Ansatz	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
11	ROOT_Y	PRODUCTIVE_ROOT	Y	dies	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
12	ROOT_E	PRODUCTIVE_ROOT	E	kurz	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
13	ROOT_EE	PRODUCTIVE_ROOT	EE	länger	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
14	ROOT_EEE	PRODUCTIVE_ROOT	EEE	vollständig	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
15	ROOT_CLOSE	PRODUCTIVE_ROOT	CLOSE	Ende	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
16	ROOT_CHD	PRODUCTIVE_ROOT	CHD	umsetzen	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
17	ROOT_CTH	PRODUCTIVE_ROOT	CTH	bereit	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
18	ROOT_CKH	PRODUCTIVE_ROOT	CKH	Durchlass	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
19	ROOT_CKHE	PRODUCTIVE_ROOT	CKHE	trennen	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
20	ROOT_CHK	PRODUCTIVE_ROOT	CHK	wärmen	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
21	ROOT_SHED	PRODUCTIVE_ROOT	SHED	absetzen	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
