step	rule	instruction
1	LOOK	Identify picture owner, basin station or diagram locus before reading text.
2	ADDRESS	Keep owner and local namespace until a visible reset.
3	SEGMENT	Take the longest registered card/root pattern first.
4	READ_CARD	Speak the short minimal card meaning.
5	OPEN_SLOT	Open only source-slot classes licensed by that card.
6	USE_UNIT_PROGRAM	Choose concrete words only from the unit's finite source program.
7	KEEP_ORDER	Preserve card, field and statement order; a statement may cross a line.
8	CLOSE_LOCALLY	Close only with a registered terminal construction.
9	RESET	Reset source, target and run at a visible owner change.
10	RENDER	After exact-card selection, choose the hand's registered surface variant.
11	COPY_ASTRO	For Astro, copy the opaque local group and read it only in its namespace.
12	NO_FREE_NOUN	Do not add unregistered material, body, disease, device or celestial names.
